lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N1,Abe_N1,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",0.90683272,6.297888796,104.9185948,1.27E-24,1.72E-21,694.6158 -> 369.1,CE,6784.133821,3611.376925,3363.760242,3525.320267,3606.840263,3687.380264,22575.26164,3880.820278,3603.780247,3632.500244,3539.960251,3468.020252,3701.280251,3474.220242,3677.680275
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",0.878323095,6.254087816,98.45986733,3.32E-23,2.24E-20,752.6941 -> 369.1,CE,6490.610474,3523.960251,3638.960258,3650.300255,3626.980267,3540.36026,21239.38158,3671.300259,3497.500248,3496.320244,3566.220245,3477.520245,3423.420258,3307.960247,3590.160252
16:3 Cholesteryl ester,0.84276258,6.261341626,90.77568335,1.61E-21,7.24E-19,636.5376 -> 369.1,CE,6482.757116,3609.506921,3510.460255,3566.300255,3716.360252,3559.38026,20574.56141,3708.160263,3570.320248,3765.180271,3634.700272,3451.640232,3832.940262,3606.380245,3567.660255
PG (24:0),-0.729047518,5.804696573,67.75572861,1.85E-16,6.24E-14,628.392 -> 439.392,PG,2819.003534,4709.163675,1587.500122,2589.500168,5085.460377,2364.380177,2264.860153,11919.98092,3019.360203,6474.720413,2573.220181,2263.780155,2007.880135,2642.620216,1963.240154
"(5Z,8Z)-tetradecadienoylcarnitine",0.578235821,6.712288476,43.27738374,4.75E-11,1.07E-08,368.3 -> 85.1,acy-carnitines,8256.483899,5532.430401,4771.460339,5074.460377,4803.800327,5762.78043,21969.56151,4961.860336,5378.84037,5862.180424,5231.240353,5809.900429,5920.38039,5723.400414,6235.080444
PG (26:0),-0.586443589,5.324248188,43.58030778,4.07E-11,1.07E-08,656.4233 -> 467.4233,PG,2120.14015,3209.00023,1492.300098,2112.480141,3801.680283,2003.74015,1845.160133,6858.440487,2058.160141,4530.080318,1628.680115,1961.660156,1846.320118,1787.600124,1540.840111
PG (20:0),-0.506824211,5.542357062,32.76692775,1.04E-08,2.00E-06,572.3294 -> 383.3294,PG,2549.380175,3648.826919,1721.020126,2124.260166,4710.180302,2100.280155,2202.680164,8401.140537,2454.240162,4687.520306,2009.780148,2443.36018,2048.960144,2136.400169,1870.440128
C26:1,0.434609676,12.93527977,24.84617795,6.21E-07,1.05E-04,393.3 -> 393.3,FFA,625965.0073,464975.3426,22690.64159,350079.3434,635968.5637,638902.4837,734220.049,256625.4578,1024950.114,593840.1837,434862.0098,508531.0758,476382.9739,441873.511,449406.3332
TAG(48:1)_FA 16:0,-0.416950304,4.599078063,21.62526112,3.31E-06,4.97E-04,822.8 -> 549.8,TAG1,1360.776762,1827.190122,1066.760063,1825.980125,1429.240108,1664.780109,1465.62011,2188.900158,1477.200104,2294.820141,1332.280102,1505.880096,1088.380066,1482.780102,1371.940083
C15:1,0.3780742,10.08162367,18.79922844,1.45E-05,0.001959097,239.3 -> 239.3,FFA,82826.47239,63944.23785,25802.44189,61791.44431,58858.36417,70435.5852,87539.68591,54662.02379,148374.3502,79184.26556,71729.72524,56274.944,61016.02419,61317.16424,69440.68465
PS (14:1),0.36084605,10.45760985,17.13470315,3.48E-05,0.004270227,468.2358 -> 283.2358,PS,109898.4942,85896.9029,3250.460247,71961.42478,112115.208,113143.929,132833.3486,57602.14415,158256.8509,98998.42717,73361.54539,74926.38585,86770.04694,98749.10645,96053.96545
PSo (18:0),0.351062462,11.75532168,16.22945459,5.61E-05,0.005862689,512.3348 -> 327.3348,PS,269437.9156,212008.1149,8095.500496,183855.9542,279023.8398,284753.9392,331524.7037,143258.5501,389297.0267,249431.6383,177872.2933,172350.1514,216752.6139,238398.4564,222157.0165
TAG(54:3)_FA 18:1,-0.35653754,5.404691729,16.21658337,5.65E-05,0.005862689,902.8 -> 603.8,TAG1,2472.356839,3186.926895,1457.660103,2706.600189,2544.020206,2866.780235,2455.240166,3525.100239,3156.680229,4814.080357,2520.840164,3033.400204,2202.560127,2175.600147,1954.800144
C26:0,0.347185104,11.78296994,15.87389114,6.77E-05,0.00652399,395.3 -> 395.3,FFA,273455.399,215801.0388,18211.26128,156130.9513,289913.8012,280055.1009,330400.9624,138878.2894,408697.8882,268241.299,196489.5544,219439.2759,215845.8939,232061.3161,199384.2936
PEo (36:2),-0.351828858,5.000318236,15.62284666,7.73E-05,0.006953176,730.5746 -> 589.5746,PE,1847.120133,2361.243493,1368.840103,4033.260277,1867.620132,2034.900116,1742.060127,2141.320148,1677.920116,2050.680138,2286.260178,1881.780132,1682.600128,2025.520149,1826.260117
PC (42:4),0.343049584,5.426663458,15.02403105,1.06E-04,0.008949842,866.7 -> 184.1,PCandSM,3211.280231,2539.730184,1404.720104,2181.16016,3276.740234,2352.900177,3601.64024,2696.2402,4757.54034,3034.160202,2838.860203,2386.820187,2515.060196,2587.100178,2277.840172
C16:1,0.330494359,8.908031976,14.35144331,1.52E-04,0.012034936,253.3 -> 253.3,FFA,35387.27584,28183.98865,19472.74131,26103.48174,29137.94205,28448.76199,67136.54477,27965.44197,34008.68249,29321.7221,25919.32182,26105.74188,28054.44194,31158.7822,28066.72196
TAG(60:8)_FA 20:0,0.3117654,5.038089246,12.29533059,4.54E-04,0.034031742,976.9 -> 647.9,TAG2,2420.456835,1960.343477,1115.82008,1659.58012,2692.02021,2153.200157,2344.880165,2233.900146,2394.500156,2367.260181,2547.860172,1714.200134,2431.760178,1633.92012,2111.720131
PI (36:1),-0.308689412,5.432771711,12.16793098,4.86E-04,0.034518927,882.5802 -> 605.5802,PI,2544.866838,3163.240213,1736.980122,5016.720295,2851.860168,2815.440197,2468.34016,2702.2402,2944.820213,3504.740246,2068.940166,2693.720188,2493.280159,2246.580151,2441.960163
PS (28:0),0.29322971,7.883994608,11.27189183,7.87E-04,0.053076065,680.4498 -> 495.4498,PS,17891.34469,14668.12774,2306.620174,10572.22078,14679.50103,16413.28123,20886.78158,12220.20098,19982.30146,16909.40106,16376.92135,17902.02134,17728.78147,13991.64103,17693.78126
PG (28:0),-0.28376368,4.876637928,10.13317779,0.001456241,0.093546169,684.4546 -> 495.4546,PG,1730.266788,2122.026811,1385.800102,1421.020096,2306.220139,1795.120113,1611.460125,3108.600227,1886.020138,3019.120209,1580.120113,1703.820103,1527.780106,1684.480118,1470.000107
C20:1,0.275272295,9.966843101,9.978187016,0.001584056,0.09713142,309.3 -> 309.3,FFA,74404.84191,61681.87417,19666.6014,48679.24332,79321.72543,61199.92413,95528.18648,53184.54362,78410.12556,64073.16452,59881.28417,61038.08382,64822.06477,81916.28558,68465.66508
C14:0,0.269191148,10.8031669,9.548541571,0.002001083,0.117367897,227.3 -> 227.3,FFA,133651.8559,111310.1446,24804.52171,80227.42594,87740.06613,127337.1291,153664.8109,81779.20583,173557.0521,122577.5082,103132.9076,110052.4283,147457.2502,145887.1701,136359.0484
PC (42:5),0.267007839,5.596623928,9.142462034,0.002497448,0.140377399,864.6 -> 184.1,PCandSM,3529.746919,2945.360205,1548.260117,2790.660202,3324.000248,2828.060184,4581.260277,3010.680222,4616.54031,3635.260269,2847.160198,2649.140179,2743.800232,2758.360172,3065.720249
C16:0,0.259284444,14.43902948,8.865702262,0.002905784,0.156796127,255.3 -> 255.3,FFA,1673247.841,1402245.22,134404.6697,1053933.251,1384142.737,1606297.538,1787066.799,948622.6237,2052028.698,1439706.01,1286942.138,1415670.005,1948538.459,1949241.895,1580768.216
Cer(d18:0/22:0),0.259257698,6.337066585,8.716703419,0.003153077,0.157836053,624.6 -> 266.4,cer,5887.987082,4938.843692,2498.420166,4805.64035,4875.940357,5545.580444,5803.260357,3843.980263,7383.100525,5452.060394,6274.360485,5416.020374,5174.500355,4569.780327,5816.76041
TAG(52:4)_FA 18:2,-0.264107715,4.64294016,8.71324659,0.003159061,0.157836053,872.8 -> 575.8,TAG2,1493.890104,1801.076797,1044.020073,1580.800125,1512.880104,1584.980114,1673.620113,2243.180168,1356.240105,1963.440147,1571.760101,1883.220116,1550.620113,1550.840111,1298.220089
C30:0,0.255781645,9.899885082,8.616549337,0.003331223,0.160493575,451.4 -> 451.4,FFA,71248.85489,59885.43085,12431.66092,49056.32355,76513.68516,81970.98551,84566.92565,43057.76279,94158.04673,64866.64441,48692.8637,59573.1446,61457.70423,60787.72427,62103.90387
C24:1,0.249601651,10.35266264,8.208795346,0.004168782,0.193920232,365.3 -> 365.3,FFA,97170.22372,82019.47242,18553.54129,65548.76456,99176.32693,99149.30662,111644.7079,59019.96442,119449.8689,89195.30568,79390.20594,87085.68633,88657.12638,92117.80693,84703.10635
TAG(52:1)_FA 18:1,0.250014742,4.889511456,7.87573479,0.005010251,0.225294284,878.8 -> 579.8,TAG1,2125.396821,1792.586792,1162.720081,2035.880138,2543.580181,1876.440117,2144.840168,1606.620106,2037.540169,1691.70013,1583.540127,1745.460136,2467.340164,1799.420124,1975.540119
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.240824167,7.360543172,7.587082094,0.005878803,0.25582273,438.3 -> 85.1,acy-carnitines,11944.74082,10138.20404,4660.700333,9890.760639,13582.681,11659.48086,14261.76102,7899.080582,14662.12095,10265.96071,9301.780609,9587.700684,9022.920666,11526.24078,10837.18069
PS (36:8),0.237963608,7.714652585,7.422374757,0.006441774,0.271561037,776.4498 -> 591.4498,PS,15547.7077,13249.10762,2907.680218,12587.6009,19112.32137,14501.74103,17458.8412,9744.000732,18659.18106,16252.8411,12258.72087,11449.58078,11652.96078,14958.8812,14144.2209
C18:0,0.235416861,15.3698309,7.310550732,0.006855091,0.280227829,283.3 -> 283.3,FFA,3175077.88,2706430.123,139447.5502,2027298.505,2879375.285,3042645.164,3105333.656,1673483.858,3621963.867,2730006.527,2429942.812,2912388.84,3839798.632,3852757.843,3174053.027
C15:0,0.225152939,10.0005174,6.678959336,0.009755756,0.345141583,241.3 -> 241.3,FFA,74307.98875,63815.26778,27168.00188,52949.04367,56871.66417,70843.70527,85184.76657,50529.40348,96005.86667,73038.04538,62743.38473,62556.46423,73658.6853,72974.94469,71383.56506
C22:6,0.22470615,10.12596311,6.653240342,0.009897567,0.345141583,327.3 -> 327.3,FFA,81101.41584,69593.23493,28799.14204,69083.7852,91340.92673,79389.16576,85144.08593,55413.78389,99313.647,69090.34481,71841.58496,65379.64445,68508.44507,79202.68544,70459.80536
PGo (20:0),-0.231570146,5.110089755,6.79708691,0.009130673,0.345141583,544.3709 -> 355.3709,PG,2063.466813,2438.323505,1757.08012,1838.120129,2363.760174,1954.980141,1965.440132,2778.840191,2291.720154,3107.980213,1893.860142,2804.240196,1772.480114,2145.780163,2093.540165
