type,ab,ve
acy-carnitines,0,0
CE,0,1
cer,0,0
FFA,3,1
PCandSM,0,0
PE,0,1
PG,0,2
PI,0,0
PS,0,0
QC,0,0
TAG1,1,6
TAG2,0,1
