lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
C26:0,-0.504412267,11.87279681,19.21724732,1.17E-05,0.001067184,395.3 -> 395.3,FFA,215024.7189,303866.9087,18211.26128,293946.7812,180018.7131,278525.0389,310614.3614,302739.0616,263012.3972,246138.1167,145707.7901,397985.545,175770.3327
PC (32:2),0.506373133,7.550469401,19.27543971,1.13E-05,0.001067184,730.5 -> 184.1,PCandSM,15200.26504,10638.64078,1772.50013,10526.58071,16228.86108,10347.9008,12116.44086,12484.14088,28235.40198,11830.08086,13207.24084,8004.500637,6213.380424
PG (20:0),0.508790315,5.653501534,19.18464788,1.19E-05,0.001067184,572.3294 -> 383.3294,PG,3876.068299,2737.152192,1721.020126,3747.580261,7563.2006,2292.440163,2174.560162,3058.420216,2177.480175,2688.680176,1665.780106,1898.640144,5799.320454
PSo (18:0),-0.50494455,11.56475821,19.25652056,1.14E-05,0.001067184,512.3348 -> 327.3348,PS,174654.205,246268.1459,8095.500496,232073.0762,147259.6121,232566.077,247638.9577,217363.1954,255752.3996,237123.9175,98338.38704,312214.4635,124281.6685
TAG(54:0)_FA 18:0,0.513538325,5.72256981,19.5674077,9.71E-06,0.001067184,908.9 -> 607.896,TAG1,4170.43628,2925.440215,1287.060081,1421.760109,1588.980103,3675.580273,4809.140324,4294.18034,5812.420429,2669.100193,5918.820377,2566.580162,2722.820168
PS (14:1),-0.487757878,10.19432655,17.96541449,2.25E-05,0.001896654,468.2358 -> 283.2358,PS,68039.28491,94774.15101,3250.460247,91659.44731,58794.48465,90865.44563,93369.50625,85497.64622,103274.7071,88124.20671,37389.98246,117724.0092,47367.74404
C17:1,0.484138377,8.948339821,17.68026625,2.61E-05,0.00207368,267.3 -> 267.3,FFA,38008.45066,27217.61394,15960.28119,27875.92201,58107.60393,24937.70169,28414.70208,23852.34163,31593.24215,27628.04192,27353.60191,31794.06246,44573.10322
PG (24:0),0.45839268,5.802007313,15.61946898,7.75E-05,0.005804673,628.392 -> 439.392,PG,4268.232291,3127.672209,1587.500122,3724.160267,8453.360542,3060.000214,2284.700172,3247.500195,1783.160122,3495.120224,1858.700115,2111.580147,6961.240505
C18:3,-0.419045711,9.008771686,13.2626815,2.71E-04,0.019222689,277.3 -> 277.3,FFA,29702.63816,39532.91482,11491.84085,27606.32216,29745.98219,30709.62236,30253.00208,27814.54189,37563.86271,41997.64278,22669.00168,69536.44491,28281.34212
PC (42:10),-0.409913695,6.233118545,12.55886702,3.94E-04,0.026597609,854.6 -> 184.1,PCandSM,4369.180305,5785.3444,1663.66011,3349.360268,3140.560249,4556.160324,3242.780216,8151.340492,7826.360508,9433.300678,4502.04034,3436.560238,3134.160213
C20:1,0.399032153,10.01520859,12.04115204,5.20E-04,0.033428734,309.3 -> 309.3,FFA,79553.3576,60273.38424,19666.6014,59995.36404,98620.14668,58085.22434,70673.94521,51283.60326,84525.26576,58280.4644,57504.98385,73722.26517,86442.44652
"(13Z,16Z)-docosadienoylcarnitine",0.39116827,6.470466321,11.45529028,7.13E-04,0.043714193,480.4 -> 85.1,acy-carnitines,6451.772447,4930.180355,4402.740295,4848.740353,9334.480606,5154.500374,5472.180408,4781.360348,5394.540386,4320.820316,4260.940292,5545.480385,7796.720543
C18:2,0.383860141,9.164226356,11.1370805,8.46E-04,0.048104913,279.3 -> 279.3,FFA,43068.12303,33045.48233,16973.22122,32826.04223,66075.40443,32044.62234,35783.52243,27207.76198,35375.38268,33176.40236,23098.76166,39972.58273,55007.54395
PE (20:1),0.389250117,4.964376153,11.11606343,8.56E-04,0.048104913,508.3399 -> 367.3399,PE,2263.756165,1726.100125,1653.400112,1777.840111,2250.560177,1938.380138,1902.240135,1492.540115,2870.460178,1719.120136,2303.540173,1702.620125,1991.980164
TAG(50:1)_FA 18:1,0.390457858,4.459596921,11.03491072,8.94E-04,0.048246705,852.8 -> 553.8,TAG1,1567.804111,1200.252085,1337.880108,1210.940083,3068.140228,1312.980095,1104.18008,1255.440098,1348.040096,1175.320084,1219.680073,1046.580067,1098.98008
PE (34:1),0.376744918,7.29803941,10.6840125,0.001080654,0.05606932,718.5383 -> 577.5383,PE,12178.68889,9346.55667,2034.900135,10968.30075,12316.06082,9098.660652,9135.140541,9427.860729,19328.82143,12126.34091,13428.96112,5111.620312,6684.460552
PCo(38:5),-0.372820449,8.764593522,10.50280604,0.001191934,0.057914136,794.6 -> 184.1,PCandSM,26228.50181,33925.4024,2522.320179,28571.3621,20266.96152,39053.34257,36874.78237,38096.88257,32473.44213,33072.90237,24243.52176,30832.52238,17283.80124
PS (36:8),-0.37300527,7.661285591,10.4871562,0.001202072,0.057914136,776.4498 -> 591.4498,PS,12053.40486,15550.81314,2907.680218,15819.94112,10381.14073,15925.48116,15999.50114,14458.66117,15791.62107,16048.04118,8010.040607,15501.94106,10084.72077
Stearidonyl carnitine,0.36787065,7.34255243,10.18748217,0.001413973,0.065774102,420.3 -> 85.1,acy-carnitines,11992.55681,9332.948658,5737.120384,9542.280689,20693.74147,10429.98064,8560.000519,9620.62075,8850.340607,8116.780582,8165.340576,8955.080627,13693.36089
TAG(52:0)_FA 18:0,0.358559878,5.719974613,9.56102178,0.001987524,0.089372351,880.8 -> 579.8,TAG1,3878.352288,3012.304192,2176.340153,1898.980125,1966.760136,2782.480179,4608.120319,3516.440231,6104.340492,3364.340199,3866.500286,3499.280224,2846.040207
PC (32:1),0.353215001,11.13203488,9.445974977,0.00211613,0.092085777,732.6 -> 184.1,PCandSM,175564.0443,136975.3059,5122.940353,138447.3712,163727.2328,146658.2312,167046.5507,161035.0317,283649.6401,145015.2293,177143.3116,93720.66626,86253.48615
PCo(42:2),-0.354297649,6.133638672,9.382141403,0.002191095,0.092368329,856.7 -> 184.1,PCandSM,4162.224294,5322.496378,1443.400108,3732.480286,3118.180164,4757.900333,4231.120335,7425.560463,5458.800446,6997.520515,4501.980328,3699.02029,3501.040199
SM (d18:2/24:1),-0.344905412,9.348264092,8.998674295,0.002701755,0.110444479,811.7 -> 184.1,PCandSM,39368.34671,49919.04355,8147.560699,45451.40269,29521.62208,54692.80424,44575.52295,62934.56433,56881.044,55671.94377,38175.34264,30844.5027,27688.20189
PC (34:2),0.343294078,9.990682217,8.919539195,0.002821357,0.111941484,758.6 -> 184.1,PCandSM,78229.02569,61329.68825,13040.8609,62898.82482,68408.32486,65073.76443,72392.80641,75385.22467,144577.2293,66502.72462,70861.90527,36787.90269,34904.86263
PS (14:0),-0.3450217,5.572313104,8.839435865,0.002947903,0.113620586,470.2515 -> 285.2515,PS,2775.116197,3520.484252,1537.080112,3450.120239,2581.560165,3805.080307,3316.140244,3202.920223,3166.900234,3965.000286,2146.740147,3179.300205,2664.240196
PI (34:1),0.341235756,5.702400559,8.663095605,0.003247192,0.121679495,854.5489 -> 577.5489,PI,3884.024283,3067.012208,1402.5401,3388.660229,3483.920258,3001.900192,3978.580299,3749.820267,4556.000324,3047.94022,4421.440353,2146.740131,2980.18018
C18:0,-0.332227197,15.05596396,8.362344173,0.003830761,0.139667466,283.3 -> 283.3,FFA,2094410.847,2626186.579,139447.5502,2193719.047,2013308.44,2630060.22,2659108.25,2336065.872,2742844.546,2471477.067,1302200.519,3499610.689,1754592.482
TAG(60:9)_FA 20:4,-0.338161825,4.458917342,8.289734562,0.003986982,0.141537847,974.9 -> 653.9,TAG2,1242.09209,1571.92011,1135.620083,1276.520088,1178.400085,1669.780121,1294.300091,1561.12011,1276.020088,1709.680115,1304.360092,1642.500114,1157.380093
PC (40:8),-0.328717383,6.515340245,8.104355815,0.004415901,0.152744892,830.6 -> 184.1,PCandSM,5502.580396,6899.996497,1724.300114,4703.700317,3843.640293,5914.600433,5203.600349,9344.000603,8394.380627,10582.66083,5955.660397,3955.020298,4115.620316
PCo(36:0),0.323692382,6.081541347,7.829328011,0.005140521,0.169135671,776.6 -> 184.1,PCandSM,5012.448352,4009.48829,1930.900139,3871.020275,4942.000404,4752.54034,4380.960304,4698.880356,5874.160385,3650.360264,4526.760319,3074.640217,5338.360348
PCo(40:1),-0.323718936,6.605178681,7.865338406,0.005039139,0.169135671,830.7 -> 184.1,PCandSM,5886.192412,7357.620491,1640.120125,4894.740318,3779.100246,6115.700462,6060.840492,10588.00059,8926.160576,10939.92081,6921.380455,4249.740273,3743.480289
PG (36:1),0.323559213,4.887580663,7.678131167,0.005589402,0.179526278,794.5641 -> 605.5641,PG,2128.084156,1694.584113,1416.080112,1610.920113,2162.16016,1715.220123,1766.700123,1835.300117,3298.680252,1730.060104,1743.220116,1581.420109,1669.66013
PCo(32:1),0.314585359,8.443697553,7.479976682,0.006238888,0.195726974,718.6 -> 184.1,PCandSM,26605.04592,21398.78953,2495.440189,21671.4015,28315.12213,24815.86193,32037.82248,22674.10152,30680.24217,21554.10154,29381.90198,16278.48117,12610.14086
PE (32:1),0.308526099,5.37408478,7.049788217,0.007927462,0.237647705,690.507 -> 549.507,PE,3011.084191,2424.20017,1596.560143,2961.440212,2937.060188,2530.680183,2740.980183,2302.720161,4263.000263,2460.120163,3069.460197,1866.040131,2044.920124
PEo (34:1),0.309729385,5.15386319,7.078914726,0.007799623,0.237647705,704.559 -> 563.559,PE,2593.540176,2089.752148,1285.900085,2159.240135,2632.420181,2381.860165,2153.700157,2095.220158,3513.460213,2080.220146,2630.440178,1732.220135,2037.680153
PS (32:2),-0.302358709,7.17860628,6.885250689,0.008690988,0.254872664,732.4811 -> 547.4811,PS,8914.464597,10955.1168,1473.880108,11137.22063,8379.960651,10464.04068,11856.24073,9651.740849,10756.86076,11134.36078,5844.920345,12388.22108,7734.340504
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",-0.299393855,8.28062175,6.773834738,0.009250387,0.259974405,414.3 -> 85.1,acy-carnitines,18952.29731,23285.79764,5047.18034,23919.20177,17664.94111,24499.96167,23189.46168,21423.80149,20953.60146,21316.00149,13719.76101,25270.0218,19233.72127
PGo (20:0),0.303654072,5.112265397,6.794383091,0.009144512,0.259974405,544.3709 -> 355.3709,PG,2444.732167,1986.300138,1757.08012,2079.180141,3314.700207,1944.700127,1869.840134,2319.080162,2221.080151,2045.280144,1977.280163,1543.260117,2840.760181
PG (28:0),0.296438135,4.92711034,6.452861795,0.011077377,0.304966975,684.4546 -> 495.4546,PG,2161.18416,1764.832116,1385.800102,2388.420143,2791.700226,1815.820129,1913.660145,1735.440117,1549.360123,1495.080097,1680.380123,1389.400093,2870.820183
PEo (34:2),0.295532393,4.936267645,6.416636446,0.011305609,0.305025342,702.5433 -> 561.5433,PE,2199.916167,1789.292136,1279.500088,1757.860142,2266.780163,1829.820152,1978.320152,1816.840134,2944.020233,1953.940147,2069.680157,1588.000107,1740.780132
PS (38:0),-0.292247287,5.707232691,6.358774088,0.011680222,0.308953319,820.6063 -> 635.6063,PS,3135.972233,3837.68028,1404.900101,3648.820286,3441.200264,4237.260284,4108.240273,3679.260284,3322.820225,3779.840279,2213.020176,3843.220264,2594.580227
PC (38:4),-0.281600682,9.787854359,6.00551238,0.014261252,0.369969788,810.6 -> 184.1,PCandSM,54434.10341,66111.53296,13595.24103,51411.46388,40364.02254,72884.28612,67603.84459,83418.46616,74694.84435,81578.36549,53982.18309,41265.08315,35525.62248
PC (40:4),-0.280745574,6.821773643,5.926458421,0.014915188,0.378593338,838.6 -> 184.1,PCandSM,6918.348512,8400.464602,2122.060158,7883.560539,5421.080368,9205.700657,8456.740654,9233.36063,8412.120625,9775.480709,6868.860485,5904.220474,5432.940426
PSp (40:6),-0.281134913,5.892912189,5.898363506,0.015154959,0.378593338,820.5488 -> 635.5488,PS,3605.040251,4366.460311,1445.180107,4601.840347,3079.620247,4806.04034,4659.660324,3825.800259,4709.820313,4760.260303,2775.780193,3838.360306,2800.320179
TAG(50:3)_FA 16:0,-0.280087028,4.651057771,5.726266576,0.016712977,0.409923751,848.8 -> 575.8,TAG1,1478.992104,1796.836124,994.2000618,2375.660156,1429.040089,1555.920105,1355.94009,1689.56012,1368.120102,1861.060135,1536.380104,1501.980106,1705.480133
PC (40:7),-0.271635148,7.788480756,5.571324303,0.018256948,0.439796829,832.6 -> 184.1,PCandSM,13814.19698,16652.73711,1873.420139,13580.82096,10123.04063,17614.06123,14662.74102,19623.84143,19960.62157,22288.84131,15240.14102,10156.12063,9084.440678
PS (38:3),-0.270950559,6.245016994,5.49765017,0.019042045,0.450661737,814.5594 -> 629.5594,PS,4590.112321,5536.036398,2076.900131,4760.220333,4224.580299,5873.680431,4233.520313,5939.360435,5998.840389,6831.720493,5092.50037,4275.200298,3401.120235
19:0 Campesteryl ester_simulated,-0.266966403,6.941314083,5.362184775,0.020577978,0.466030985,698.6315 -> 369.1,CE,7360.588519,8828.648619,4090.200287,17336.04119,8669.080635,6737.280521,6889.060486,6122.460419,7174.300484,6935.020451,5684.900375,7012.440514,8385.600613
C16:0,-0.265620287,14.21650027,5.349531281,0.020727842,0.466030985,255.3 -> 255.3,FFA,1194781.952,1430464.38,134404.6697,1153699.496,1195988.563,1370760.691,1450906.567,1256768.909,1544930.746,1292711.478,714606.6298,2078381.326,1067477.251
PCo(44:4),-0.270183855,5.131083403,5.38656473,0.020292382,0.466030985,880.7 -> 184.1,PCandSM,2081.328148,2511.980169,1327.5201,2187.580143,1910.980141,2402.520157,2047.020149,2920.220215,2359.620155,2956.280197,2241.500153,2093.300133,1847.520142
PI (38:5),-0.264276173,7.531880671,5.269668648,0.021700143,0.479893323,902.5489 -> 625.5489,PI,11573.17279,13875.413,1718.520111,14271.06082,9797.960602,14063.70117,13611.5208,16041.44116,15191.80117,14897.44108,10405.04064,10103.42077,8859.540741
PC (42:11),-0.26564896,5.095024505,5.202822738,0.02255024,0.490649585,852.6 -> 184.1,PCandSM,2019.696142,2422.268164,1483.600117,2282.060158,1818.86013,2131.520134,2078.880138,2749.440205,2697.300198,2546.240162,1697.640121,2402.080162,1805.800121
PCp(40:6),-0.260038381,7.191631914,5.095352157,0.023990043,0.497885654,818.6 -> 184.1,PCandSM,9093.824654,10887.34481,1900.340134,9324.940647,7796.16048,13357.78114,10833.66077,11362.02079,11183.70089,11282.44084,9176.500683,9109.540642,6479.100441
PE (40:7),-0.261812823,6.303098716,5.136742254,0.023424565,0.497885654,790.5383 -> 649.5383,PE,4850.224358,5801.232428,1668.480125,6192.520485,4155.080276,6286.520451,4929.460396,5566.660358,6668.220478,7157.220573,4257.640343,3803.240273,4240.720295
PGo (18:0),0.263984266,4.859960495,5.10955509,0.023794421,0.497885654,516.3396 -> 327.3396,PG,2017.080135,1682.772116,1570.940102,1553.580097,2400.120178,1673.06012,1872.160133,1837.160145,1904.100121,1668.96011,1688.580112,1681.100109,2220.440128
SM (d18:0/18:0),0.258262236,9.94062867,5.053208306,0.024580384,0.502408152,733.6 -> 184.1,PCandSM,74479.60135,62068.48825,3610.380245,63491.80484,68324.94443,65657.22424,75612.06517,73940.84428,118675.4693,67779.92534,74853.36551,39472.64257,34932.16232
PE (36:2),0.257240525,7.583809333,4.994035874,0.02543482,0.512113011,744.5539 -> 603.5539,PE,14382.41697,11980.69279,1998.120144,13642.36085,14900.46099,12220.44082,9757.420712,11796.02073,24518.42168,16330.36119,14260.46091,5914.280373,8475.320553
PI (38:2),0.25936874,4.992210624,4.949584976,0.026096933,0.517717088,908.5958 -> 631.5958,PI,2248.072155,1878.388136,1415.960102,2017.260151,2408.000149,2047.780151,2052.300156,2129.04015,2712.48019,1597.780109,2345.160149,1600.080116,1722.420132
PC (42:8),-0.257019797,5.60028579,4.913090936,0.026653903,0.521103124,858.6 -> 184.1,PCandSM,2940.76421,3509.076254,1458.500099,2923.000202,2609.780216,3434.560257,2755.480186,3874.360279,4030.960274,4781.380325,2641.500191,2532.080204,2666.100182
C32:0,-0.253901508,8.856447769,4.878790271,0.027188668,0.523964473,479.4 -> 479.4,FFA,28286.90999,33671.24236,12070.94083,32898.56247,26949.84193,31513.84206,33348.08226,31973.9222,31628.44232,30897.34217,24243.22173,41072.54287,25264.9617
PC (38:5),-0.250537521,9.825448619,4.755437707,0.029205864,0.553430084,808.6 -> 184.1,PCandSM,57425.32026,68248.69296,4787.06041,55375.86364,45016.48289,75659.20612,63378.94525,82722.28598,79279.20599,79858.22536,55269.40401,47627.88369,44182.56313
PCo(40:6),-0.250775634,7.0383311,4.735972092,0.029538151,0.553430084,820.6 -> 184.1,PCandSM,8215.456618,9771.260722,1604.060131,8463.380676,8768.600735,11800.00077,9999.700783,9951.020695,9759.860729,10414.76083,6538.100403,8227.14064,6011.020439
PCo(32:2),0.251496766,5.659805118,4.708141445,0.03002009,0.554754809,716.6 -> 184.1,PCandSM,3655.552267,3067.100207,1508.420097,2923.100189,4201.760311,3502.140221,4181.04031,3224.200214,4606.020351,2970.460209,2974.080212,2715.600201,2314.860153
C17:0,-0.247736018,11.12551898,4.65255881,0.031007293,0.559895096,269.3 -> 269.3,FFA,139512.0939,165063.6559,32193.76225,145107.9701,132586.949,157153.6315,166723.5317,156673.6717,180140.1136,152029.5111,96587.58684,214353.4951,121522.2886
C28:0,-0.247321356,9.732586042,4.633824713,0.031347608,0.559895096,423.4 -> 423.4,FFA,52420.78371,62083.96043,18981.64135,59784.32438,53833.3838,60671.76441,65240.04485,62554.68437,62318.44418,58734.10414,36127.86245,68674.92485,44584.18328
PCo(38:4),-0.24740724,7.804516901,4.623143173,0.031543386,0.559895096,796.6 -> 184.1,PCandSM,14058.75303,16678.24914,2172.280148,14315.58106,10556.48073,19572.0212,18332.64135,19147.40127,17988.56138,18425.92142,14173.04102,11930.32077,9243.040695
TAG(54:4)_FA 18:1,-0.249949432,4.631404908,4.556581882,0.032792458,0.574506831,900.8 -> 601.8,TAG1,1451.012108,1725.252129,1244.860096,2209.680187,1497.440109,1752.00013,1492.620121,1394.100105,1415.640099,1904.560135,1360.980087,1365.92009,1488.380123
Cer(d18:0/22:0),0.244154442,6.462839265,4.47283755,0.034437755,0.57540942,624.6 -> 266.4,cer,6349.220457,5377.592381,2498.420166,4718.720352,7120.000549,5906.880421,5065.920349,5199.200378,5379.880356,5102.220356,6519.460495,5960.940395,7660.840538
PC (38:3),-0.242561538,8.592705077,4.451690651,0.034866712,0.57540942,812.6 -> 184.1,PCandSM,24290.25766,28704.25386,4324.140278,24915.46168,19169.36151,31781.0025,28887.74216,36128.34194,34134.06214,34335.82215,23522.42135,16360.64106,15737.70116
PCo(34:2),0.241770991,7.275999863,4.407131327,0.035788977,0.57540942,744.6 -> 184.1,PCandSM,11544.27685,9744.884738,1562.780109,10190.20076,11400.22084,11633.58082,13279.14098,9822.580822,15544.0612,9747.520748,10843.00076,7330.540543,6654.960487
PEo (40:0),-0.241989038,6.207095894,4.385900841,0.036237338,0.57540942,790.6685 -> 649.6685,PE,4586.340328,5421.764354,1349.000095,5617.220352,4345.200329,6506.840435,4749.92033,5237.100346,5655.980377,6542.400391,4310.50032,3205.260246,3870.100285
PS (34:3),0.246093814,4.772426751,4.434071135,0.035228384,0.57540942,758.4968 -> 573.4968,PS,1911.66413,1613.24811,1275.360085,1621.7201,1861.540134,1560.620106,1675.720112,1577.560116,1902.300129,1746.460121,1808.780113,1559.880108,2309.98016
PS (40:4),-0.245768401,6.361249567,4.529262911,0.033319966,0.57540942,840.575 -> 655.575,PS,5073.756341,6005.624415,1753.620136,6420.860439,4433.220329,6527.040482,5717.500381,5772.140396,6437.980476,6211.640419,5223.820305,5096.440338,3556.260212
TAG(48:2)_FA 16:1,-0.24901365,4.384252644,4.489874239,0.034096186,0.57540942,820.8 -> 549.8,TAG1,1221.216089,1446.492107,1079.720089,2367.440193,1268.060097,1237.500092,1345.640106,989.260067,1321.180103,1457.620087,1019.400066,1180.640099,1151.800072
TAG(58:6)_FA 18:1,-0.245685147,4.481385572,4.385007216,0.036256339,0.57540942,952.8 -> 653.8,TAG2,1314.940096,1559.384112,1078.100082,1477.640091,1280.000103,1495.120113,1306.360096,1572.980133,1421.740105,1796.580124,1305.080086,1454.600098,1261.520088
STD_15:0-18:1(d7) PE,0.236439188,9.810829972,4.235838133,0.039579077,0.620839247,711.56 -> 570.56,PE,67201.51334,57237.07608,2135.44014,59345.84492,69598.66498,53947.74313,51768.2445,60866.92432,57334.58406,63334.90505,83546.84701,48689.96298,73759.22616
STD_15:0-18:1(d7) PE,0.236439188,9.810829972,4.235838133,0.039579077,0.620839247,711.56 -> 570.56,QC,6988311.825,6953537.425,4591609.302,7215991.429,7101897.78,6815023.902,7159206.253,6835006.198,6833458.742,6932918.132,6929965.698,6968747.463,6917030.652
C24:5,0.235755355,10.57626481,4.213103617,0.040112881,0.621980183,353.3 -> 353.3,FFA,111974.3838,95102.09091,25363.12189,92752.52669,137479.6096,97886.54691,111528.2673,83639.02608,109902.5877,94391.40652,81347.84573,106840.9484,119613.6087
C18:4,-0.233450746,9.270224807,4.127438197,0.042193178,0.632428862,275.3 -> 275.3,FFA,38027.77467,44644.65512,15476.34115,50034.88341,39495.40276,42867.443,43900.08301,43791.70316,41439.36296,40879.48303,28652.62199,45649.76299,36651.40261
TAG(54:1)_FA 18:0,-0.238230747,4.629039927,4.141118945,0.041853495,0.632428862,906.8 -> 605.8,TAG1,1470.352104,1730.896122,1119.540081,1284.340096,1528.740105,1431.560104,1566.280125,1523.540119,1742.260128,2374.540157,1205.340088,2040.500134,1309.140076
PC (36:4),-0.231652954,10.22799615,4.067289844,0.043721369,0.634306267,782.6 -> 184.1,PCandSM,76247.83308,89394.03057,8457.720554,76567.44627,62683.32403,98200.04726,85770.60492,104157.5882,106439.3076,103888.6473,74074.86527,64156.42384,52271.06357
PC (40:5),-0.232365989,7.724402992,4.077629111,0.043454592,0.634306267,836.6 -> 184.1,PCandSM,13285.59692,15612.42507,2864.600231,12649.68095,11255.80069,17753.02126,13789.26097,19096.28119,16766.64108,17799.20132,11747.94094,10763.94063,12868.34095
SM (d16:1/18:1),-0.232268051,7.231839541,4.0669933,0.043729046,0.634306267,701.6 -> 184.1,PCandSM,9459.096622,11078.52076,2215.320145,10559.60079,8652.540592,12340.3408,10022.18065,14986.80098,15827.66092,11862.38082,9153.320683,5643.4804,3639.780273
PS (28:0),-0.227848861,7.528939251,3.918343452,0.047761922,0.685434385,680.4498 -> 495.4498,PS,11646.75278,13609.99289,2306.620174,12017.30079,8987.900635,13991.92084,14597.64098,13992.92091,14682.24089,13204.60078,10633.92075,14843.2211,9332.060669
PG (16:0),0.230047393,4.8505787,3.880965402,0.048836468,0.686254121,516.2668 -> 327.2668,PG,1983.988141,1694.940119,1536.240105,1674.840111,2398.800175,1682.340134,1944.880127,1677.880119,1721.160122,1803.840115,1807.280132,1635.800117,2047.820148
"PIo (40:5), PIp (40:4)",-0.229957251,4.917590607,3.885672974,0.048699741,0.686254121,916.6009 -> 639.6009,PI,1801.904126,2112.776148,1350.340111,1937.780148,1899.020138,2048.540127,1755.880116,2174.180153,2030.240135,2144.600143,1710.180126,2258.78017,1614.200115
PC (34:3),0.225045855,7.045997508,3.814906442,0.050798442,0.695733348,756.6 -> 184.1,PCandSM,9697.844689,8265.412565,2246.420155,8788.160545,8477.120583,8755.140579,9961.220715,8249.760593,14688.84114,9513.02066,8389.000549,6020.980446,6973.040459
PC (40:6),-0.224806394,8.192377495,3.821604254,0.050595773,0.695733348,834.6 -> 184.1,PCandSM,18593.0013,21709.51369,2453.100166,18586.14133,15930.12103,22427.40194,19770.32147,26205.62209,25209.30178,27441.98211,18440.22118,13886.421,13615.04105
PCo(40:5),-0.225068784,6.617305764,3.80636096,0.051058266,0.695733348,822.6 -> 184.1,PCandSM,6133.168442,7162.428506,1783.500141,7318.700478,5139.500397,8784.380669,8162.520554,6018.500443,6835.140553,7531.040512,5813.700397,6159.520432,4714.980309
PSo (16:0),-0.227677127,4.638431918,3.780605745,0.051849887,0.699454972,484.3035 -> 299.3035,PS,1452.7761,1701.788119,1437.500103,1582.040115,1293.080093,1626.440113,1529.080097,1776.860111,1510.000107,1792.560131,1421.260101,1731.040123,1510.460102
PI (36:2),0.223791241,6.555283046,3.762007449,0.052429597,0.700272542,880.5645 -> 603.5645,PI,6926.248499,5901.70039,1473.360107,6318.040405,6224.380482,6321.020401,5529.400387,6749.480427,12503.18089,6730.12048,6505.420452,3389.840237,3868.860291
PS (38:4),-0.221956316,6.738793373,3.703679122,0.054292628,0.718046621,812.5437 -> 627.5437,PS,6467.96849,7534.788561,4103.920292,6778.420525,5374.000397,5873.780441,6850.300529,9328.040691,8110.700619,9239.260635,6337.380508,6454.440514,5667.460396
SM (d18:2/22:1),-0.220378461,9.084474538,3.677988813,0.055135318,0.722112083,783.6 -> 184.1,PCandSM,34570.57837,40244.87873,4361.280281,36637.80238,31039.16243,45136.30339,38182.66284,44828.30346,45198.02251,45469.5825,34964.1022,29152.40195,23468.94188
