lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
C20:0,1.687983175,13.25198883,205.0101809,1.68E-46,2.27E-43,311.3 -> 311.3,FFA,1007090.934,314720.9462,136053.5097,351736.5443,2314808.304,337895.8436,544102.2988,267731.7402,331277.2043,311511.5816,260754.2391,304729.0211,1584512.621
C22:0,1.510916245,12.34846124,165.9230376,5.75E-38,3.88E-35,339.3 -> 339.3,FFA,525553.4519,185721.945,52340.34357,204409.3549,1219353.261,220699.0746,250110.3781,157766.0109,191697.9931,160935.1115,125440.7689,184800.1729,841164.8585
PE (18:1),0.748279247,5.46570476,41.12947706,1.42E-10,6.41E-08,480.3086 -> 339.3086,PE,3663.312243,2172.748161,1542.080109,2006.000145,3836.660236,2416.000183,2303.800175,2328.120197,6105.700424,1875.280125,3419.820202,2238.340153,2650.580177
C19:0,0.706919906,12.4635787,37.56612153,8.84E-10,2.98E-07,297.3 -> 297.3,FFA,477394.1786,293489.237,63698.9446,277256.5598,872151.2436,298160.3802,361101.3838,253038.799,305481.0418,300639.4788,199047.1548,338350.9673,649190.069
C22:6,0.620828936,10.32279052,29.0216552,7.16E-08,1.93E-05,327.3 -> 327.3,FFA,103945.2474,67834.79676,28799.14204,67867.06519,181392.9728,71284.12487,85532.60572,63199.16415,69765.86531,64192.14452,51538.98342,72631.48505,131495.8098
C26:1,-0.593484361,13.00434169,26.55568417,2.56E-07,5.76E-05,393.3 -> 393.3,FFA,455983.7753,684965.1119,22690.64159,657946.2071,340536.5832,611713.3233,714567.7275,731997.8298,581656.1212,485869.6926,323047.4436,937298.5066,320111.001
C30:0,-0.578883106,10.03430126,25.25386562,5.03E-07,9.69E-05,451.4 -> 451.4,FFA,57721.59201,85802.41406,12431.66092,88430.34613,44688.5031,81842.16571,93125.52636,81873.94587,72696.74504,63661.36436,37443.70259,113204.2482,40653.48295
20:3 Campesteryl ester,0.574270931,8.003926807,24.78523373,6.41E-07,1.08E-04,706.6158 -> 369.1,CE,20543.28543,13811.85302,6483.940453,16466.88122,14583.88111,17024.36121,22628.86166,13792.34107,21240.62148,11103.42085,23363.16144,10672.26075,20899.90145
PE (34:2),0.57570713,5.710551358,24.5488865,7.24E-07,1.09E-04,716.5226 -> 575.5226,PE,4182.752318,2790.388194,1589.460125,3191.300213,4193.860283,3001.580208,2511.000198,2818.660206,7745.720581,2980.360191,3858.90033,1960.040154,2604.280197
PCo(32:3),0.554473721,5.278336311,22.62253703,1.97E-06,2.66E-04,714.5 -> 184.1,PCandSM,2966.432203,2031.812138,1798.120129,1909.600124,7539.940517,2100.580151,1891.780125,2044.540134,1777.540112,2343.980167,1794.620117,1760.360115,1828.280144
