type,ab,ve
acy-carnitines,0,2
CE,0,1
cer,0,0
FFA,4,7
PCandSM,3,3
PE,0,4
PG,0,2
PI,0,0
PS,3,0
QC,0,0
TAG1,0,3
TAG2,0,0
