lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
TAG(52:3)_FA 18:1,0.722439758,4.956426164,43.03547847,5.38E-11,7.25E-08,874.8 -> 575.8,TAG1,2532.976852,1546.933449,1068.740086,1876.220139,1672.480118,1339.820091,1332.680096,1598.400135,1655.020134,1417.680099,2045.580154,1930.70015,2980.160233,1118.780083,5511.94038
C26:1,-0.579001884,12.85723004,28.57102212,9.03E-08,6.09E-05,393.3 -> 393.3,FFA,407965.7181,608724.4787,22690.64159,548746.2603,221403.2568,1301816.148,507202.7953,570516.9775,375646.0843,578324.8005,505341.6758,335896.2845,700145.4677,317046.4016,138055.029
PG (20:0),0.535787804,5.478302233,23.9952569,9.66E-07,3.26E-04,572.3294 -> 383.3294,PG,3429.056913,2390.760176,1721.020126,2389.060188,1778.140137,1828.780136,4230.060299,1839.800148,7322.800514,2196.980156,2239.220165,4097.540283,2331.060169,1992.400146,2673.060192
TAG(54:3)_FA 18:1,0.537965357,5.453044859,24.18480156,8.75E-07,3.26E-04,902.8 -> 603.8,TAG1,3410.906895,2359.846828,1457.660103,1880.780148,2049.420162,2140.420143,2138.400146,2635.260178,3113.580204,2356.980129,2170.640144,3279.820232,6757.420433,1865.820137,4235.980282
PG (24:0),0.527232233,5.781962389,23.33422691,1.36E-06,3.67E-04,628.392 -> 439.392,PG,4279.580325,3000.403552,1587.500122,2326.960182,2011.800148,2288.760151,4954.700397,2671.5602,9167.060684,2043.640141,3094.260239,6304.460468,3210.500267,2367.040173,3239.160217
TAG(52:2)_FA 18:1,0.489356726,5.352748782,20.00568752,7.72E-06,0.001735987,876.8 -> 577.8,TAG1,3150.65023,2259.623496,1188.760098,2389.720188,1894.440132,2125.500134,1627.06012,2405.260174,3108.700195,1973.940151,1817.500149,2850.940212,4689.000347,1812.380119,5767.200436
C20:0,0.451825576,12.4701914,17.44281747,2.96E-05,0.005705902,311.3 -> 311.3,FFA,435095.1704,320822.0526,136053.5097,320922.2228,305723.1021,311682.0618,459297.8322,267466.899,726048.3711,352018.2256,375842.4067,316052.142,293290.3205,356790.7645,450368.9897
TAG(52:3)_FA 18:2,0.45542876,4.640641435,17.08627918,3.57E-05,0.00602319,874.8 -> 577.8,TAG2,1852.470125,1360.656763,1210.220089,1327.560089,1254.34008,1152.280083,1470.400112,1494.000107,1561.520092,1457.80011,1495.32011,1597.980114,1788.440113,1134.320076,3544.80024
20:3 Campesteryl ester,0.4369285,7.835412306,16.25407333,5.54E-05,0.007472163,706.6158 -> 369.1,CE,17380.82123,12886.07092,6483.940453,7489.560505,16115.00121,11985.02088,23215.14158,16886.0012,7237.980518,15297.50109,5905.320431,9566.48069,15486.18117,16091.86116,36325.30249
C26:0,-0.438184162,11.64633529,16.40752014,5.11E-05,0.007472163,395.3 -> 395.3,FFA,185936.5228,252038.9276,18211.26128,239739.2982,106130.6677,466855.6115,242802.6174,230893.6354,166921.7908,255182.1983,224302.3947,161210.2714,287291.9397,158352.551,88169.72649
TAG(50:2)_FA 16:0,0.43266638,5.52675793,15.69583848,7.44E-05,0.009122632,850.8 -> 577.8,TAG1,3508.510271,2616.010192,1236.300083,2824.880219,2367.480175,2532.14019,2926.520226,2337.760174,3273.560253,2623.020176,2921.960197,3025.180214,4704.860413,2353.080181,4856.680363
TAG(54:0)_FA 18:0,-0.420577574,5.367233525,14.79859661,1.20E-04,0.013447787,908.9 -> 607.896,TAG1,2321.776834,3130.040218,1287.060081,2118.420143,3086.080231,1492.380116,1518.800102,1491.380104,1613.42012,4056.200283,4277.140324,1996.940151,1943.18013,7624.920509,1492.0401
TAG(52:3)_FA 16:0,0.395469191,4.679445911,12.91181592,3.27E-04,0.033882145,874.8 -> 601.8,TAG1,1877.286799,1436.230103,1182.340084,1219.180092,1284.980087,1180.840073,1410.280094,1521.860126,1239.640083,1295.500084,1418.560104,2022.140144,2276.820156,1377.860096,3633.440269
C30:0,-0.381304429,9.994230752,12.42849494,4.23E-04,0.040742933,451.4 -> 451.4,FFA,59974.2777,78147.79228,12431.66092,58280.70416,36535.84255,139689.4302,84124.4461,78823.18541,49030.7237,71632.36552,76208.74566,63700.66414,79558.84576,56760.40429,34387.06245
TAG(50:3)_FA 16:0,0.37700935,4.780196341,11.77075136,6.02E-04,0.054111705,848.8 -> 575.8,TAG1,2027.843477,1571.743441,994.2000618,1489.600105,1665.800129,1618.340103,1469.98011,1526.480103,1722.84013,1734.180107,1697.240112,1797.580139,2088.820133,1264.280087,3522.380249
PE (20:4),0.354025038,7.176021989,10.66254776,0.001093267,0.092176073,502.2929 -> 361.2929,PE,10967.48406,8667.253873,1703.70013,12089.44078,8754.340508,4059.440285,6582.200493,5160.460342,4667.460304,8332.040535,24989.86151,11019.92066,7551.560562,11342.22064,13259.48097
15:1 Cholesteryl ester,0.342301418,6.36750504,9.915202222,0.001639191,0.124229465,626.5532 -> 369.1,CE,5734.457072,4548.383655,6043.880432,4587.540344,5738.920399,4935.200329,7555.480518,4576.780331,4355.500313,4237.860302,7480.660557,4442.540314,4862.540325,4510.38031,4413.64032
TAG(54:4)_FA 18:1,0.345641453,4.780373504,9.894626708,0.001657621,0.124229465,900.8 -> 601.8,TAG1,1985.40348,1571.980104,1244.860096,1399.280102,1411.760098,1569.480114,1618.740116,1368.320095,1507.600124,1270.300079,1533.90012,2139.840118,2351.860165,1684.660114,3488.560257
PC (38:5),-0.3371039,9.768236394,9.718932298,0.001823794,0.124695655,808.6 -> 184.1,PCandSM,52564.42392,66852.49489,4787.06041,64844.9454,42937.00335,40282.82281,46209.8037,59175.36444,47974.58366,79264.66522,54584.84392,68160.3042,72496.74542,89386.86729,51183.56349
PG (26:0),0.340057958,5.243944874,9.666466814,0.001876619,0.124695655,656.4233 -> 467.4233,PG,2751.240202,2194.863487,1492.300098,2100.640163,1666.980125,1509.340103,3040.680225,1854.560135,4381.140327,2392.340153,2172.980164,3887.820267,2176.88015,1424.480099,3068.78022
TAG(52:0)_FA 18:0,-0.338356323,5.49949805,9.604370521,0.001941148,0.124695655,880.8 -> 579.8,TAG1,2569.063506,3268.326884,2176.340153,2251.04015,3394.920227,2056.500149,2200.580154,1894.28014,1393.080105,3946.780262,4726.220272,1969.200127,1949.060154,7492.160477,1750.520126
C28:0,-0.324432891,9.72367116,9.003036664,0.002695314,0.165271744,423.4 -> 423.4,FFA,50094.57681,62889.97772,18981.64135,59307.14423,35304.30249,97298.0264,64453.44442,67342.98496,48038.74345,61812.06429,59640.84415,43049.86315,60087.8641,48529.78328,33042.26227
Cer(d18:0/20:0(2OH)),0.317675442,5.941415776,8.511271677,0.003529533,0.207014795,612.6 -> 266.4,cer,4297.413627,3475.593586,3800.200287,3013.360226,4519.700294,3207.220222,3062.660198,3207.120235,3264.100235,3117.120235,3353.540237,5085.240368,3172.620213,3223.500229,8411.860584
PC (40:4),-0.311977355,6.795665594,8.269055551,0.004032648,0.226668415,838.6 -> 184.1,PCandSM,6642.670462,8290.087236,2122.060158,7672.720577,5947.600426,6977.420486,5537.380447,8101.520535,5090.640408,8079.520493,7795.34053,8445.840611,10001.14061,10463.50071,5483.920353
PC (38:4),-0.306137918,9.856085205,8.018974611,0.004628977,0.249779606,810.6 -> 184.1,PCandSM,55851.73383,69541.17137,13595.24103,63868.56542,47747.34358,37399.08242,42050.90294,63221.92455,49456.30298,80057.96455,63261.3045,78218.42501,79102.00571,94481.06625,53492.54325
TAG(54:4)_FA 18:2,0.305677679,4.485654126,7.685850517,0.005565544,0.288766132,900.8 -> 603.8,TAG2,1593.250109,1297.870095,1064.480076,1228.700081,1199.440086,1116.420086,1435.920101,1273.440083,1322.760098,1199.700081,1139.460079,1813.800163,1842.040112,1155.160076,2619.88018
PS (34:1),0.298817263,5.728068685,7.520295283,0.006100768,0.290910338,762.5281 -> 577.5281,PS,3852.480274,3160.843561,1608.320114,5151.180408,4612.380333,2565.560177,4022.760319,2482.220169,3616.620251,3496.540241,3294.400249,2607.940186,4064.540279,2661.620182,3504.18021
TAG(52:4)_FA 18:2,0.300527251,4.715195146,7.475673276,0.006253817,0.290910338,872.8 -> 575.8,TAG2,1884.613471,1540.813449,1044.020073,1503.940105,1519.24012,1516.920116,1460.000103,1474.720116,1461.160103,1309.960094,1555.280109,1987.780148,1883.900131,1451.560116,3428.100258
TAG(60:10)_FA 20:0,-0.302176813,4.5701968,7.526132613,0.006081031,0.290910338,972.9 -> 643.9,TAG2,1361.976762,1685.543453,1219.220081,1581.98011,1435.800102,2541.080193,1304.040096,1370.580086,1123.760086,1599.840107,1345.300098,1419.560097,1772.460114,1600.220127,1190.500076
TAG(50:0)_FA 16:0,-0.296952806,5.218920986,7.371678701,0.006625905,0.29426992,852.8 -> 579.8,TAG1,2167.643483,2680.570187,1561.0401,2819.26017,2258.900162,2298.620167,2009.040134,2431.340206,1967.360153,3042.660179,2698.480194,2092.800152,2414.940132,3398.74025,1657.140121
TAG(52:4)_FA 16:0,0.298226009,4.570191884,7.335039751,0.006762318,0.29426992,872.8 -> 599.8,TAG1,1698.493453,1390.860102,992.2000771,1445.46011,1617.180107,1253.060085,1383.940105,1354.500103,1366.420094,1479.220104,1397.260101,1502.860115,1881.200142,1310.060093,2544.960171
PC (40:6),-0.287617415,8.053082168,7.063086736,0.00786883,0.331720374,834.6 -> 184.1,PCandSM,16235.81452,19949.23473,2453.100166,18383.02121,13903.34105,11868.82079,14210.36109,17824.40126,14047.54101,24078.34172,17429.30121,20860.74147,22332.56164,26680.08191,15491.78113
PE (36:3),-0.280031293,5.576856577,6.593040652,0.010237817,0.41850953,742.5383 -> 601.5383,PE,2823.206877,3465.74358,1661.100117,5781.480419,3230.840248,1614.800117,2697.060219,2582.100174,2600.380188,2775.540192,2595.100185,3811.500259,3119.300228,4229.040318,2696.560192
TAG(54:5)_FA 18:2,0.2798163,4.687016133,6.476441189,0.010931364,0.433717937,898.8 -> 601.8,TAG2,1821.54679,1511.006769,1177.740086,1483.160099,1363.940083,1414.360104,1398.820103,1450.060085,1675.40012,1291.120094,1685.700138,2136.840134,2093.260124,1290.500099,2712.160175
PC (40:7),-0.27319975,7.190174945,6.356493988,0.011695242,0.450768041,832.6 -> 184.1,PCandSM,8928.324008,10875.91076,1873.420139,12876.92094,8295.040695,6453.560497,8456.220623,8673.860661,8605.980583,13350.58087,7569.240616,10149.78067,11390.78082,13750.76092,9252.680714
PG (34:4),0.268460256,8.089893622,6.155452346,0.013100761,0.490914616,760.4859 -> 571.4859,PG,20255.87479,16985.04117,1562.760124,19960.58134,27573.18213,8560.900684,17273.28131,19858.0015,19927.56135,17150.20127,19394.58103,17648.54107,15899.76123,18732.02116,21466.88171
"PIo (40:6), PIp (40:5)",-0.26749456,5.356968136,5.998168129,0.01432074,0.522126456,914.5853 -> 637.5853,PI,2435.45351,2951.183548,1449.880089,3408.640232,2311.900169,2580.460213,3034.12022,2437.760189,2054.520149,3290.800243,2079.420155,2948.480186,2748.820187,3040.960224,2383.940178
C24:1,-0.258011762,10.26101929,5.70032868,0.016961736,0.586702111,365.3 -> 365.3,FFA,75289.37521,90421.40655,18553.54129,93828.32677,55756.88373,115375.2082,90372.44637,86750.58639,71539.82506,97559.38699,87944.98584,77212.36581,90860.40639,71802.56511,55261.70388
PSp (16:0),0.261361463,5.30508887,5.718566345,0.016786432,0.586702111,482.2879 -> 297.2879,PS,2745.500175,2304.403491,2182.020157,2599.180161,2960.340187,2430.840183,4232.460251,2572.940182,2401.500134,2207.820148,2792.980213,2124.340145,2284.740158,1891.300129,1800.98011
PC (34:6),-0.256854023,5.723563832,5.558303262,0.018393233,0.605182213,750.5 -> 184.1,PCandSM,3158.273559,3802.706927,1789.600121,4903.980347,3249.660252,3156.440235,3865.140278,3076.260204,2868.780193,4109.020271,3033.240227,3406.500225,3156.400223,4164.040279,2776.420181
PCo(42:2),-0.257316919,5.531649952,5.565346839,0.018319381,0.605182213,856.7 -> 184.1,PCandSM,2774.616858,3338.030244,1443.400108,3030.240219,2500.660183,2655.680222,2779.920185,3352.240238,2329.020176,3207.580215,2765.980175,3862.180279,3094.120213,3920.260292,3178.000214
PCo(40:3),0.252745107,5.61975075,5.375017937,0.020427131,0.653605906,826.6 -> 184.1,PCandSM,3490.710257,2953.660208,1831.540138,2883.340195,2917.100197,1844.880123,2602.900192,2353.820164,2287.500164,2956.560215,7322.580559,4431.940323,2826.340199,3251.420227,2987.840229
TAG(54:5)_FA 18:1,0.254574769,4.524924056,5.34062593,0.020833991,0.653605906,898.8 -> 599.8,TAG1,1617.646781,1364.300095,1034.540077,1253.060093,1265.880093,1316.060089,1264.68008,1198.300095,1266.020096,1309.700089,1649.740108,1966.180134,2107.020157,1142.500072,2152.54015
