lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
PE (36:2),-0.245844062,7.136362538,5.147593141,0.023278618,0.654226159,744.5539 -> 603.5539,PE,8668.773967,10427.36746,1998.120144,24729.54193,11423.54087,3134.86021,7659.880562,6110.400433,6899.740494,8315.520638,7606.460506,10517.28088,9085.780663,9756.600639,9337.240711
"PIo (40:3), PIp (40:2)",-0.249567402,4.785454958,5.163729058,0.023063327,0.654226159,920.6322 -> 643.6322,PI,1612.210119,1922.863479,1425.540089,1643.760124,1437.80011,3140.380253,1587.220112,1803.660133,1583.360111,1512.540112,1532.380119,1731.980137,2035.520149,1704.860115,1496.980114
TAG(48:2)_FA 18:1,0.254753799,4.212156643,5.294807345,0.021389097,0.654226159,820.8 -> 521.8,TAG1,1280.453423,1081.066744,1036.600071,1140.48008,1224.720085,1074.500072,1134.300072,1057.620079,1428.800102,1068.580078,1214.020084,1152.860088,1254.420094,992.3600693,1426.460102
TAG(50:3)_FA 18:2,0.251119794,4.32844016,5.165568332,0.023038918,0.654226159,848.8 -> 551.8,TAG2,1394.83677,1180.250083,1042.960075,1270.940102,1291.460091,1110.740074,1306.420101,1332.640087,1412.820103,1071.56007,1210.2001,1150.940079,1432.280102,1144.680088,1715.840126
TAG(54:6)_FA 18:2,0.24986398,4.774207998,5.176365635,0.022896167,0.654226159,896.8 -> 599.8,TAG2,1915.833469,1623.690119,1262.8601,1543.880112,1536.160095,1145.340073,1359.160084,1565.260117,1521.960087,1666.540131,1802.300117,2363.000179,2114.900146,1458.120102,3160.520283
PEo (34:2),0.245852934,4.814443515,5.016343327,0.02510914,0.677444609,702.5433 -> 561.5433,PE,1968.84348,1673.870123,1279.500088,2222.700172,2129.260162,1497.740105,1834.900124,1483.680099,1786.500149,1808.760132,1846.460121,1618.460121,1991.080166,1411.880108,2224.860161
PS (36:1),0.243078741,7.557136106,5.04025101,0.024764901,0.677444609,790.5594 -> 605.5594,PS,13632.53429,11626.06086,3918.540314,18008.70148,15404.58125,7661.460606,12764.04095,10341.80075,12123.76086,13153.72091,12473.18085,9322.660671,15129.14098,11268.02075,13900.50086
STD_15:0-18:1(d7) PE,0.239647169,9.749791688,4.917225063,0.026590193,0.703336664,711.56 -> 570.56,QC,6958717.178,6898310.262,4591609.302,7086819.551,7002748.28,6733229.221,7214244.893,6904475.785,6953374.751,6893807.359,6852400.354,6846884.064,6703822.38,6924645.592,7025712.412
STD_15:0-18:1(d7) PE,0.239647169,9.749791688,4.917225063,0.026590193,0.703336664,711.56 -> 570.56,PE,63698.2944,54483.72727,2135.44014,62785.92371,79579.62577,30131.34234,56170.68422,57494.4839,67031.54427,60153.42463,60254.0045,56717.04413,47623.58298,59620.14489,71530.32465
PE (22:4),0.234123481,6.289045579,4.64563406,0.031132634,0.807652372,530.3242 -> 389.3242,PE,5658.997083,4859.987021,1446.980099,6572.180557,6208.720451,2344.100155,3997.160301,3445.52026,3092.00021,5093.900326,9993.200809,5999.780445,4242.780327,5704.440384,6420.120399
C22:5,-0.231083117,9.752277063,4.572300024,0.032492912,0.811721082,329.3 -> 329.3,FFA,52855.77365,62215.90769,20488.84146,54976.94389,40676.3229,94159.74631,58920.22379,52918.0235,43939.90318,58444.48393,59084.94385,58450.38424,69219.18509,54345.86425,45294.06308
PC (38:3),-0.23175403,8.572896937,4.593051671,0.032101809,0.811721082,812.6 -> 184.1,PCandSM,23705.38166,28047.91535,4324.140278,31189.52201,21367.80149,15929.44114,18011.28119,23943.96169,20662.96149,32619.88292,27752.14193,28751.28219,32838.08238,35853.40216,21600.02146
TAG(58:7)_FA 20:0,-0.234226379,4.651016331,4.537105216,0.033167637,0.813511667,950.8 -> 621.8,TAG2,1497.010106,1772.363462,1046.600067,2014.700165,1634.420116,1925.600128,1737.780128,1405.220104,1322.580105,2030.780128,1474.420094,1592.540119,1414.380096,1665.340126,1398.480099
PE (20:5),0.232345308,4.801324139,4.477523582,0.034343449,0.81818476,500.2773 -> 359.2773,PE,1915.136803,1642.80011,1556.380104,1928.680122,1799.28014,1464.740105,1799.480129,1526.140091,1514.980106,1591.540108,2493.000175,1857.240128,1628.480118,1488.460106,2255.600151
"PIo (38:4), PIp (38:3)",0.231196926,5.138616316,4.46623019,0.034571187,0.81818476,890.5853 -> 613.5853,PI,2477.236842,2126.970151,1365.240089,2479.040173,2505.920193,1542.320103,3161.980206,2572.400204,2281.640179,1863.820126,2237.100155,2092.880165,2084.840164,2211.360134,2591.940155
TAG(52:0)_FA 16:0,-0.228907468,5.184072452,4.381085712,0.036339843,0.845214619,880.8 -> 607.8,TAG1,2169.830148,2558.230176,1544.080105,2169.960148,2415.680176,1705.200111,2067.240131,1948.400127,1415.820099,3323.220272,3506.80024,1478.94009,2060.580139,4723.660305,1552.860104
PCo(40:0),-0.2185897,7.214835086,4.071943544,0.04360108,0.894409388,832.7 -> 184.1,PCandSM,9288.127318,10887.77075,1741.760124,12865.56092,8834.560619,7216.980522,9171.020607,9147.840572,7954.600574,12489.58083,8009.940552,10942.28083,12445.74088,12664.38085,9312.900673
PEo (36:1),0.221050536,4.975493226,4.070401025,0.043640912,0.894409388,732.5903 -> 591.5903,PE,2194.080153,1897.81681,1330.220104,2231.000172,2252.180153,1424.500099,2414.600178,1708.860138,1974.200123,1780.640152,2390.020161,2048.860153,1898.520134,2193.040146,2234.960167
PG (28:0),0.221818584,4.898646485,4.091530325,0.043098604,0.894409388,684.4546 -> 495.4546,PG,2065.690147,1786.673461,1385.800102,1568.160107,1386.860096,1615.360104,2097.520142,1680.260117,3436.120262,1513.740108,1791.100124,2687.180199,1666.160118,1655.340134,2016.380138
PG (34:5),0.221538927,5.807062641,4.141067638,0.041854764,0.894409388,758.4702 -> 569.4702,PG,3993.416941,3456.730253,1423.760094,4095.040329,4323.16029,2266.580173,3507.480251,3967.940281,4574.180271,3189.540226,4186.640312,3141.460201,3165.00024,4079.820309,4204.040283
PS (16:0),0.221834072,4.524508656,4.053690032,0.044074903,0.894409388,498.2828 -> 313.2828,PS,1570.393442,1355.686762,1331.860092,1364.60009,1395.240101,1304.200096,1760.720112,1283.720089,1577.580101,1389.180096,1844.20013,1369.660107,1336.960094,1422.760098,1507.66011
SM (d18:1/18:1)9Z)),-0.221346722,5.73639373,4.129526008,0.042141153,0.894409388,729.6 -> 184.1,PCandSM,3212.453555,3776.930263,1999.360138,5086.660355,2529.840187,2622.040176,3339.700203,3889.880219,3662.64027,4057.42033,3170.000233,3394.920242,3531.540237,3610.660255,3041.000198
SM (d18:2/24:1),-0.217246747,9.362185353,4.040444801,0.044422112,0.894409388,811.7 -> 184.1,PCandSM,41132.07287,48152.49692,8147.560699,46129.70336,33953.64249,27918.84208,32981.8225,44325.0234,37689.88293,57826.44449,49577.14332,48144.72303,53911.66339,64570.24518,38678.28257
TAG(50:2)_FA 18:1,0.226135736,4.835492734,4.246698553,0.039326712,0.894409388,850.8 -> 551.8,TAG1,1984.693467,1709.090115,1303.000084,1636.920097,1435.560104,1474.540085,1619.220104,1619.180119,1980.660118,1432.060097,1772.740124,1949.620136,1997.960136,2142.220158,3102.020214
TAG(54:2)_FA 18:1,0.221631001,4.636205448,4.060857591,0.043888205,0.894409388,904.8 -> 605.8,TAG1,1729.243454,1493.276771,1101.500088,1426.2201,1753.320122,1395.420105,1408.58009,1484.820091,1955.660145,1492.520119,1501.180092,1806.880116,2176.940166,1353.800095,1579.780109
PC (36:2),-0.216253341,10.84718595,4.007049619,0.045310375,0.898877873,786.6 -> 184.1,PCandSM,115629.395,135690.6956,17483.9413,248588.5744,114830.3683,74211.06592,112658.6879,121902.8481,106869.1281,124170.6087,94670.94586,113608.2274,157449.7522,131662.849,107297.4877
C17:0,-0.212903512,11.45162301,3.884605843,0.0487307,0.924223384,269.3 -> 269.3,FFA,175759.9556,204468.0874,32193.76225,184259.0332,112871.5882,231081.7949,215187.6146,196923.6536,150346.4903,210301.3743,188349.9934,204183.6138,249635.1567,200059.0546,138168.8903
PC (42:5),-0.214079026,5.533416702,3.853720313,0.049635778,0.924223384,864.6 -> 184.1,PCandSM,2818.246859,3285.543577,1548.260117,3617.820263,2404.780151,3457.500256,2207.540154,2664.400188,2249.960152,3058.400234,2354.920166,3237.700256,4871.720341,3677.440262,2820.560188
PCo(32:3),0.21514101,4.963204726,3.852521042,0.049671277,0.924223384,714.5 -> 184.1,PCandSM,2126.110148,1843.336802,1798.120129,1961.480141,1780.840122,1814.100143,1935.620125,2058.720135,2142.300159,1560.560116,2373.880177,1746.70013,2389.980175,1918.460144,2134.040131
PE (22:6),0.212421652,6.951038505,3.841003787,0.050013571,0.924223384,526.2929 -> 385.2929,PE,8939.683987,7797.063854,1847.360126,11858.70085,8076.400501,3282.980263,6207.160435,4122.760292,3106.760212,7884.820461,18965.90156,8998.920666,5700.160423,10634.20059,11581.72079
PE (40:6),-0.212786804,7.822995131,3.866688636,0.049253607,0.924223384,792.5539 -> 651.5539,PE,14246.54101,16677.49792,1932.860123,23615.54179,14757.16105,5417.520367,12122.98088,10493.70073,10059.22071,17014.88126,15683.24118,20209.70165,17337.18121,23313.64174,15519.46099
TAG(52:2)_FA 16:0,0.211929552,4.989822252,3.743163704,0.05302396,0.966612451,876.8 -> 603.8,TAG1,2218.683487,1929.316795,1255.580078,1989.140133,1581.320114,1508.980091,1708.280106,2290.940155,2152.100151,1739.340115,1818.720119,2209.820152,2717.940235,1837.680126,3333.740196
PC (36:4),-0.208269315,10.25539453,3.71599828,0.053893389,0.969362416,782.6 -> 184.1,PCandSM,77224.69209,89803.68971,8457.720554,72835.64553,61121.08461,48704.84352,58669.02483,75857.04488,66642.60471,113273.0883,89194.16652,100344.1269,107815.267,127807.3892,79906.00486
PC (42:8),-0.209310619,5.342720783,3.673860855,0.055272011,0.981078197,858.6 -> 184.1,PCandSM,2461.333506,2865.223527,1458.500099,2836.840187,2324.020161,2311.300156,1896.520123,2880.800201,2205.960159,3059.340199,2802.160194,2965.720203,2913.160229,3137.340214,2626.180168
(11Z)-eicoseneoylcarnitine,-0.098947764,7.601194582,0.836036539,0.360532788,0.999881201,454.4 -> 85.1,acy-carnitines,12296.05756,13253.85431,6708.02047,14574.46107,10703.18074,13229.82103,12897.34094,13175.48102,12211.38089,12716.68092,14736.68109,13876.061,13718.201,11950.62081,9509.560715
"(11Z,14Z)-eicosadienoylcarnitine",-0.030048601,7.184407082,0.076996739,0.781409363,0.999881201,452.4 -> 85.1,acy-carnitines,9452.620691,9710.854031,4873.260342,9608.140659,7340.100578,9178.800636,11302.82085,9544.760696,9030.160629,11334.70087,9931.300739,10813.44078,9849.260727,7785.28054,9262.08062
"(13Z,16Z)-docosadienoylcarnitine",0.007169235,6.33891961,0.004360261,0.947352129,0.999881201,480.4 -> 85.1,acy-carnitines,5174.1437,5183.043716,4402.740295,5414.960396,4707.320354,4939.800369,5660.500412,4731.140339,5600.000389,5683.540398,5390.020363,5106.82037,5408.260395,5222.000423,4278.760284
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",1.61E-05,6.937887311,2.22E-08,0.999881201,0.999881201,384.3 -> 85.1,acy-carnitines,7852.22058,7899.143873,6297.340488,7864.900528,7449.920517,8315.460575,8274.620621,8000.840569,7363.440536,7820.920521,7914.760582,7132.920479,7927.960571,8259.820564,8182.620651
"(5Z,8Z)-tetradecadienoylcarnitine",0.145310426,6.429360162,1.791696158,0.18071964,0.999881201,368.3 -> 85.1,acy-carnitines,5762.373742,5246.877019,4771.460339,5590.440376,5500.200394,5043.580326,6070.40044,5005.120296,5404.740356,5271.920353,5102.220348,5119.100346,5194.860382,5451.100414,7301.82053
"(7Z,10Z)-hexadecadienoylcarnitine",-0.177917596,10.24269994,2.712456939,0.099567535,0.999881201,396.3 -> 85.1,acy-carnitines,77712.00192,88299.58284,5126.940365,75450.90568,52632.50347,87082.04609,88940.98573,105016.5076,78718.62534,94324.74664,80771.46529,80740.06551,105950.9668,87183.22551,59257.46487
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.154284928,6.705870538,2.023900643,0.154840942,0.999881201,476.4 -> 85.1,acy-carnitines,6441.677137,7211.543852,4082.480293,7983.86058,5177.660362,6915.140495,7459.020546,7536.72052,5887.680466,7035.280525,6070.640438,7085.700508,7846.080605,6712.560486,6208.980404
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.029715437,6.828374734,0.075167204,0.783956764,0.999881201,442.3 -> 85.1,acy-carnitines,7359.787158,7556.180524,4096.120277,7182.280476,6810.86047,7255.700523,7904.600559,8457.020607,6850.720451,7828.060547,7664.840462,7292.400467,8348.32056,7321.620525,6579.380447
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.047345097,6.657668806,0.19059073,0.662425412,0.999881201,412.3 -> 85.1,acy-carnitines,6379.053798,6635.880474,4969.640343,7354.760548,5930.820446,6500.800446,7157.480522,6861.540478,6268.740417,6155.640461,6808.700481,6544.060482,6456.580463,6398.480431,5652.000458
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.056302941,7.410226816,0.270565539,0.602952656,0.999881201,438.3 -> 85.1,acy-carnitines,11491.8008,11106.55412,4660.700333,10723.56075,8777.300644,12415.38087,14120.24097,10106.9007,9588.680664,10149.76072,11917.58079,13186.60097,13970.66099,10057.12071,10576.34073
1-O-behenoyl-Cer(d18:1/16:0),0.022793295,5.474313543,0.043662274,0.834483215,0.999881201,860.8 -> 264.3,cer,2840.033529,2813.026864,2590.860191,2713.240177,2787.500206,2916.260212,2911.840214,3020.600201,2809.620182,2776.400196,3085.120201,2872.660217,2794.760204,2579.000183,2651.360168
1-O-carboceroyl-Cer(d18:1/16:0),0.054557833,5.379560941,0.249774553,0.617233867,0.999881201,902.9 -> 264.3,cer,2680.460187,2596.126848,2517.740181,2443.24017,2582.04018,2820.360191,2796.780201,2655.440197,2582.560177,2558.140179,2560.480175,2583.70018,2761.360199,2515.880173,2799.540192
1-O-carboceroyl-Cer(d18:1/18:0),-0.008324821,5.340675074,0.005812131,0.939230283,0.999881201,973 -> 264.3,cer,2548.720181,2580.503515,2491.620171,2585.400169,2586.940178,2668.680195,2493.800179,2598.960167,2629.940186,2551.740177,2574.80019,2561.380188,2493.260181,2516.860191,2513.58017
1-O-cerotoyl-Cer(d18:1/16:0),0.010550809,5.370546559,0.009340096,0.923008975,0.999881201,916.9 -> 264.3,cer,2617.643518,2615.143517,2567.240192,2553.340168,2630.860191,2659.600208,2648.720181,2635.360184,2568.460186,2610.480183,2463.800167,2586.480186,2669.680199,2645.600174,2724.340187
