lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N1,Abe_N1,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6
15:0 Cholesteryl ester,0.086999172,5.939778875,0.518494382,0.471484643,0.999446625,628.5689 -> 369.1,CE,7472.097192,7029.2105,4329.180313,7701.240555,7450.180496,7247.520512,6174.800407,5655.420399,8392.460583,7609.820534,7137.660545,6730.940483,8137.64056,7230.320518,7539.840561
15:1 Campesteryl ester_simulated,-0.090861065,8.320645725,0.568571779,0.450827012,0.999446625,640.6002 -> 369.1,CE,38504.78601,40617.81293,4791.720337,39889.32287,22956.22168,40792.8229,36427.98257,45041.22331,47095.08313,38819.98285,46567.90324,34239.44269,55086.66389,44924.08298,22894.86157
15:1 Cholesteryl ester,0.010745276,5.664404127,0.00789897,0.929180339,0.999446625,626.5532 -> 369.1,CE,5928.687087,5883.847087,4445.060314,5197.460358,4811.380333,5294.700367,5829.860416,5313.960373,5736.160419,6626.380447,6490.02047,7611.360561,6601.140461,5259.220413,6103.560421
16:0 Cholesteryl ester,-0.11207715,8.193184752,0.864919544,0.352365644,0.999446625,642.5845 -> 369.1,CE,34806.59918,37336.36264,5354.300404,37114.62263,24227.9618,35116.6825,35867.36239,40484.40294,43942.08331,36323.50259,38873.50298,29830.2022,42298.04288,45148.763,23630.64175
16:1 Cholesteryl ester,-0.077027337,8.292798947,0.408629315,0.522666032,0.999446625,640.5689 -> 369.1,CE,37958.09603,39657.31627,4794.02034,38026.40278,21774.52151,41014.88299,34082.02235,41748.7833,47740.14352,37842.64274,48779.58342,34013.82244,51998.72362,45297.36337,23373.58175
16:2 Campesteryl ester,-0.009562922,5.930833389,0.006265752,0.936908143,0.999446625,652.5689 -> 369.1,CE,7267.900504,7294.53385,3480.100262,7385.780499,5649.680386,7114.96051,6632.280449,7285.800541,8145.900562,7209.100525,8730.82058,6573.080448,7083.700535,8198.480579,7365.020512
"16:2 Cholesteryl ester, zymosteryl palmitoleate",-0.016882532,6.013456875,0.019535893,0.888841039,0.999446625,638.5532 -> 369.1,CE,7710.677217,7772.010562,3482.360252,7780.560585,6426.82048,7557.720608,6714.940517,7847.540516,8437.600594,7009.880486,8647.060574,8369.820633,9411.720642,8066.540546,6625.920494
16:3 Campesteryl ester,0.006753952,5.188469258,0.003110616,0.955522724,0.999446625,650.5532 -> 369.1,CE,4212.673627,4193.116974,3594.020233,4143.200306,4236.360287,3999.480278,4311.7803,4207.060295,4130.640301,4211.780319,4381.480305,4457.640327,4001.14027,4139.540318,4214.640301
16:3 Cholesteryl ester,0.050497444,5.510209144,0.174301021,0.676317303,0.999446625,636.5376 -> 369.1,CE,5459.597055,5264.423701,3422.700241,5345.600357,4778.300346,5178.380379,5563.460403,5257.460358,5617.500397,4982.340363,6220.74044,5630.180397,5541.680393,5192.580353,5035.900349
16:3 Stigmasteryl ester,0.194936242,6.213386341,2.604794395,0.106540974,0.999446625,662.5532 -> 369.1,CE,9588.627337,8348.643922,3318.820236,8150.50058,6757.600479,8776.240601,8235.100559,7431.36055,11714.96081,7183.100502,11277.06084,9905.100716,11303.58077,8645.560581,8243.460556
17:0 Campesteryl ester_simulated,-0.093300834,6.905327641,0.598277071,0.439236157,0.999446625,670.6002 -> 369.1,CE,14130.10765,15025.53771,4094.140312,14663.00098,12599.90083,14666.82103,13759.58099,13984.42094,16558.66112,15353.84109,14855.8611,13905.58091,14719.74104,17579.56133,12286.9008
17:1 Campesteryl ester_simulated,-0.173934441,9.619762455,2.084112324,0.14883872,0.999446625,668.5845 -> 369.1,CE,92695.35664,103342.5808,4946.64035,96160.5874,45717.50319,93391.30659,88279.94611,111335.9077,127743.9098,101929.6673,118359.5676,81433.98535,127422.5698,135804.0303,48648.64339
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.087596602,7.924627777,0.52824287,0.467346532,0.999446625,654.5845 -> 369.1,CE,28812.02874,30402.93881,8055.36055,29013.26203,19551.20139,28328.80188,26575.50189,30417.04211,34052.58239,29806.62217,33277.76243,27153.86187,37359.78277,37698.0428,22055.34156
18:0 Campesteryl ester,0.028843493,5.633676423,0.056907145,0.811452845,0.999446625,684.6315 -> 369.1,CE,5866.233742,5752.800405,4013.760277,5843.780422,4701.280323,5638.820419,6385.520473,5458.860363,6113.620361,5524.76038,5897.60043,6210.800446,5956.420414,5839.780399,6142.960449
"18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-0.045361325,6.93172678,0.14144536,0.706848336,0.999446625,670.6158 -> 369.1,CE,14652.14769,15085.69108,4017.220295,15399.92116,13829.96099,14262.80104,14235.82101,13922.72095,16205.64108,14900.24104,16111.96118,15724.78114,15076.70103,16303.68114,12452.80085
18:1 Campesteryl ester,0.069291365,5.813802319,0.328737547,0.566403413,0.999446625,682.6158 -> 369.1,CE,6834.013822,6503.853793,3707.020252,5762.220421,5512.04039,6875.460457,7235.380527,6342.620468,6829.400497,5869.120407,7103.000488,7331.820522,8052.320541,6841.880486,6271.940487
"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.134499158,9.631769738,1.24651254,0.26421961,0.999446625,668.6002 -> 369.1,CE,94840.64975,102894.6041,5071.400368,100172.107,47536.44319,98587.18666,90017.7059,109899.7879,131090.1491,95731.92697,121116.0479,79213.96637,131589.5689,133762.6497,47693.98344
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-0.065092261,9.811178727,0.292052889,0.588907985,0.999446625,666.5845 -> 369.1,CE,110336.171,113965.3147,4674.240337,102946.9272,53233.54407,116645.6884,97627.96664,125972.9883,156471.0311,109368.6079,141933.1702,94255.66672,161740.8305,134602.0098,51010.48358
18:3 Campesteryl ester,-0.152126882,5.518767826,1.581298434,0.208573764,0.999446625,678.5845 -> 369.1,CE,5116.037036,5675.817064,3410.380241,4811.120354,4945.320343,5303.100372,4533.940323,5191.320362,5133.300381,5892.340393,5644.460426,6556.180431,5432.260365,6300.840473,5006.940376
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-0.049071484,7.756717492,0.16576361,0.683904597,0.999446625,664.5689 -> 369.1,CE,26443.11524,27069.77192,3657.100243,24924.42155,14596.80109,27910.34194,24263.14161,29078.72216,34867.02261,23251.74178,34081.38246,26386.62189,38023.02268,30866.78219,12827.32097
"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",0.017044295,5.642812747,0.01987327,0.887891598,0.999446625,684.6471 -> 369.1,CE,5907.753758,5828.567076,3868.360275,5505.160416,5097.800365,5839.740364,5642.080418,5233.080368,5776.320427,5978.800426,6792.800468,6260.400433,6505.920464,6154.220448,5631.600407
20:0 Campesteryl ester,0.100571418,5.497924579,0.691189625,0.40576004,0.999446625,712.6628 -> 369.1,CE,5483.943726,5113.573711,3578.880238,5254.900402,4999.800331,4869.160347,5539.360397,4568.820328,4782.920368,5145.580383,6578.020435,5746.740417,5705.98045,5096.240391,5297.580376
"20:0 Cholesteryl ester, 18:0 Sitosteryl ester",0.264951156,6.647693112,4.815486563,0.028205108,0.999446625,698.6471 -> 369.1,CE,13270.33095,11031.27078,4003.500278,9195.400658,9337.860703,13338.661,16054.64106,9882.720684,13001.80098,9144.52063,15353.12114,13190.68091,15176.74112,11435.64078,10697.8207
20:1 Campesteryl ester,0.044872499,5.325201461,0.137451542,0.710827785,0.999446625,710.6471 -> 369.1,CE,4732.930328,4584.293657,3592.400272,4384.360313,4473.820278,5144.980373,5028.180378,4486.640308,4572.500317,3937.240292,4885.200359,4655.820312,5121.640343,4896.720345,4316.240292
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",0.099542288,5.935916,0.678779512,0.410007312,0.999446625,696.6315 -> 369.1,CE,7556.410522,7050.220502,3552.840252,7013.500481,5818.580379,6890.740471,7775.320511,6538.600475,8165.220589,6850.660465,7676.180546,7941.040596,8218.140594,7066.780525,7685.020512
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",0.016530252,5.72832848,0.018701976,0.89122432,0.999446625,694.6158 -> 369.1,CE,6294.857126,6218.727109,3784.420261,6956.640491,5576.76041,5750.660393,5992.840424,5630.920391,5904.120415,6522.060478,6897.360504,6460.360466,7133.24052,5991.720432,6264.82048
20:3 Campesteryl ester,-0.175518,5.93197011,2.109277546,0.146408423,0.999446625,706.6158 -> 369.1,CE,6770.910478,7640.343876,4410.200329,9491.660706,6014.380421,6869.060459,6355.160431,6901.220486,6510.960442,7616.460548,7684.800571,8018.560555,7716.080551,6945.100502,6344.080452
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",-0.160995645,7.624269539,1.783110428,0.181767847,0.999446625,692.6002 -> 369.1,CE,23132.97162,25599.8885,3588.280247,23265.32156,11883.90089,25671.80186,20760.04142,26930.44209,30546.18204,24877.54177,28264.40204,23878.32161,33954.72251,28975.90213,13388.58085
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",-0.037628784,10.28385209,0.097615631,0.754709952,0.999446625,690.5845 -> 369.1,CE,154827.7542,156883.6147,4706.500328,135642.1292,76045.32526,169344.6724,132616.5498,177688.574,205500.1551,149469.9303,202715.074,136719.6894,241712.3962,172436.6927,70377.02482
20:5 Cholesteryl ester,-0.043838145,8.714284554,0.132408551,0.715947726,0.999446625,688.5689 -> 369.1,CE,51722.09371,52788.99042,3792.240273,44034.10313,29770.66222,56310.22443,42341.82309,54933.30392,63898.46455,50864.58382,65419.08441,51268.34346,76635.30563,59323.38377,32267.22235
22:0 Campesteryl ester,0.026207575,5.344787617,0.046894764,0.828557505,0.999446625,740.6941 -> 369.1,CE,4777.886997,4689.447013,3492.360237,4613.140362,4933.480335,4430.400318,4979.600311,4644.360321,4781.50034,4669.320354,4644.940338,4825.660366,4812.680321,4953.800358,4515.120335
22:0 Sitosteryl ester,-0.055361899,5.810572372,0.209844817,0.646889062,0.999446625,754.7097 -> 369.1,CE,6467.240479,6742.120479,4019.580276,7732.560593,5643.180401,5867.340401,6354.280453,6174.500423,5802.400429,6815.08046,6262.140484,6287.380474,5820.280472,7575.860523,8921.160633
