lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N1,Abe_N1,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",-0.632718106,9.980895198,27.37945412,1.67E-07,2.26E-04,388.3 -> 85.1,acy-carnitines,97841.027,152276.4277,5861.500397,197063.0149,97445.80679,80830.98573,75650.92529,135677.1507,90149.26638,194149.994,83151.16615,95007.48689,72325.78502,210929.9338,168323.2124
PI (36:0),0.50283146,4.65647543,17.07586994,3.59E-05,0.018472394,884.5958 -> 607.5958,PI,3543.420242,2495.346849,1473.100101,2668.940189,3385.900265,3196.000217,3260.460213,2080.460148,4156.280281,1873.50013,3441.020252,3370.860279,4998.720287,1782.320129,2018.140156
PIp (38:6),0.498982412,4.673701513,16.82081675,4.11E-05,0.018472394,884.5383 -> 607.5383,PI,3596.696914,2536.570187,1337.400105,2308.720184,3243.680218,3352.160213,4061.440281,2616.920204,3758.120255,1890.140125,4160.580288,3160.24025,4506.780323,1891.240147,1849.58012
16:0 Campesteryl ester,-0.467452789,7.234743185,14.96474909,1.10E-04,0.036941847,656.6002 -> 369.1,CE,15382.33438,21386.08486,3935.880276,26422.86184,25147.56161,12857.04084,10973.82077,17921.2813,12913.68093,24075.26174,11626.34082,22770.44176,11218.34079,24269.62167,20414.26138
17:0 Cholesteryl ester,-0.45589206,7.255045546,14.23724246,1.61E-04,0.043478135,656.5845 -> 369.1,CE,15666.33777,21598.63492,4054.4203,25398.42189,25126.50167,11328.58083,10416.36074,19424.82135,11806.06081,23690.00161,13525.24097,23988.22184,11310.40079,25761.762,21813.46164
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.422157751,9.361352373,12.2398072,4.68E-04,0.105178523,384.3 -> 85.1,acy-carnitines,93683.93333,69872.21161,6839.920471,57669.12358,73754.02577,96879.16708,98868.56664,44281.64332,114990.0477,61194.9444,104927.2677,94463.38657,103823.1474,64745.00472,65740.54472
TAG(56:1)_FA 16:1,0.389326678,6.218015651,10.36757294,0.00128248,0.247152289,934.9 -> 663.9,TAG1,10472.68403,7947.623866,1208.080086,6829.000484,7948.420567,11312.22075,10532.36065,8153.540611,13448.32082,6257.400379,12066.80092,8017.760544,12947.70084,7115.820435,5892.500378
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.381810609,8.938524977,10.01646413,0.00155147,0.253121381,412.3 -> 85.1,acy-carnitines,69005.21143,52907.90381,5647.160374,44364.20332,56829.64392,74023.30572,73568.42532,34532.44235,78804.68524,44589.26306,78564.98535,70412.84489,80902.36555,49525.3635,45361.16322
PI (42:3),0.380526218,5.333815545,9.860418593,0.001688727,0.253121381,962.6428 -> 685.6428,PI,5554.410401,4239.063634,1429.120094,3299.980255,4094.580315,5229.42038,8050.160511,6048.740417,5162.340389,3671.92025,6845.980549,3392.640247,6195.040405,3791.680256,2978.360237
TAG(58:8)_FA 20:0,0.370677905,4.777409748,9.315324202,0.002272452,0.306553729,948.8 -> 619.796,TAG2,3755.076922,2894.946857,1043.540081,2768.640175,3131.320213,3249.600208,4884.540344,3442.460232,4038.040272,2685.520214,4033.040279,2994.780178,4074.620289,2228.680138,2368.900135
PE (38:4),0.363689396,4.316802517,8.90306418,0.002846925,0.349136557,768.5539 -> 627.5539,PE,2472.650173,1916.076804,3096.560246,2257.540161,2581.900158,1906.72015,2061.40015,2021.960136,2847.000191,1469.060104,2626.940193,2222.020164,2926.280224,1619.16011,1792.380123
Cer(d18:2/22:0),0.357595745,5.134300829,8.695621664,0.003189753,0.358581411,620.6 -> 262.4,cer,4663.200338,3628.453581,2534.780178,3396.060226,4161.260323,3896.540283,5088.82037,3350.400219,4830.600338,3536.20023,5507.160358,3841.360279,5047.68037,3750.160252,3343.680267
PIp (20:0),0.349741025,6.379951929,8.375932858,0.003802223,0.394553801,630.3713 -> 353.3713,PI,11534.58743,9018.987307,1384.160095,7245.90049,9241.420658,12004.52074,15839.36102,10534.68081,11553.40076,7825.940521,13986.10102,9254.600735,12033.56071,7248.280552,6553.680389
19:0 Campesteryl ester_simulated,0.331219083,6.59825283,7.51858241,0.006106572,0.527179483,698.6315 -> 369.1,CE,13111.34761,10404.75072,3746.020267,9102.600616,10352.48072,11875.86084,14634.3411,9101.780682,13721.70095,8664.560612,13229.14094,12601.96083,16565.82126,11081.74073,10164.6007
C15:0,0.328010983,13.53071192,7.403778793,0.006508701,0.527179483,241.3 -> 241.3,FFA,1639938.338,1308262.358,53257.42375,1419406.189,1526389.598,1794227.017,1629232.178,1085217.557,1670345.631,1050591.937,1606703.82,1296269.329,1783462.305,1203862.117,1623496.494
C24:0,0.331801377,13.74005861,7.575533252,0.005916587,0.527179483,367.3 -> 367.3,FFA,1882737.788,1501086.923,156360.6902,1758564.188,2094543.878,1797049.13,1982845.577,1362906.985,1723059.921,1260255.052,1784216.043,1413579.881,1655626.996,1414166.302,2056134.314
PIo (42:6),0.329304109,4.935915446,7.366915961,0.006643478,0.527179483,942.6166 -> 665.6166,PI,4124.206962,3274.290253,1347.44009,3441.300297,3527.800205,5010.100445,4352.960304,3281.080254,4504.140327,2375.540154,4608.180344,3008.700226,4857.400379,2529.020142,2894.760212
Cer(d18:0/20:0),0.323482393,5.94469427,7.155428666,0.007473743,0.560115523,596.6 -> 266.4,cer,8307.87392,6612.377145,2554.940186,5474.060383,5984.120453,8480.28059,8655.440701,6870.420513,8647.220604,5695.460423,10745.06073,7315.360565,9633.52063,5838.680397,6181.880402
C16:1,0.312802493,12.7542197,6.734283063,0.009457724,0.671498373,253.3 -> 253.3,FFA,952336.1702,768321.9101,29582.26213,787935.2762,895486.8272,919846.1677,962943.4447,644905.8021,938509.5618,631938.8274,959924.4516,873812.3076,969979.1675,751493.0799,987173.5685
Cer(d18:0/22:0),0.306403385,5.650439242,6.41153293,0.011338149,0.764758148,624.6 -> 266.4,cer,6685.427131,5382.553725,2528.220169,4395.020329,5596.820354,6234.160435,7431.580513,5968.04044,6650.680458,5413.74041,7924.700607,5576.920395,7787.78051,4707.440342,4721.000343
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",0.297060124,6.076779953,6.039041065,0.013992883,0.820712997,726.6784 -> 369.1,CE,8867.127298,7209.990519,4074.32029,7195.740513,7532.540489,8728.720654,10067.28075,7430.160526,7173.600521,6474.900478,10252.18073,7223.300507,10400.86076,6207.120434,7776.300549
PCp(42:6),0.296559343,9.137733336,6.050464885,0.013902636,0.820712997,846.6 -> 184.1,PCandSM,77929.52237,62941.74096,1784.360138,50350.24376,57801.52359,93011.66613,64801.40477,65283.00428,95854.62703,52707.12345,85381.64679,56958.42408,116387.8682,59339.98406,47350.06382
TAG(60:8)_FA 20:0,0.300809451,4.043649437,6.080187966,0.013670622,0.820712997,976.9 -> 647.9,TAG2,2165.906823,1747.226789,1054.260075,1485.480099,1965.180141,1954.680115,2615.960194,2343.460178,2183.100159,1627.760128,2450.740185,1515.860123,2528.260174,1556.120094,1252.200089
C20:1,0.289010504,11.41386869,5.749960478,0.016489028,0.887719879,309.3 -> 309.3,FFA,371095.8028,304475.5416,29749.04217,333940.425,372032.3889,366622.0252,375063.1439,252656.3575,369242.7473,272370.0603,356766.5052,303068.641,354266.686,298195.7409,399203.3456
C24:5,0.287362043,12.57044715,5.685106503,0.017109501,0.887719879,353.3 -> 353.3,FFA,827559.9167,680634.1491,50897.54383,791901.8159,929674.1878,826525.3781,804040.2356,562378.6429,790446.3228,581121.2442,777238.5554,650448.6918,722566.1711,671429.1218,941394.0274
TAG(58:1)_FA 18:1,0.290874041,6.142946777,5.79332377,0.016087146,0.887719879,962.9 -> 663.9,TAG2,9648.884029,7840.06389,1107.420074,6395.560505,7856.060543,12101.60088,9440.300747,7413.980598,11642.06085,7242.100452,11272.70068,7207.200447,12141.06093,6679.940456,5541.120434
PE (14:0),-0.283063287,4.727492867,5.434618514,0.019741402,0.966223904,426.2616 -> 285.2616,PE,2841.066862,3484.046904,1343.960098,3813.760296,4717.16032,1951.400154,2083.660118,3360.92025,2170.880157,4037.500229,1821.620136,3976.320251,1784.76012,3764.380245,4468.32032
STD_18:1(d7) Chol Ester,0.280527698,7.503159927,5.407095742,0.020055055,0.966223904,675.64 -> 369.1,QC,942660.9755,946112.7396,1583133.754,1284383.113,1293878.692,1210064.864,1168326.539,1025576.494,1040621.273,1116786.098,1085923.674,1007692.407,1029093.752,32173.46229,38121.92268
STD_18:1(d7) Chol Ester,0.280527698,7.503159927,5.407095742,0.020055055,0.966223904,675.64 -> 369.1,CE,24613.13505,20130.23142,3722.600266,16221.54118,18120.28129,24978.34157,21367.08149,21169.4015,29527.28197,19048.76138,28839.32198,22604.82169,33557.82234,16758.52123,16267.02124
cis-5-Tetradecenoylcarnitine,0.27600979,9.068215069,5.242035666,0.022047461,0.991400834,370.3 -> 85.1,acy-carnitines,73100.91858,60173.75086,6828.100494,47305.60342,52712.90389,81304.1449,65565.06467,46374.00355,86781.86629,53504.36399,100222.5073,77669.26529,79596.16533,54885.12402,53727.00404
PGo (20:0),0.278348753,4.90708198,5.263633229,0.021775515,0.991400834,544.3709 -> 355.3709,PG,3880.816956,3184.253573,2335.960167,2764.540184,2947.980228,3934.500263,3477.580235,3084.540241,4920.340359,2772.060211,4689.520359,3888.540337,4675.780376,2661.340202,2573.700176
(11Z)-eicoseneoylcarnitine,-0.116857474,9.563755226,0.941017943,0.33201619,0.999446625,454.4 -> 85.1,acy-carnitines,89687.68296,98172.75006,6120.620483,146678.05,123206.6283,194790.673,162081.6715,59716.22432,67120.58475,64136.1048,73363.60516,63709.34409,59394.90415,60006.10419,52958.70386
"(11Z,14Z)-eicosadienoylcarnitine",-0.02486232,7.80482099,0.04255471,0.836566007,0.999446625,452.4 -> 85.1,acy-carnitines,27133.92863,27663.57859,4959.000362,28623.34193,27778.98206,23553.42176,24074.66175,25166.04151,25179.94173,28904.38197,25815.24199,28461.64198,25406.70182,31272.64242,34548.04245
"(13Z,16Z)-docosadienoylcarnitine",-0.004957374,7.205147062,0.001690328,0.967205336,0.999446625,480.4 -> 85.1,acy-carnitines,17815.49792,17912.81792,5582.280357,17917.80127,19068.68127,18085.24126,16261.88123,16960.68114,17475.88125,17927.96135,17746.98126,18541.9413,15105.00106,18043.2812,21234.56146
"(5Z,8Z)-tetradecadienoylcarnitine",0.111263704,7.446199818,0.851632273,0.356090985,0.999446625,368.3 -> 85.1,acy-carnitines,22122.4982,20449.99813,5240.480354,19438.2814,19525.4814,23702.36167,22238.18143,18218.48128,24024.02169,21338.76141,24238.12154,20373.78154,22675.50163,19628.3215,20033.68153
"(7Z,10Z)-hexadecadienoylcarnitine",-0.08345064,13.8768397,0.480188516,0.488336939,0.999446625,396.3 -> 85.1,acy-carnitines,1815249.813,1943526.948,5415.660374,2917907.928,2537026.51,4412935.047,3703571.117,1082046.041,1310488.54,1064017.832,1368073.888,1197237.109,1242777.416,987017.7307,729561.4076
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.131504081,7.444384378,1.189543631,0.275421631,0.999446625,476.4 -> 85.1,acy-carnitines,22233.47161,20326.46151,4688.940319,20966.70157,23177.38171,19335.12146,19379.72125,17401.62139,21783.12155,20890.60147,21012.50154,21124.52163,22023.20169,22240.20156,26024.9019
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.064206643,9.105508073,0.284082842,0.594037579,0.999446625,442.3 -> 85.1,acy-carnitines,66420.9582,70071.44154,5315.520355,100606.1671,87500.66659,126883.3283,109435.0476,46807.98338,49378.14354,49890.46395,51776.04394,50628.36357,49850.20364,45612.34298,50585.64388
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.052517456,7.79274897,0.18986466,0.663029284,0.999446625,438.3 -> 85.1,acy-carnitines,26569.01519,27592.21531,5973.260452,27362.30195,27392.18196,25405.12194,25071.86183,25267.74166,25101.28157,28020.90207,27005.78204,28628.62217,23987.32168,30868.60207,30855.66208
1-O-behenoyl-Cer(d18:1/16:0),0.035778534,4.515203777,0.086693317,0.768423777,0.999446625,860.8 -> 264.3,cer,2637.126851,2569.726846,2583.500183,2375.780163,2703.740208,2769.000206,2759.600182,2561.180187,2636.540176,2555.460178,2639.560188,2502.700169,2673.600185,2654.240173,2409.720165
1-O-carboceroyl-Cer(d18:1/16:0),-0.04058313,4.656708171,0.111746729,0.738164206,0.999446625,902.9 -> 264.3,cer,2858.870197,2948.173543,2493.640167,2915.560211,2969.82021,2774.960197,2641.720188,2796.9202,2435.78017,2669.680199,2766.36018,3299.780228,2791.480186,3232.140221,3548.060249
1-O-carboceroyl-Cer(d18:1/18:0),0.01725665,4.495894668,0.020163604,0.887081106,0.999446625,973 -> 264.3,cer,2587.986851,2556.693512,2514.500187,2528.460182,2612.10017,2602.700176,2480.78017,2519.480175,2570.540192,2540.340195,2622.660194,2642.520168,2608.880196,2506.660175,2632.960182
1-O-cerotoyl-Cer(d18:1/16:0),0.010658064,4.58402695,0.00769995,0.930075889,0.999446625,916.9 -> 264.3,cer,2746.873525,2726.616868,2634.580193,2669.120201,2560.280178,2911.860214,2883.880203,2684.64019,2823.600201,2669.840187,2792.920204,2576.860191,2560.540192,2847.380226,2860.020172
1-O-cerotoyl-Cer(d18:1/18:0),-0.016964922,4.712966085,0.019540882,0.888826939,0.999446625,944.9 -> 264.3,cer,3010.486889,3041.60688,2570.68018,3268.700218,2927.520218,3100.780224,3162.020222,3210.020222,3180.740219,2752.260193,2952.360241,3011.400223,3252.520245,2906.480198,2587.760189
1-O-eicosanoyl-Cer(d18:1/16:0),0.040656199,4.516921199,0.111952964,0.737931576,0.999446625,832.8 -> 264.3,cer,2655.780187,2581.266847,2470.540176,2591.860184,2586.780178,2498.180168,2703.720196,2522.60017,2693.840183,2569.620178,2725.000202,2779.040207,2654.960175,2526.300175,2570.380188
1-O-lignoceroyl-Cer(d18:1/16:0),0.013027975,4.507474573,0.011493986,0.914622374,0.999446625,888.9 -> 264.3,cer,2603.490182,2580.933517,2552.000175,2701.38018,2436.780167,2724.720192,2618.86018,2436.660183,2656.000187,2421.100178,2723.740204,2664.680183,2539.88018,2537.060184,2645.680176
1-O-myristoyl-Cer(d18:1/16:0),-0.067650381,4.72386755,0.310746438,0.577222502,0.999446625,748.7 -> 264.3,cer,2979.620213,3131.20022,2500.720165,3243.740215,3078.820229,4179.400288,3259.060219,2692.720173,2698.100197,2570.500172,2991.400211,2982.920231,2733.080193,3117.920242,3117.260231
1-O-palmitoyl-Cer(d18:1/16:0),0.012069864,4.594954165,0.009877261,0.92083306,0.999446625,776.7 -> 264.3,cer,2783.993533,2764.993525,2467.180183,2845.460197,2613.840199,2938.28022,2964.420208,2927.860214,2706.620197,2495.720165,2555.300175,2762.380184,2727.140186,2620.260166,3136.640236
1-O-stearoyl-Cer(d18:1/16:0),0.002618031,4.502388647,4.64E-04,0.982811597,0.999446625,804.8 -> 264.3,cer,2591.223518,2587.066851,2473.100182,2731.640198,2555.700188,2575.38018,2633.080189,2555.960175,2495.500175,2473.540165,2690.780186,2669.600204,2576.260189,2516.280182,2596.02018
1-O-tricosanoyl-Cer(d18:1/16:0),0.01526434,4.480580457,0.01577378,0.900053543,0.999446625,874.9 -> 264.3,cer,2561.126839,2534.516847,2444.280163,2539.400169,2484.24017,2530.980183,2601.540184,2652.240185,2456.94017,2453.780167,2609.000172,2523.880188,2493.480167,2506.82019,2721.560169
1-O-tricosanoyl-Cer(d18:1/18:0),0.01104212,4.451890647,0.008250942,0.927623942,0.999446625,1001 -> 264.3,cer,2501.163507,2480.446845,2476.620182,2424.320168,2570.94017,2489.600178,2538.280182,2544.68018,2558.100189,2451.100178,2419.460167,2477.020168,2507.880169,2495.960197,2412.320164
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.186140604,7.791615501,2.383660935,0.122609914,0.999446625,444.4 -> 85.1,acy-carnitines,28965.78535,25471.77851,4853.920338,28429.062,28662.06207,28094.2621,24612.22181,20445.40136,30394.98206,25022.02181,30542.04206,25596.48178,29253.46201,25243.44199,30329.94206
12:0 Cholesteryl ester,0.067301258,6.317226689,0.310737324,0.577228086,0.999446625,586.5219 -> 369.1,CE,9438.130663,9005.803969,7535.860531,8833.640629,8850.340641,9116.540665,9685.120659,9317.860672,9391.800659,8943.320621,9504.700676,8934.360611,9365.340645,8889.100616,9831.480698
14:0 Cholesteryl ester,-0.012737308,6.015151798,0.011120016,0.916017565,0.999446625,614.5532 -> 369.1,CE,7690.057222,7739.800563,3788.540276,7671.800541,6065.520432,8160.400623,7968.640587,7040.020527,8623.700634,7444.080479,8679.640625,7522.960545,7982.600586,8599.540665,6820.240467
14:1 Cholesteryl ester,0.071589908,5.409938078,0.35005253,0.554083396,0.999446625,612.5376 -> 369.1,CE,5084.82369,4838.053675,3599.920265,4793.16032,4785.720333,5209.140373,4834.800339,4412.040337,5066.780369,4333.480312,5094.600349,5113.000347,5581.300377,5167.500359,5145.740372
15:0 Campesteryl ester_simulated,-0.161717901,8.149275706,1.800204706,0.179687749,0.999446625,642.6002 -> 369.1,CE,33190.33567,36824.30603,5291.400372,38578.42288,22615.70162,34881.62245,33934.98238,37486.4626,43141.38306,34298.36256,38616.8627,29349.4023,41149.10294,46351.56339,19683.98132
