lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",-0.835891023,10.3728667,30.14927095,4.00E-08,5.40E-05,388.3 -> 85.1,acy-carnitines,107834.498,191502.4399,5861.500397,172210.653,128581.3101,237522.0149,169004.5931,183443.3723,90346.16654,148128.8906,110826.1682,135977.009,115915.3879,271732.6993,32333.36192
(11Z)-eicoseneoylcarnitine,-0.307461091,9.367643336,4.127011165,0.042203828,0.999096367,454.4 -> 85.1,acy-carnitines,66784.92798,82539.74937,6120.620483,151774.611,130993.7491,117129.2485,78513.4856,58239.72447,60112.82417,63558.42465,57940.16415,60370.86451,57561.00381,44165.62313,15588.34108
"(11Z,14Z)-eicosadienoylcarnitine",-0.166438127,7.772535966,1.209985577,0.271334978,0.999096367,452.4 -> 85.1,acy-carnitines,23035.73827,25782.95185,4959.000362,27684.34188,33561.18225,28869.44213,22370.38152,28155.46199,28279.50206,23639.08159,24217.40166,23608.64181,20862.50143,22740.74168,8923.460678
"(13Z,16Z)-docosadienoylcarnitine",-0.068405037,7.15549087,0.204340297,0.651240059,0.999096367,480.4 -> 85.1,acy-carnitines,15335.74779,16044.62112,5582.280357,18350.8013,21897.70166,16535.4411,15556.86111,16288.00109,17939.94138,15305.74112,15534.50113,14923.66105,15074.34108,14864.08107,6011.140381
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.053840076,8.767027017,0.126756718,0.721818774,0.999096367,384.3 -> 85.1,acy-carnitines,48189.64323,49865.70362,6839.920471,52194.40382,58667.50417,52396.34378,36187.8826,37791.00296,68837.44438,66008.16451,61957.48391,49794.2836,46802.44312,41010.02302,16685.1012
"(5Z,8Z)-tetradecadienoylcarnitine",-0.071506236,7.332036006,0.22333813,0.636508117,0.999096367,368.3 -> 85.1,acy-carnitines,17423.47792,18289.51791,5240.480354,21966.44163,22632.00174,17150.78119,15638.00115,18015.96112,19206.02143,19110.58137,19246.66118,18866.62115,19540.50142,14626.72102,8277.68058
"(7Z,10Z)-hexadecadienoylcarnitine",-0.26936728,13.61658405,3.170314055,0.074988026,0.999096367,396.3 -> 85.1,acy-carnitines,1299652.26,1563592.947,5415.660374,3047043.256,2762970.205,2380856.905,1571691.982,991913.597,1085570.558,1140086.978,1129084.668,1187502.001,1125048.338,634154.9433,123547.808
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.185287674,7.415780032,1.49884567,0.22084906,0.999096367,476.4 -> 85.1,acy-carnitines,17790.83127,20196.29478,4688.940319,22503.4015,22688.44168,19218.86135,16942.42114,20393.24155,21433.48145,20891.98144,19543.02149,20128.10149,18386.52126,18042.18134,7751.100582
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.273376285,8.959137439,3.263553954,0.070835449,0.999096367,442.3 -> 85.1,acy-carnitines,50926.01687,61413.69761,5315.520355,103309.0469,94261.60669,83185.56556,58758.66414,45786.34335,46365.20318,47152.90331,46189.10283,48448.04353,47765.18351,40600.28301,12216.34089
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.033534858,8.346316622,0.049167386,0.82451847,0.999096367,412.3 -> 85.1,acy-carnitines,36171.55579,36947.52265,5647.160374,41405.16304,45799.6434,37424.10253,29389.70188,31577.64228,50665.96339,45194.76316,43984.68282,36663.04257,33350.52223,29420.42232,13838.82103
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.103942569,7.743265541,0.472057968,0.492041928,0.999096367,438.3 -> 85.1,acy-carnitines,22989.23162,24636.32843,5973.260452,25842.06181,33199.72239,27801.94197,22312.64164,26992.42197,28576.00204,22386.86158,22874.34154,22868.10169,22329.80154,21926.58155,8642.880554
1-O-behenoyl-Cer(d18:1/16:0),0.034513223,4.669463683,0.05153293,0.82041701,0.999096367,860.8 -> 264.3,cer,2665.67352,2613.883516,2583.500183,2687.540195,2515.960163,2548.880196,2718.600189,2459.280167,2681.300182,2728.500183,2629.760189,2776.82019,2671.780182,2482.280163,2776.640213
1-O-carboceroyl-Cer(d18:1/16:0),-0.002535954,4.78362925,2.78E-04,0.986685363,0.999096367,902.9 -> 264.3,cer,2873.726868,2890.08687,2493.640167,2976.640205,3007.960228,2944.680206,2931.840199,2768.260197,2749.240185,2742.460201,2650.360188,2736.700191,2565.960178,3171.780216,3337.000229
