type,ab,ve
acy-carnitines,0,1
CE,0,3
cer,0,0
FFA,0,5
PCandSM,0,1
PE,1,0
PG,4,0
PI,1,0
PS,0,3
QC,0,0
TAG1,2,0
TAG2,0,1
