lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
"(5Z,8Z)-tetradecadienoylcarnitine",0.013253973,7.646669566,0.009434465,0.922622225,0.999200575,368.3 -> 85.1,acy-carnitines,22218.22162,21615.92955,5240.480354,23275.96167,23754.24179,20940.70151,22155.86175,21151.46149,23540.96165,21651.72159,22363.56156,21059.80148,19276.48133
"(7Z,10Z)-hexadecadienoylcarnitine",-0.007922493,13.98356124,0.003377702,0.953654636,0.999200575,396.3 -> 85.1,acy-carnitines,1828947.673,1805731.174,5415.660374,3038453.072,2929449.611,2638789.564,3092030.445,1069241.595,1063620.759,1317081.572,1067230.198,965090.0676,992407.3523
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.072306288,7.679050634,0.280773406,0.596194746,0.999200575,476.4 -> 85.1,acy-carnitines,22132.7216,22846.22565,4688.940319,22628.10169,24049.92194,21092.2615,19880.46141,22326.04168,23252.94153,24254.18185,23077.60163,23930.54155,20402.68148
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.065719251,9.313537458,0.232264742,0.629849618,0.999200575,442.3 -> 85.1,acy-carnitines,69850.52083,71778.90892,5315.520355,105805.8467,99284.32721,93453.92642,103472.2272,52137.8839,51725.6432,58058.68382,50650.58335,49438.20373,44119.82315
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.038660535,8.628660684,0.080350754,0.776822642,0.999200575,412.3 -> 85.1,acy-carnitines,44811.3632,42828.11495,5647.160374,42285.26295,48912.24388,43561.72337,46955.94323,44496.38301,47994.54329,40505.66274,40508.10278,43291.54268,39685.98282
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.065672904,8.188085355,0.231761269,0.630220939,0.999200575,438.3 -> 85.1,acy-carnitines,31638.84214,32504.52631,5973.260452,31509.56207,31120.74231,33119.96257,31660.2423,30555.38235,32560.72214,32913.40192,33293.3218,34424.32265,29559.18215
1-O-behenoyl-Cer(d18:1/16:0),-0.061234083,4.723181043,0.198459251,0.655967379,0.999200575,860.8 -> 264.3,cer,2635.728191,2700.504195,2583.500183,2562.780163,2719.220188,2692.240208,2589.680199,2611.260197,2511.020176,2840.940193,2661.600193,2795.300217,2697.120197
1-O-carboceroyl-Cer(d18:1/16:0),-0.010073014,4.875914245,0.005380793,0.94152451,0.999200575,902.9 -> 264.3,cer,3026.896205,2993.712212,2493.640167,3109.44022,3156.020218,2746.200199,2985.9002,3029.140209,2744.38018,2828.100201,3094.160213,3255.680233,3154.020214
1-O-carboceroyl-Cer(d18:1/18:0),-0.007451977,4.663741874,0.002937295,0.956778353,0.999200575,973 -> 264.3,cer,2573.112186,2539.696178,2514.500187,2540.100178,2506.800171,2588.680191,2482.460178,2531.800179,2598.640198,2483.480171,2563.300194,2554.420174,2714.360188
1-O-cerotoyl-Cer(d18:1/16:0),-0.0501973,4.740403166,0.133393849,0.714938811,0.999200575,916.9 -> 264.3,cer,2675.824184,2720.512196,2634.580193,2851.360218,2823.720196,2654.960197,2611.620178,2603.880192,2528.080173,2662.060184,2733.700191,2830.30019,2682.000183
1-O-cerotoyl-Cer(d18:1/18:0),0.040363046,4.809333745,0.086323549,0.768904091,0.999200575,944.9 -> 264.3,cer,2918.440202,2786.796194,2570.68018,2670.480186,3065.080219,2857.400208,2897.200203,3059.000214,2872.960197,2739.460182,2737.060184,2607.640182,3019.900204
1-O-eicosanoyl-Cer(d18:1/16:0),-0.002967858,4.664326115,4.66E-04,0.982778869,0.999200575,832.8 -> 264.3,cer,2584.384186,2542.024179,2470.540176,2500.880161,2758.580193,2637.320194,2471.760185,2503.400169,2529.600182,2601.400192,2691.780197,2467.120178,2470.200172
1-O-lignoceroyl-Cer(d18:1/16:0),-0.024244593,4.670494192,0.031092561,0.860034045,0.999200575,888.9 -> 264.3,cer,2567.416189,2563.440182,2552.000175,2583.440189,2587.620171,2640.520191,2584.860199,2530.960175,2490.720192,2508.940182,2632.080189,2553.340176,2541.800194
1-O-myristoyl-Cer(d18:1/16:0),0.073322951,4.897584589,0.285138969,0.593352567,0.999200575,748.7 -> 264.3,cer,3163.684229,2953.85621,2500.720165,3378.540234,3273.460247,3136.120209,3565.140255,2757.960194,2813.600197,2695.160202,2868.780197,2801.50021,3297.440247
1-O-palmitoyl-Cer(d18:1/16:0),-0.077905175,4.780942173,0.321468148,0.570726675,0.999200575,776.7 -> 264.3,cer,2751.460188,2852.492199,2467.180183,3023.400219,2777.940201,2719.440186,3090.620209,3029.400208,2687.120201,2526.380173,2624.34016,2963.84021,2577.28017
1-O-stearoyl-Cer(d18:1/16:0),0.035598702,4.706336097,0.06706798,0.795654636,0.999200575,804.8 -> 264.3,cer,2703.892197,2590.536187,2473.100182,2778.560188,2671.380211,2583.300198,2636.700199,2543.680176,2802.660191,2517.740181,2702.320198,2529.400192,2706.400185
1-O-tricosanoyl-Cer(d18:1/16:0),-0.021008593,4.645270135,0.023340604,0.878574671,0.999200575,874.9 -> 264.3,cer,2532.196177,2523.776178,2444.280163,2527.840179,2458.120178,2505.060177,2549.520172,2593.660175,2463.140175,2468.880177,2449.44017,2523.440182,2740.760189
1-O-tricosanoyl-Cer(d18:1/18:0),-0.072111373,4.622279077,0.274876839,0.60007895,0.999200575,1001 -> 264.3,cer,2440.364175,2519.012181,2476.620182,2441.240166,2380.500172,2510.78017,2433.780174,2523.240196,2366.060173,2482.600182,2537.160183,2637.200191,2484.320175
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.064705664,7.92261753,0.224922554,0.635314507,0.999200575,444.4 -> 85.1,acy-carnitines,26347.92994,27058.13795,4853.920338,27886.7018,26202.58189,26088.36198,25403.24179,26050.20191,27870.56211,28414.56211,28194.04212,26850.86195,24069.22178
12:0 Cholesteryl ester,-0.058736057,6.559041396,0.184800464,0.667279847,0.999200575,586.5219 -> 369.1,CE,9613.892688,9832.880671,7535.860531,10214.2007,9347.54068,9876.200661,9208.380665,9367.620644,9599.240654,9625.360664,9763.320724,10081.02068,10150.98072
14:0 Cholesteryl ester,0.114191026,6.319242699,0.69790389,0.403488915,0.999200575,614.5532 -> 369.1,CE,8953.324606,8124.04857,3788.540276,7128.220482,9292.560566,7550.640564,8395.700592,8405.120602,9465.940601,8997.700619,8728.560608,8538.560585,8883.860664
14:1 Cholesteryl ester,-0.035871166,5.635825681,0.068653478,0.793307498,0.999200575,612.5376 -> 369.1,CE,5152.796362,5188.056352,3599.920265,5247.600334,5118.30035,5337.62035,5072.100357,4578.020294,4730.040337,5745.140415,5535.120384,5031.900368,5308.420383
15:0 Campesteryl ester_simulated,0.31022005,8.481539909,5.163230912,0.023069943,0.999200575,642.6002 -> 369.1,CE,44176.90706,35035.05048,5291.400372,33655.10237,40230.64284,29625.16186,41158.16293,33501.86255,45063.36302,44800.70308,45809.50322,33592.42253,48622.86328
15:0 Cholesteryl ester,0.121003873,6.212530288,0.783271084,0.376142589,0.999200575,628.5689 -> 369.1,CE,8234.444592,7429.364506,4329.180313,6705.940449,8684.780651,8632.980618,8270.760582,7724.820496,7623.18055,7099.740501,8328.280613,6983.340466,8265.220566
15:1 Campesteryl ester_simulated,0.352301071,8.623847708,6.656026431,0.009882103,0.999200575,640.6002 -> 369.1,CE,49517.03541,38137.24271,4791.720337,35844.58268,42509.583,34506.04222,46043.46301,34866.84244,51606.84339,48366.14358,50174.60348,37102.60262,57250.68416
15:1 Cholesteryl ester,-0.203761293,5.837625124,2.215782246,0.136605805,0.999200575,626.5532 -> 369.1,CE,5546.588401,6279.372425,4445.060314,8525.800533,5923.240444,4986.420345,5243.620388,6921.240479,4936.840336,5710.460384,5968.840454,5252.940384,5660.400383
16:0 Campesteryl ester,-0.018593963,7.649304406,0.018568443,0.891610943,0.999200575,656.6002 -> 369.1,CE,22165.46961,22056.95354,3935.880276,23548.28166,20687.16157,18463.88115,20039.18151,19181.88133,23911.54177,23723.68184,24322.2617,25367.04173,21867.20152
16:0 Cholesteryl ester,0.242188123,8.484336454,3.149307289,0.075959203,0.999200575,642.5845 -> 369.1,CE,43319.50708,35995.22652,5354.300404,33841.60226,42670.56291,33854.54247,40189.42288,32941.70232,41909.94292,43914.34314,42902.16319,35423.9424,48925.44348
16:1 Cholesteryl ester,0.346112794,8.591144882,6.424651753,0.011254698,0.999200575,640.5689 -> 369.1,CE,48306.28342,37360.91856,4794.02034,33991.98251,42656.24308,33918.30219,43385.60307,37170.70261,51040.30356,47213.12309,48477.62337,34510.4824,55971.64404
16:2 Campesteryl ester,0.064508841,6.39534112,0.222832563,0.636890071,0.999200575,652.5689 -> 369.1,CE,9338.772668,8777.61263,3480.100262,9515.880661,9179.96064,7874.720589,9054.44067,8359.280605,10058.26071,9273.240665,8317.980618,8864.940632,10083.2207
"16:2 Cholesteryl ester, zymosteryl palmitoleate",0.041583615,6.213254542,0.092535015,0.760978812,0.999200575,638.5532 -> 369.1,CE,8119.992602,7753.976543,3482.360252,7546.680531,7737.360569,7109.800503,7676.30056,7600.700539,8234.780609,9187.140602,8162.460617,7325.560543,8789.060654
16:3 Campesteryl ester,-0.058077241,5.347262441,0.179581957,0.671732746,0.999200575,650.5532 -> 369.1,CE,4111.796294,4203.512288,3594.020233,4335.380295,4047.040279,4335.500286,4063.140293,3913.000267,4093.38031,4274.380299,4175.900291,4159.300293,4179.520294
16:3 Cholesteryl ester,0.02729556,5.706499624,0.039770775,0.841929435,0.999200575,636.5376 -> 369.1,CE,5573.656409,5371.928385,3422.700241,4978.560368,5414.760372,5082.660351,5199.940369,6046.020416,6015.520447,5688.840427,5536.420418,5063.560364,5701.640438
16:3 Stigmasteryl ester,0.092547552,6.346907563,0.458521486,0.49831577,0.999200575,662.5532 -> 369.1,CE,9122.572653,8407.656595,3318.820236,8195.700607,8106.240524,7658.08054,8752.420605,7911.280571,9749.580761,9404.460632,9151.960632,8868.760624,9852.660744
17:0 Campesteryl ester_simulated,0.163619087,7.241956431,1.436063024,0.230777493,0.999200575,670.6002 -> 369.1,CE,17635.88521,15468.42513,4094.140312,16316.98117,19151.26126,14259.32088,16346.10112,15019.72116,18235.64124,17797.14132,17680.80128,13948.96112,16765.62115
17:0 Cholesteryl ester,0.082309513,7.646068196,0.36380822,0.546398817,0.999200575,656.5845 -> 369.1,CE,22878.78159,21225.88552,4054.4203,21929.5416,21171.34145,18529.16135,20422.88147,19670.48145,26028.88173,22712.80154,24335.82169,23287.44168,22434.9816
17:1 Cholesteryl ester; 16:1 Campesteryl ester,0.160723231,8.197265426,1.387513453,0.238825467,0.999200575,654.5845 -> 369.1,CE,34136.57038,30012.59018,8055.36055,28604.82212,33697.54229,28142.08201,31599.92232,29002.88218,34126.26241,36484.30256,33810.28234,27828.86202,37448.84254
18:0 Campesteryl ester,-0.077576274,5.853855882,0.321454834,0.570734652,0.999200575,684.6315 -> 369.1,CE,5926.70841,6143.052421,4013.760277,6402.680443,5888.700409,5680.400387,5472.380367,6187.100407,5936.320408,6405.020454,6267.340424,6040.060413,6068.800442
"18:0 Cholesteryl ester, 16:0 Sitosteryl ester",0.162586165,7.256903806,1.418040085,0.233726265,0.999200575,670.6158 -> 369.1,CE,17823.16525,15647.34911,4017.220295,16780.06119,17916.30122,13994.00104,16880.48129,15075.02103,18943.42126,17206.40124,17489.88125,15181.26107,17885.74123
18:1 Campesteryl ester,0.148621583,6.044909203,1.180636186,0.277226519,0.999200575,682.6158 -> 369.1,CE,7417.25253,6569.608471,3707.020252,6134.740456,6829.14053,6474.200447,6847.500465,6510.920479,8416.960579,6861.720497,7601.640533,6866.460476,7391.020542
18:3 Campesteryl ester,-0.119178582,5.784199272,0.758325514,0.383853057,0.999200575,678.5845 -> 369.1,CE,5609.744398,5982.736422,3410.380241,5827.060417,5273.400352,5799.440407,4991.760368,6019.800411,6176.200439,6228.080425,5828.980415,6039.300449,5778.380413
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",0.369772371,8.020638929,7.326795393,0.006793407,0.999200575,664.5689 -> 369.1,CE,32712.44237,24885.41776,3657.100243,24019.82174,31294.82243,22626.06159,28722.50203,23793.90169,33079.50234,31239.68214,33301.42242,22747.62165,37163.96265
19:0 Campesteryl ester_simulated,-0.017450298,6.661206678,0.016320972,0.898344004,0.999200575,698.6315 -> 369.1,CE,10964.08079,10907.18879,3746.020267,10753.12077,9427.600697,9802.940708,11084.78077,11405.50084,10996.42074,10805.28076,10590.04074,11769.10086,12721.56098
"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",0.018524415,5.777680778,0.018324152,0.892321928,0.999200575,684.6471 -> 369.1,CE,5808.184403,5629.924399,3868.360275,5360.520378,6049.780407,5549.940384,5496.760365,5557.720394,5899.900448,6210.360447,6176.660431,5471.080391,5417.820366
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",-0.344435738,10.74013693,6.367879027,0.01162044,0.999200575,388.3 -> 85.1,acy-carnitines,170327.0361,212291.9071,5861.500397,232931.5362,178440.2336,206669.2342,156699.3907,180676.4524,215192.7356,203024.475,147548.291,238157.8377,153754.5296
20:0 Campesteryl ester,-0.073324992,5.795620895,0.287116326,0.59207441,0.999200575,712.6628 -> 369.1,CE,5729.948409,5922.784431,3578.880238,6190.700455,5542.580379,5523.000416,5500.080399,5639.280426,5414.580379,6051.800411,5899.460423,6209.14045,6293.040462
"20:0 Cholesteryl ester, 18:0 Sitosteryl ester",0.065765883,6.679430508,0.23180577,0.630188098,0.999200575,698.6471 -> 369.1,CE,11400.88881,10706.90476,4003.500278,9550.600677,9981.200737,9938.360725,12307.96076,10875.4408,11076.7608,11980.1008,11232.00082,11190.0208,12406.52094
20:1 Campesteryl ester,-0.008977466,5.584097989,0.004298759,0.947724218,0.999200575,710.6471 -> 369.1,CE,5005.024358,4943.912351,3592.400272,5002.680374,5557.580402,5098.200329,4648.740349,4792.320351,5215.840366,4857.180344,4596.580311,4969.180359,5006.38036
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",-0.009625835,6.161396133,0.004957447,0.943868017,0.999200575,696.6315 -> 369.1,CE,7678.048536,7593.704531,3552.840252,7676.560539,7490.400555,6308.060421,6809.140499,7976.12056,8251.760555,8349.840618,8331.240574,7657.940517,7507.700497
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",0.005167861,6.037375182,0.00142808,0.969855157,0.999200575,694.6158 -> 369.1,CE,7018.276497,6871.752487,3784.420261,7320.70055,7333.480495,6485.660435,6487.620453,6637.920456,6605.700478,7834.760559,7166.520538,6079.720436,7498.06052
20:3 Campesteryl ester,0.120519372,6.254483802,0.777147388,0.378014992,0.999200575,706.6158 -> 369.1,CE,8483.92859,7670.984538,4410.200329,11200.3008,8600.000526,6374.000439,6973.920528,6665.180443,10347.36074,7228.380512,7631.280552,6887.060493,8867.080605
20:5 Cholesteryl ester,0.342842025,8.964786101,6.30561712,0.012035601,0.999200575,688.5689 -> 369.1,CE,62856.06049,48692.13944,3792.240273,45528.84332,59970.12421,48855.90332,55622.86406,45740.38338,64742.58456,60122.16407,64858.86448,43213.4031,69085.86517
22:0 Campesteryl ester,-0.085007287,5.600421351,0.385425888,0.534713603,0.999200575,740.6941 -> 369.1,CE,4944.924348,5147.664373,3492.360237,5319.940407,5346.26038,5117.020363,4529.680313,5142.360367,4834.200329,4668.30035,5090.720367,5490.700378,4923.760349
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",0.066277875,6.242364384,0.235074155,0.627786679,0.999200575,726.6784 -> 369.1,CE,8293.392577,7779.736539,4074.32029,7898.200546,7188.880573,7073.720497,8437.340534,8559.36063,8175.320606,6965.100479,9111.460629,8402.300541,8553.960545
22:0 Sitosteryl ester,-0.147589153,6.239589781,1.165255658,0.280378224,0.999200575,754.7097 -> 369.1,CE,7685.828542,8353.244583,4019.580276,8220.520542,7724.42054,9112.380615,7354.680508,7857.120583,8674.860619,7681.100578,7428.400547,8895.100597,7246.780495
22:1 Campesteryl ester,-0.208741858,6.429861833,2.331665945,0.126766146,0.999200575,738.6784 -> 369.1,CE,8694.272629,9864.448676,3471.680256,12574.96079,9035.780666,9717.220711,8348.400589,9006.840611,9919.360744,7968.920574,8045.920597,10054.30069,8121.900547
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",0.082434902,5.994096734,0.363254448,0.54670433,0.999200575,724.6628 -> 369.1,CE,7000.232502,6494.94046,3619.44025,7418.200527,7306.40057,5997.080414,6528.680473,6168.500427,7428.700535,6778.500481,6917.400475,6112.420452,6819.980457
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",0.029913583,5.37481627,0.04765689,0.827191806,0.999200575,750.6784 -> 369.1,CE,4350.144312,4184.51629,3420.900246,4133.320297,4108.080318,4139.520287,4341.580296,4217.520283,4622.680336,4340.4603,4455.740311,4091.760281,4222.640297
22:2 Campesteryl ester,-0.112844281,5.735261935,0.679663214,0.409702719,0.999200575,736.6628 -> 369.1,CE,5397.032392,5733.52441,3619.600262,6626.800468,5880.080425,5183.26038,5530.440395,5306.400402,5653.220398,5284.920368,4656.400337,6266.240433,5265.020405
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",0.088410269,5.722168225,0.417204599,0.518335201,0.999200575,748.6628 -> 369.1,CE,5736.608411,5296.940378,3596.720264,4874.940357,5794.780411,5220.700352,5480.72039,5284.840382,4782.040348,5298.780376,6491.280453,5805.440422,6134.220455
22:3 Campesteryl ester,0.100519325,5.45289216,0.538306164,0.463135556,0.999200575,734.6471 -> 369.1,CE,4691.380328,4295.160298,3727.900276,4440.120308,4519.760338,4134.940289,4477.00029,4189.600269,4880.880337,4210.340302,5315.940372,4500.800323,4263.320301
22:3 Stigmasteryl ester,0.001734011,5.77310254,1.61E-04,0.989889903,0.999200575,746.6471 -> 369.1,CE,5794.17641,5683.824406,3498.600246,5586.640373,5821.100403,5620.540386,5583.940392,5489.620415,5571.440411,5687.980412,5608.280384,6034.340446,6386.120461
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",0.153285325,5.70297213,1.253614035,0.262863337,0.999200575,718.6158 -> 369.1,CE,5791.204412,5116.572356,3477.66024,5665.900383,5548.180378,4906.420349,5617.160423,4667.520321,5862.140423,5347.800358,5744.100391,4995.220371,6184.440445
22:5 Cholesteryl ester,0.172404276,7.295347938,1.594484232,0.20668663,0.999200575,716.6002 -> 369.1,CE,18383.82529,16029.62514,3931.620289,16556.66116,16589.60106,15238.68112,17423.9013,14918.36105,20133.96136,18027.94136,18408.84134,15406.48102,19362.8214
22:6 Cholesteryl ester,0.371568334,9.250514563,7.404613567,0.006505682,0.999200575,714.5845 -> 369.1,CE,77399.31743,58798.74017,3815.980251,56890.52417,72451.30545,54771.7639,70066.64514,55967.48417,83585.10628,73554.18495,78296.60502,52809.74368,82596.92528
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",-0.015831564,5.833995196,0.013388746,0.907882579,0.999200575,752.6941 -> 369.1,CE,6021.004427,5973.99244,3555.320255,6240.220428,6293.640446,6089.220478,5629.020435,5956.520451,6226.160408,5270.140381,6078.700436,6313.860462,5877.500408
3-hydroxyarachidonoylcarnitine,-0.047322261,7.393082924,0.120217124,0.72879912,0.999200575,464.3 -> 85.1,acy-carnitines,18199.6173,18471.82528,4740.300323,19326.30123,17621.76122,18184.20121,19970.62138,17644.6213,19803.8815,18738.30139,17679.76133,18465.70129,15922.06109
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",-0.055735983,8.113816559,0.166924498,0.682859694,0.999200575,472.4 -> 85.1,acy-carnitines,30236.41412,30848.7942,4953.080349,34536.50251,34811.64249,33098.88228,31017.0821,28780.30214,29401.60221,28193.54199,27940.32177,29634.7421,28011.42205
"3-hydroxylinoleoylcarnitine,",-0.023667205,13.97660421,0.03014305,0.862166048,0.999200575,440.3 -> 85.1,acy-carnitines,1810011.654,1806407.047,4990.840343,3114003.342,2978767.311,2727892.487,3198453.66,1010106.368,986539.8936,1225268.085,988886.4254,954764.9525,897410.9802
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",0.145756139,8.377073549,1.141428815,0.285350614,0.999200575,414.3 -> 85.1,acy-carnitines,38827.71465,34448.09456,6445.960468,34209.06258,42708.72268,35936.34276,35227.84243,35169.0427,42219.98299,36274.62259,38499.96276,30651.40216,35482.0624
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",-0.076622744,7.762672927,0.315327204,0.574429451,0.999200575,456.4 -> 85.1,acy-carnitines,23402.40566,24228.33359,5012.820366,25240.90173,26772.60187,24888.68151,24339.1617,23228.10162,23742.26165,23762.80161,21481.0415,24021.18149,20676.96161
C12:0,-0.017054122,10.51844025,0.015647522,0.900452255,0.999200575,199.2 -> 199.2,FFA,162511.8599,161519.3873,24207.46178,152780.0106,153904.8118,154836.9097,157741.3515,162862.3306,170416.1717,171294.7729,163977.1324,165822.9126,166519.832
C12:1,-0.086149553,9.814148059,0.399167625,0.527519443,0.999200575,197.2 -> 197.2,FFA,97131.47105,101272.4192,16754.88113,95438.00633,94099.24654,95713.96645,90589.16689,103351.347,103551.0876,107669.0484,96442.18689,104189.7278,100975.6673
C14:0,-0.010902413,12.72290133,0.006396278,0.936255759,0.999200575,227.3 -> 227.3,FFA,756502.0084,748806.2722,60444.38452,678254.5483,714176.8883,696628.8478,725513.9762,762170.0294,744373.4353,819496.998,785193.9182,787480.9376,813251.8239
C14:1,-0.046278494,11.43048364,0.11523519,0.734260897,0.999200575,225.2 -> 225.2,FFA,302691.6529,306956.7621,45931.26303,316522.1234,292564.6605,289586.8391,294582.2204,303082.562,302966.8631,306907.7204,322531.6607,318684.5655,300812.8598
C15:0,-0.043374602,13.44864903,0.101239025,0.750347792,0.999200575,241.3 -> 241.3,FFA,1242262.956,1257362.716,53257.42375,1175022.787,1188292.886,1219096.108,1191808.684,1325590.074,1257970.381,1300587.245,1250029.253,1266517.364,1323213.577
C15:1,-0.047859699,13.20090545,0.123256654,0.725528879,0.999200575,239.3 -> 239.3,FFA,1042262.536,1058347.602,66221.46466,1085683.473,989140.0526,981380.7814,1033645.609,1103145.541,1033882.408,1060100.718,1100970.903,1061427.499,1053673.709
C16:0,-0.052501885,17.96242411,0.148331704,0.700134766,0.999200575,255.3 -> 255.3,FFA,28337695.64,28857405.18,807194.8112,25501593.25,27676761.12,27932631.32,26602126.91,28580480.52,27611140.16,30469477.02,29514385.35,31802843.8,30284064.65
C16:1,-0.04722528,12.90349446,0.120009574,0.729024105,0.999200575,253.3 -> 253.3,FFA,851000.4791,863201.0595,29582.26213,782336.5543,821737.1143,895679.9828,852990.6621,845664.1576,909077.5849,858429.0381,829595.1006,933895.5647,841601.9335
C17:0,-0.033720664,13.62772277,0.061189578,0.804625547,0.999200575,269.3 -> 269.3,FFA,1410220.159,1417755.76,70772.08475,1309573.387,1355862.293,1354010.706,1335273.212,1418521.658,1428744.983,1520598.696,1465373.521,1486074.35,1465846.784
C17:1,-0.046704645,11.36124554,0.117366387,0.731908596,0.999200575,267.3 -> 267.3,FFA,290116.5041,294197.7162,29242.36201,267247.3597,285192.8404,299518.1806,276152.6403,309279.9606,292152.0186,303162.5206,301344.9023,291780.5593,295740.1189
C18:0,-0.031196265,17.92933134,0.052372681,0.818984895,0.999200575,283.3 -> 283.3,FFA,27897889.27,27988718.33,859046.3831,25548993.28,27323641,27463678.2,26100151.6,26612354.61,27715431.79,29157921.31,29328948.28,31160644.22,29021273.68
C18:1,-0.03483217,13.65704116,0.065289883,0.798322386,0.999200575,281.3 -> 281.3,FFA,1438974.852,1448279.603,66694.92464,1334778.218,1402765.206,1385696.24,1411354.316,1434688.95,1402304.718,1628715.025,1449338.679,1457519.58,1529111.344
C18:2,-0.003280583,10.23320018,5.79E-04,0.980803124,0.999200575,279.3 -> 279.3,FFA,133592.0856,131546.7893,23350.44178,122922.5281,130526.0481,122623.7487,126661.3085,125080.1883,132490.4706,148820.6705,135206.7098,138286.8107,143075.8908
