lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,abe_average,veh_average,Blank,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
17:1 Campesteryl ester_simulated,0.438109646,9.970712885,10.28579979,0.001340579,0.470551,668.5845 -> 369.1,CE,130219.5491,94519.17474,4946.64035,89602.90671,118918.9482,81699.54639,118072.3483,87176.42593,134209.0091,125089.7281,131683.2889,89027.26657,148214.1511
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",0.459647753,10.12022052,11.31809155,7.68E-04,0.470551,666.5845 -> 369.1,CE,145456.4062,104023.0515,4674.240337,97893.60712,130977.2288,91158.38699,131964.0491,97521.7477,149450.8701,139990.7292,147416.1705,93550.7867,167473.7128
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",0.436500374,10.56542542,10.21205163,0.001395259,0.470551,690.5845 -> 369.1,CE,196932.2863,143066.478,4706.500328,129193.3491,182148.7332,132734.6498,175506.4927,135436.9692,204206.6753,190467.5135,196288.6142,127499.9082,226510.916
TAG(50:3)_FA 16:0,0.456915499,4.373235566,10.96425257,9.29E-04,0.470551,848.8 -> 575.8,TAG1,2578.988187,1844.236131,1028.680073,1962.740143,2651.000187,2071.440128,2413.360172,1788.80014,2540.400185,2046.240139,2928.160225,1351.960106,2362.020164
"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",0.405295543,9.977847084,8.807567453,0.002999837,0.674463381,668.6002 -> 369.1,CE,129588.8334,96219.49893,5071.400368,91329.06624,121248.6086,84046.12605,117677.0288,86152.84657,131942.9893,127843.6492,130410.1695,91725.80655,146665.3708
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",0.409613522,7.914064028,8.984039509,0.002723479,0.674463381,692.6002 -> 369.1,CE,30723.54209,22741.52162,3588.280247,21977.56164,29895.16188,19897.94149,28121.90194,23931.40163,32594.36227,28962.422,30200.86219,18938.28133,32805.42216
(11Z)-eicoseneoylcarnitine,-0.08999744,9.753653219,0.435609707,0.50924911,0.999200575,454.4 -> 85.1,acy-carnitines,94050.12273,98321.17464,6120.620483,156499.1305,136663.8696,129667.2687,149449.3112,67168.44437,61858.28483,76527.0654,65361.0644,61743.96418,56918.08357
"(11Z,14Z)-eicosadienoylcarnitine",-0.074005256,8.141129505,0.294283243,0.587488711,0.999200575,452.4 -> 85.1,acy-carnitines,30626.13818,31668.95827,4959.000362,30999.12226,31509.20203,27935.20201,29609.682,32505.82223,32800.0825,33253.56238,29524.80218,33651.08245,29686.92219
"(13Z,16Z)-docosadienoylcarnitine",-0.105777422,7.479999353,0.600622813,0.438340493,0.999200575,480.4 -> 85.1,acy-carnitines,18875.99337,19951.51739,5582.280357,20359.26159,20026.80149,18404.04129,18594.84148,19468.20113,19242.58127,21252.06156,18701.36129,20274.02139,17814.38131
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.054754579,9.022801126,0.161208495,0.688046314,0.999200575,384.3 -> 85.1,acy-carnitines,59289.73611,56028.85195,6839.920471,57819.14396,65750.30463,58368.56398,58676.66421,56368.98404,64645.94431,52488.62366,53300.22365,55098.94413,54075.54375
