type,ab,ve
acy-carnitines,1,0
CE,2,0
cer,0,0
FFA,0,0
PCandSM,0,0
PE,0,0
PG,0,0
PI,0,2
PS,0,0
QC,0,0
TAG1,0,0
TAG2,0,0
