class and lipid,type,lipid,fold change-1hr,fold change-12hr,fold change-24hr,veh_N3_1hr,veh_N4_1hr,veh_N5_1hr,veh_N6_1hr,veh_N7_1hr,Abe_N3_1hr,Abe_N4_1hr,Abe_N5_1hr,Abe_N6_1hr,Abe_N7_1hr,veh_N1_12hr,veh_N2_12hr,veh_N3_12hr,veh_N4_12hr,veh_N5_12hr,veh_N6_12hr,Abe_N1_12hr,Abe_N2_12hr,Abe_N3_12hr,Abe_N4_12hr,Abe_N5_12hr,Abe_N6_12hr,veh_N2_24hr,veh_N3_24hr,veh_N4_24hr,veh_N5_24hr,veh_N6_24hr,veh_N7_24hr,Abe_N2_24hr,Abe_N3_24hr,Abe_N4_24hr,Abe_N5_24hr,Abe_N6_24hr,Abe_N7_24hr
Cholesteryl Esters > 15:0 Campesteryl ester_simulated,Cholesteryl Esters,15:0 Campesteryl ester_simulated,0.902555741,1.096746922,0.923414023,3.877822717,3.887116367,3.840496311,3.902039927,3.928851447,3.830551489,3.824652947,3.887214352,3.811473153,3.861774522,3.809135343,3.902535938,3.838129737,3.901889708,3.880225783,3.847733055,3.929498654,3.948447233,3.84070193,3.919626139,3.942442659,3.820792413,3.915924081,3.802775126,3.891308852,3.86043507,3.838977506,3.899898196,3.781136186,3.903350517,3.814503332,3.859306486,3.830932409,3.79284539
Cholesteryl Esters > 15:0 Cholesteryl ester,Cholesteryl Esters,15:0 Cholesteryl ester,1.017511433,1.029773623,1.028611955,3.577808819,3.570472918,3.584688498,3.589082409,3.603871591,3.572906469,3.604897535,3.6060846,3.581535554,3.597449487,3.579111092,3.596247351,3.595873064,3.585794533,3.573815836,3.603360953,3.587279852,3.709904007,3.58796454,3.586564833,3.554280777,3.558288497,3.59074158,3.5947041,3.621323822,3.591276169,3.61504269,3.571317472,3.592467702,3.63385615,3.59532647,3.639052007,3.581380719,3.597502154
Cholesteryl Esters > 15:1 Campesteryl ester_simulated,Cholesteryl Esters,15:1 Campesteryl ester_simulated,1.020421053,0.97129566,0.999176194,3.584313161,3.584378751,3.599797984,3.617228997,3.592824968,3.586337488,3.583264568,3.662504767,3.594721771,3.592176786,3.612018431,3.669348529,3.605959797,3.66584733,3.595815793,3.575997955,3.581248614,3.681091049,3.573674451,3.594027753,3.601547252,3.605725158,3.591716704,3.601799368,3.58738094,3.635415411,3.635210246,3.586648085,3.580427733,3.589951867,3.61361778,3.580808723,3.638101745,3.616208689
Cholesteryl Esters > 15:1 Cholesteryl ester,Cholesteryl Esters,15:1 Cholesteryl ester,0.950775181,1.151706597,1.267777367,3.730338098,3.629038385,3.690220928,3.662548218,3.674420223,3.666381338,3.624861486,3.655639729,3.696310979,3.635204211,3.708295128,3.72347869,3.679249812,3.692381577,3.638868508,3.673989872,3.684401897,3.932669588,3.790656685,3.708145478,3.669935827,3.623015565,3.661579897,3.693304786,3.660560068,3.627146636,3.647631378,3.654213163,3.758830201,3.87826209,3.639038049,3.873939949,3.686863216,3.644796938
Cholesteryl Esters > 16:0 Campesteryl ester,Cholesteryl Esters,16:0 Campesteryl ester,0.958428301,1.016075035,0.969962855,3.619577496,3.595238248,3.591936805,3.609850459,3.564417517,3.599212594,3.559854011,3.576847954,3.572116187,3.579998438,3.561535491,3.575430367,3.607626595,3.596992757,3.594728393,3.598856166,3.564876682,3.629831485,3.589844673,3.596005203,3.595588833,3.590391517,3.608416943,3.620533748,3.60069637,3.592776168,3.600053294,3.594074203,3.572255752,3.589980891,3.583010531,3.582946997,3.563511968,3.626137063
Cholesteryl Esters > 16:0 Cholesteryl ester,Cholesteryl Esters,16:0 Cholesteryl ester,0.95972243,1.087174657,0.977240789,3.87410944,3.862694197,3.866829459,3.873269467,3.94687852,3.843270193,3.839513274,3.942336533,3.778432034,3.920148413,3.804365757,3.908285552,3.85022708,3.861929726,3.892160328,3.849140472,3.924948856,3.966765761,3.856609306,3.89390376,3.874528233,3.854710416,3.881157494,3.802969315,3.835367137,3.869066215,3.818721977,3.828314417,3.80454425,3.847390049,3.793708016,3.844562936,3.875084454,3.791606478
Cholesteryl Esters > 16:1 Cholesteryl ester,Cholesteryl Esters,16:1 Cholesteryl ester,0.924544601,1.06293261,1.020254028,3.649953757,3.577652652,3.615931152,3.666572294,3.629020014,3.565172279,3.593571839,3.648668331,3.570669039,3.593332628,3.581121022,3.600236506,3.609310511,3.637305597,3.583708774,3.612796599,3.581624332,3.710234205,3.584109528,3.636522028,3.610849625,3.638587116,3.602055678,3.647523831,3.598972093,3.60276518,3.627206071,3.599476988,3.60585003,3.597488989,3.643719122,3.595778342,3.653847118,3.616067841
Cholesteryl Esters > 16:2 Campesteryl ester,Cholesteryl Esters,16:2 Campesteryl ester,0.943826462,1.043089889,1.013352649,3.580674161,3.59726729,3.602921243,3.640039993,3.675053943,3.58299238,3.591258356,3.605632559,3.595134557,3.601244958,3.565195918,3.606577,3.595211774,3.593361428,3.627730379,3.587603252,3.589753092,3.641051539,3.626058993,3.564580883,3.625015991,3.627292132,3.618075336,3.617375759,3.626754987,3.631484387,3.626065157,3.599485728,3.577710072,3.656084813,3.573454172,3.602567849,3.718961512,3.591925691
"Cholesteryl Esters > 16:2 Cholesteryl ester, zymosteryl palmitoleate",Cholesteryl Esters,"16:2 Cholesteryl ester, zymosteryl palmitoleate",0.980122639,1.01890126,0.988791058,3.573414745,3.559406272,3.5897799,3.573996554,3.588520474,3.551559808,3.575370337,3.563117866,3.573447215,3.576458866,3.560081295,3.60335879,3.551403667,3.567329947,3.590850778,3.534353641,3.577886884,3.591454213,3.57800854,3.57481348,3.578334323,3.5495158,3.550812759,3.580112653,3.589681605,3.566296073,3.574086886,3.573509834,3.567621525,3.58037067,3.576818036,3.569486303,3.551430511,3.54245696
Cholesteryl Esters > 16:3 Campesteryl ester,Cholesteryl Esters,16:3 Campesteryl ester,0.969610152,1.02219401,0.990035612,3.527036722,3.555817299,3.584521217,3.594001206,3.570169223,3.570652698,3.567329943,3.539828591,3.547508909,3.538546117,3.55181829,3.562011999,3.538480763,3.594385949,3.554319557,3.567579213,3.571049354,3.593290528,3.534510954,3.574198036,3.599979117,3.540457146,3.576732877,3.570360809,3.601438534,3.585832856,3.580503047,3.547181327,3.547361161,3.554523111,3.55760587,3.580343278,3.620502531,3.556772763
Cholesteryl Esters > 16:3 Cholesteryl ester,Cholesteryl Esters,16:3 Cholesteryl ester,1.0233893,1.793481147,1.007266396,3.538148814,3.536348849,3.53881246,3.545381378,3.554779834,3.569111644,3.554881516,3.539432456,3.551640296,3.546206973,3.552217905,3.551374388,3.569158496,3.575785774,3.538025522,3.557071515,3.570117806,4.313330586,3.552707173,3.560468603,3.583532051,3.55238349,3.555570852,3.559820505,3.581070886,3.566611913,3.568823407,3.54874804,3.573767167,3.564351206,3.541174742,3.581280503,3.566717929,3.555055766
Cholesteryl Esters > 16:3 Stigmasteryl ester,Cholesteryl Esters,16:3 Stigmasteryl ester,0.915646233,1.059026965,0.956463484,3.598166543,3.626531321,3.63361794,3.630830486,3.731875545,3.564748923,3.634733166,3.609596572,3.61891794,3.610526054,3.580174315,3.573855228,3.586594086,3.589960796,3.606699475,3.659642456,3.580836085,3.621242802,3.642335926,3.617338026,3.693068886,3.579971019,3.615461885,3.647672435,3.646707558,3.660732734,3.634725111,3.639406827,3.588247079,3.702549466,3.584607126,3.618602414,3.592543175,3.616402019
Cholesteryl Esters > 17:0 Campesteryl ester_simulated,Cholesteryl Esters,17:0 Campesteryl ester_simulated,0.872854091,1.138276233,0.891189048,4.397879233,4.406414162,4.328158148,4.451984078,4.421388729,4.295451008,4.410596425,4.401853587,4.284482201,4.314606607,4.221982524,4.378051448,4.293525666,4.37581649,4.39378224,4.427758056,4.42907661,4.474807579,4.368510048,4.418319557,4.400226043,4.348220366,4.331386428,4.177571733,4.326695063,4.336356082,4.245834351,4.357735209,4.167392401,4.314671006,4.229389004,4.319241043,4.263980085,4.162474822
Cholesteryl Esters > 17:0 Cholesteryl ester,Cholesteryl Esters,17:0 Cholesteryl ester,1.021852801,1.053842114,0.979319158,3.556333898,3.580692411,3.580788197,3.624430649,3.589732991,3.588914576,3.608919534,3.588278464,3.584641031,3.608416944,3.568893728,3.579046989,3.593485473,3.568642867,3.554469807,3.571095994,3.587468532,3.626250038,3.596201133,3.552974699,3.592341144,3.605281367,3.582095226,3.611155941,3.58746853,3.566442237,3.610745343,3.587439336,3.574045196,3.609383111,3.585893712,3.561657052,3.573829739,3.569537794
Cholesteryl Esters > 17:1 Campesteryl ester_simulated,Cholesteryl Esters,17:1 Campesteryl ester_simulated,1.0505989,0.992984495,1.016486681,3.666722007,3.647073798,3.670737435,3.669011774,3.64443665,3.612724566,3.653735313,3.833873549,3.674738121,3.59250544,3.668020463,3.726120596,3.710961458,3.780131487,3.653658191,3.634364428,3.646003592,3.738185801,3.688528413,3.749600319,3.678214208,3.647885476,3.705540467,3.62547917,3.674265792,3.738484089,3.727114918,3.709751521,3.673430143,3.667867469,3.753699499,3.678855153,3.75739606,3.671866818
Cholesteryl Esters > 17:1 Cholesteryl ester; 16:1 Campesteryl ester,Cholesteryl Esters,17:1 Cholesteryl ester; 16:1 Campesteryl ester,0.979234406,1.00274516,0.99043953,3.929902033,3.937021158,3.940461728,4.002473663,3.996769926,3.916510829,3.953770352,4.022635395,3.917636806,3.950331775,3.894445697,3.938527761,3.923848944,3.979818733,3.956344258,3.944992701,3.898833772,3.933090299,3.9644209,3.926428916,3.952508661,3.959281888,3.923270999,3.948837304,3.956343296,3.963331608,4.001949108,3.951969585,3.915505392,3.958756893,3.948172308,3.923247159,3.998221869,3.959433542
Cholesteryl Esters > 18:0 Campesteryl ester,Cholesteryl Esters,18:0 Campesteryl ester,0.932930639,0.988251896,0.972651103,3.602324864,3.621068246,3.612351498,3.634862051,3.618152765,3.569998592,3.594810098,3.600700728,3.566411595,3.604351386,3.570620018,3.608795542,3.61946903,3.625427729,3.627179428,3.611377039,3.589467064,3.608511088,3.645504827,3.590041171,3.600783495,3.587809737,3.624290382,3.63182516,3.6131841,3.597346325,3.635751111,3.605496857,3.567708493,3.608855403,3.598560748,3.603785081,3.630372978,3.608795545
"Cholesteryl Esters > 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",Cholesteryl Esters,"18:0 Cholesteryl ester, 16:0 Sitosteryl ester",0.922449763,1.112109777,0.912591802,4.357104736,4.415684703,4.34895993,4.380445368,4.40606819,4.309166281,4.365034016,4.39972462,4.30067941,4.355976527,4.230878946,4.407687957,4.254926892,4.356028186,4.417627477,4.388063914,4.440364959,4.437889417,4.349689698,4.391098584,4.400282376,4.327624164,4.356363242,4.166784661,4.286230088,4.326099832,4.224857208,4.328869519,4.204761208,4.280755449,4.213516195,4.31198602,4.272796967,4.15862483
Cholesteryl Esters > 18:1 Campesteryl ester,Cholesteryl Esters,18:1 Campesteryl ester,1.008304315,1.012885732,1.012702365,3.555215436,3.568018608,3.606544764,3.569626717,3.573159516,3.584460166,3.590652421,3.594902828,3.558816559,3.560669293,3.532897029,3.557355625,3.60305775,3.584528,3.54723553,3.54057224,3.536694799,3.604670953,3.551267003,3.5767651,3.541863719,3.577287275,3.559947332,3.624962436,3.623034191,3.562590256,3.55635802,3.554903302,3.572785695,3.587847884,3.57547423,3.57117061,3.612071485,3.585839613
