class and lipid,type,lipid,fold change-1hr,fold change-12hr,fold change-24hr,veh_N3_1hr,veh_N4_1hr,veh_N5_1hr,veh_N6_1hr,veh_N7_1hr,Abe_N3_1hr,Abe_N4_1hr,Abe_N5_1hr,Abe_N6_1hr,Abe_N7_1hr,veh_N1_12hr,veh_N2_12hr,veh_N3_12hr,veh_N4_12hr,veh_N5_12hr,veh_N6_12hr,Abe_N1_12hr,Abe_N2_12hr,Abe_N3_12hr,Abe_N4_12hr,Abe_N5_12hr,Abe_N6_12hr,veh_N2_24hr,veh_N3_24hr,veh_N4_24hr,veh_N5_24hr,veh_N6_24hr,veh_N7_24hr,Abe_N2_24hr,Abe_N3_24hr,Abe_N4_24hr,Abe_N5_24hr,Abe_N6_24hr,Abe_N7_24hr
Acyl Carnities > O-arachidonoylcarnitine,Acyl Carnities,O-arachidonoylcarnitine,1.149365483,1.049659807,0.999834352,3.962117337,4.08234514,3.993578212,3.971747039,4.040525633,4.274945825,4.018998276,3.999255009,3.884788599,4.08065393,3.909203989,4.003630286,3.955847426,4.015222268,4.02460062,3.986543366,4.017117712,4.003419201,4.024281227,3.989935487,4.018520783,3.965297709,3.981301159,3.905557389,3.976575585,4.016902224,3.990495167,3.973950416,3.85885832,4.018004436,4.10772813,3.939287598,3.935524425,3.928107967
Acyl Carnities > O-behenoylcarnitine,Acyl Carnities,O-behenoylcarnitine,0.953615782,1.148496439,0.871113231,4.919914928,4.973332138,5.056225476,4.960643918,4.78775513,4.78044307,5.017385089,5.12425952,4.967676965,4.532138065,4.69120392,4.790613078,4.51805838,4.874130558,4.715348434,4.78473711,4.776610424,4.768788887,4.804674466,4.740624324,4.887821831,4.803962026,4.797900607,4.878026126,4.935583567,4.895442027,4.859882179,4.83458272,4.585619783,4.883927978,4.764083167,4.861895588,4.957717628,4.68616797
"Acyl Carnities > O-oleoylcarnitine, Elaidic carnitine",Acyl Carnities,"O-oleoylcarnitine, Elaidic carnitine",1.079054864,0.994953505,0.929276657,4.060927419,4.008860704,4.021972835,3.959533663,3.945633046,4.106289545,4.108014735,4.023889263,3.95073086,3.955109297,3.963201164,4.037574718,4.010085329,4.036608968,3.964695152,4.013069942,4.013262908,4.065738797,4.023784021,3.91222953,3.964906141,4.011217652,4.026272558,3.965752835,4.035878647,3.995907121,4.03779134,3.948316151,3.887312314,3.971791527,3.983990557,4.00408226,4.028620077,3.917858296
"Acyl Carnities > O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",Acyl Carnities,"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",0.952454841,1.029757776,0.913825905,4.012008351,4.029685678,4.073887668,4.041579027,4.114593001,3.986713558,4.051220489,4.135142866,4.007507984,3.977247936,3.960906311,4.064859934,3.942648879,4.032344752,4.016591333,4.009524859,4.015470444,4.062109483,3.996881046,3.959544149,4.040653789,4.022054573,4.0458798,4.003823185,4.0443422,4.05546628,4.038834705,4.013636801,3.891999969,4.043188553,3.925250222,4.015223944,4.060642732,3.993066622
"Acyl Carnities > Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",Acyl Carnities,"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",1.066283935,1.077376625,0.914606784,3.868548079,3.892247166,3.852765395,3.870043236,3.866879024,3.91071726,3.917292278,3.903220288,3.847114711,3.907835801,3.833547453,3.99291921,3.929945921,3.957408081,3.972886646,3.91663503,3.924360999,3.987961089,3.953181569,3.945584805,3.954336146,4.028568031,3.97684868,3.879642879,3.852476364,4.02486236,3.950719188,4.06551103,3.870176777,3.918611138,3.893044585,3.969985,3.933666468,3.94481915
Acyl Carnities > Stearidonyl carnitine,Acyl Carnities,Stearidonyl carnitine,1.290446786,0.975628404,1.127081209,3.979652187,4.018283502,3.983203095,3.909383806,3.9520695,4.315839019,3.932473791,3.946959985,3.911974304,4.136510054,3.868772561,3.952739211,4.003386449,4.047991766,3.99828989,3.99591326,3.99753494,3.928364131,3.947939316,3.94943298,4.00139881,3.979068321,4.007573716,3.881046707,3.998209661,4.022524077,4.054820607,4.011476584,4.021038748,3.979979755,4.267942005,3.991765536,3.965411535,3.965111383
"Acyl Carnities > Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",Acyl Carnities,"Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",1.041205889,1.050400829,1.027528403,3.811426225,3.846583296,3.831677879,3.835841472,3.826824801,3.844710754,3.892894558,3.889213183,3.751246793,3.84932852,3.791294796,3.935394425,3.819562391,3.899263358,3.90394799,3.895622549,3.913066465,3.922471167,3.915086303,3.841364509,3.88535107,3.897186008,3.916345523,3.888171658,3.852458062,3.853658095,3.8956347,3.850529868,3.855484052,3.929329017,3.862245937,3.944981855,3.885274155,3.825562453
Acyl Carnities > TetradecanoylcarnitineO-tetradecanoylcarnitine,Acyl Carnities,TetradecanoylcarnitineO-tetradecanoylcarnitine,0.961668461,1.074555012,0.974298704,3.885613384,3.933490357,3.891963211,3.909222191,3.97918771,3.87482034,3.903836364,3.855636678,3.815006313,4.035374526,3.879525975,3.955157455,3.858692393,3.870937403,4.063163694,4.064046741,3.94986311,3.980187996,3.884671938,3.892460843,4.06199052,4.105685261,3.876732714,3.869890909,3.911701899,4.063467751,4.037857421,4.127062047,3.845121648,4.006838168,3.901397319,4.053324379,4.051079973,3.976126157
Cholesteryl Esters > 12:0 Cholesteryl ester,Cholesteryl Esters,12:0 Cholesteryl ester,1.020752818,1.040773636,0.988373044,3.853273473,3.878080414,3.88184214,3.889763242,3.883313891,3.913507652,3.897034098,3.871828564,3.880094156,3.864903697,3.870136956,3.845039747,3.883174101,3.882011992,3.862143342,3.850114251,3.868785489,3.88666895,3.888798222,3.864489753,3.902745702,3.875698949,3.868221133,3.886950752,3.877974592,3.876721176,3.905591936,3.862541648,3.860455431,3.85473833,3.883835148,3.885848429,3.874703289,3.871245955
Cholesteryl Esters > 14:0 Cholesteryl ester,Cholesteryl Esters,14:0 Cholesteryl ester,1.012452378,1.00451989,1.003239236,3.532242125,3.581275948,3.583563779,3.61037696,3.579662466,3.562183414,3.60546454,3.606851984,3.56594225,3.574167936,3.552468691,3.594980084,3.5897866,3.611500296,3.578538391,3.537786395,3.57104702,3.591701137,3.605143399,3.585690819,3.561540261,3.553395111,3.591899018,3.572943621,3.608078704,3.580694688,3.590371441,3.559832475,3.587394416,3.609692599,3.58443077,3.555128351,3.58888548,3.569050733
Cholesteryl Esters > 14:1 Cholesteryl ester,Cholesteryl Esters,14:1 Cholesteryl ester,0.957683993,0.999088368,0.99490777,3.596350771,3.583427797,3.603566578,3.594213522,3.559518848,3.535845847,3.580564654,3.566149865,3.598978654,3.558151579,3.565597586,3.571750776,3.566856882,3.583921648,3.55560227,3.56593753,3.556546151,3.587151773,3.546429174,3.563768178,3.559557165,3.582249805,3.585284751,3.564782049,3.577923614,3.573463447,3.603244031,3.590855236,3.565642454,3.570804401,3.569671173,3.582061122,3.580174317,3.596579535
