class and lipid,type,lipid,fold change_1hr,fold change_12hr,fold change_24hr,veh_N3_1hr,veh_N4_1hr,veh_N5_1hr,veh_N6_1hr,veh_N7_1hr,Abe_N3_1hr,Abe_N4_1hr,Abe_N5_1hr,Abe_N6_1hr,Abe_N7_1hr,veh_N1_12hr,veh_N2_12hr,veh_N3_12hr,veh_N4_12hr,veh_N5_12hr,veh_N6_12hr,Abe_N4_12hr,Abe_N1_12hr,Abe_N2_12hr,Abe_N3_12hr,Abe_N5_12hr,Abe_N6_12hr,veh_N2_24hr,veh_N3_24hr,veh_N4_24hr,veh_N5_24hr,veh_N6_24hr,veh_N7_24hr,Abe_N2_24hr,Abe_N3_24hr,Abe_N4_24hr,Abe_N5_24hr,Abe_N6_24hr,Abe_N7_24hr
"Cer > Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",Cer,"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",1.002426302,1.021372485,0.990958334,3.463773609,3.479442889,3.463334496,3.45685475,3.420487175,3.45203807,3.446617961,3.473939306,3.481938304,3.475543378,3.448573411,3.467471982,3.466464299,3.444953082,3.469058783,3.467131408,3.494644321,3.461168283,3.448059836,3.487585203,3.468681078,3.460555112,3.439509565,3.490893556,3.487138405,3.487081819,3.472077456,3.407339937,3.433299325,3.467534144,3.467243976,3.471332823,3.463531705,3.453260257
"Cer > Cer(d14:2(4E,6E)/18:1(9Z))",Cer,"Cer(d14:2(4E,6E)/18:1(9Z))",0.9647148,1.036686246,1.024076952,3.470633936,3.454899746,3.401893181,3.426524305,3.5326041,3.44449451,3.463973604,3.475650884,3.443416365,3.431167511,3.454250186,3.453226607,3.459377439,3.423586649,3.441534926,3.448022688,3.444350913,3.498470484,3.443012541,3.452902228,3.477509081,3.456903288,3.440146854,3.430510453,3.460600226,3.452249672,3.458299373,3.428364876,3.438143499,3.464805423,3.448421879,3.463752707,3.43864046,3.468270541
"Cer > Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",Cer,"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",1.008021081,1.067832991,0.986016603,3.44506843,3.442620881,3.417166034,3.477375998,3.443729146,3.467347632,3.425752646,3.454652845,3.47154696,3.464075059,3.453400939,3.430346031,3.446686287,3.43285392,3.427083467,3.434511451,3.496437013,3.459380455,3.437249441,3.504734517,3.444815872,3.453128707,3.47006636,3.466897295,3.455825137,3.478803089,3.485650487,3.473460724,3.442090798,3.45229259,3.472583895,3.464098925,3.476730246,3.47730365
"Cer > Cer(d14:2(4E,6E)/20:1(11Z))",Cer,"Cer(d14:2(4E,6E)/20:1(11Z))",0.943309775,0.986779135,1.055581159,3.465201392,3.4170796,3.456982144,3.450963136,3.461780591,3.440547049,3.455882907,3.41273602,3.433721874,3.421370297,3.444741014,3.434003345,3.470413461,3.424300042,3.455450959,3.437004998,3.428552714,3.44130546,3.44937968,3.441604058,3.433123139,3.43910525,3.407710375,3.399801774,3.431569632,3.44049035,3.481190327,3.436118135,3.489857305,3.437328775,3.408077104,3.435223076,3.461966512,3.49342462
"Cer > Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",Cer,"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",1.020320003,0.995667745,1.009728829,3.459648798,3.478202781,3.467187693,3.456335693,3.434610446,3.481284965,3.450744753,3.465611865,3.470816107,3.509783017,3.503248525,3.457700301,3.476570831,3.458290307,3.502099259,3.45567307,3.484581714,3.501962564,3.467933548,3.474679489,3.439174772,3.473116048,3.442232008,3.436181768,3.442316713,3.456621099,3.455170871,3.498398812,3.45827821,3.453706614,3.454418009,3.473364361,3.460230139,3.453400938
"Cer > Cer(d14:2(4E,6E)/24:0(2OH))",Cer,"Cer(d14:2(4E,6E)/24:0(2OH))",1.005162522,0.944126236,0.997385301,3.515990376,3.480156503,3.487497575,3.50723504,3.530952364,3.476364954,3.509863577,3.527016075,3.529945994,3.528330424,3.566463449,3.513816699,3.498666149,3.505429496,3.545034858,3.505372527,3.488203735,3.463755694,3.54237475,3.477292078,3.532871562,3.477222608,3.51187003,3.496226495,3.452369227,3.480633517,3.556251859,3.49416019,3.514951343,3.472414172,3.484362518,3.468955541,3.518813928,3.519449985
"Cer > Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",Cer,"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",0.962176289,1.040071451,1.038505946,3.443569654,3.436423494,3.497173037,3.461957519,3.468554118,3.490267607,3.419889722,3.451267457,3.450042722,3.451933766,3.439657929,3.462305169,3.40899596,3.435468523,3.460699464,3.419747664,3.445906114,3.482990744,3.429535914,3.453712727,3.448863966,3.467229166,3.445118298,3.434450766,3.45001499,3.440632083,3.425270075,3.40733314,3.428089449,3.419992106,3.479189385,3.41936421,3.465484009,3.476266333
"Cer > Cer(d16:2(4E,6E)/24:0(2OH))",Cer,"Cer(d16:2(4E,6E)/24:0(2OH))",0.999643093,1.05024751,1.056195543,3.462586679,3.478912669,3.497825008,3.483264878,3.473004995,3.529825484,3.455964993,3.45609872,3.495097355,3.494176896,3.487248733,3.459956132,3.439661083,3.4552744,3.459799481,3.422711311,3.43860566,3.451887738,3.477728872,3.497711813,3.50912187,3.475950009,3.466081356,3.460930929,3.454051771,3.488880574,3.551320699,3.433613073,3.498335401,3.44821459,3.460891861,3.474155079,3.543765208,3.557925685
Cer > Cer(d18:0/14:0),Cer,Cer(d18:0/14:0),0.991787943,1.00010883,1.02895659,3.452776693,3.479589737,3.440880786,3.413906376,3.442457849,3.448449717,3.482559206,3.440417892,3.434872196,3.446238868,3.450242978,3.495558241,3.461480549,3.433779462,3.434201543,3.46938311,3.476504149,3.464859034,3.471740476,3.462299175,3.432885977,3.43965793,3.525062988,3.451304332,3.438206842,3.44691603,3.430707033,3.426413688,3.481886762,3.481144428,3.44833217,3.426420196,3.470342886,3.479293108
Cer > Cer(d18:0/16:0(2OH)),Cer,Cer(d18:0/16:0(2OH)),0.974486052,0.996886558,1.040667303,3.538362596,3.489986618,3.508828603,3.468855218,3.471546962,3.5053671,3.484342584,3.507299868,3.485704424,3.481353786,3.43914317,3.480423808,3.44288725,3.526979936,3.467759044,3.477390461,3.455964993,3.477963,3.467439414,3.4995909,3.430649035,3.496597607,3.481818024,3.475708985,3.488085184,3.480679467,3.446360088,3.436766766,3.519691547,3.494073882,3.47540097,3.476993874,3.478794435,3.460858803
