class and lipid,type,lipid,fold change_1hr,fold change_12hr,fold change_24hr,veh_N3_1hr,veh_N4_1hr,veh_N5_1hr,veh_N6_1hr,veh_N7_1hr,Abe_N3_1hr,Abe_N4_1hr,Abe_N5_1hr,Abe_N6_1hr,Abe_N7_1hr,veh_N1_12hr,veh_N2_12hr,veh_N3_12hr,veh_N4_12hr,veh_N5_12hr,veh_N6_12hr,Abe_N4_12hr,Abe_N1_12hr,Abe_N2_12hr,Abe_N3_12hr,Abe_N5_12hr,Abe_N6_12hr,veh_N2_24hr,veh_N3_24hr,veh_N4_24hr,veh_N5_24hr,veh_N6_24hr,veh_N7_24hr,Abe_N2_24hr,Abe_N3_24hr,Abe_N4_24hr,Abe_N5_24hr,Abe_N6_24hr,Abe_N7_24hr
Acyl Carnities > (11Z)-eicoseneoylcarnitine,Acyl Carnities,(11Z)-eicoseneoylcarnitine,0.939524416,0.922194218,0.808062568,5.194511929,5.112830363,4.82716529,4.88381506,4.790594509,5.135653713,5.174493918,4.791397874,4.815319116,4.755250269,5.166365128,5.289568158,4.776092341,4.80710258,4.804203134,4.778195432,4.865480665,5.090634073,5.209733907,4.826855731,4.773749186,4.723937347,5.181199128,5.068665357,4.765219312,4.803173124,4.780827395,4.645084362,5.117250572,4.894944258,4.778967132,4.762979721,4.760128359,4.1927999
"Acyl Carnities > (11Z,14Z)-eicosadienoylcarnitine",Acyl Carnities,"(11Z,14Z)-eicosadienoylcarnitine",0.949996922,0.982914396,0.891039858,4.491349397,4.446151816,4.511961156,4.521838177,4.526999039,4.498437405,4.471433743,4.515874936,4.470186996,4.472565174,4.456720339,4.372054009,4.400814909,4.460963688,4.454259951,4.495164579,4.4118762,4.443716327,4.381560194,4.401054721,4.404948291,4.538423445,4.442234204,4.460438392,4.449562658,4.3736306,4.373071003,4.356804625,4.525837251,4.349673391,4.451471758,4.384127545,4.319366379,3.950533314
"Acyl Carnities > (13Z,16Z)-docosadienoylcarnitine",Acyl Carnities,"(13Z,16Z)-docosadienoylcarnitine",0.929304036,0.996569707,0.953691764,4.308762023,4.264913199,4.289325824,4.327401065,4.3069399,4.301611593,4.26939248,4.284263329,4.27187322,4.250770744,4.253284715,4.257324307,4.22944329,4.253530907,4.268155202,4.256315518,4.249124491,4.28032066,4.211170785,4.242439085,4.17912076,4.327043296,4.263655033,4.218415785,4.21186779,4.184854363,4.173875377,4.172138065,4.340398535,4.191921974,4.25382102,4.191297311,4.178238338,3.77895687
"Acyl Carnities > (5Z,8Z)-3-hydroxytetradecadienoylcarnitine",Acyl Carnities,"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",1.038682395,1.339930109,0.963368678,4.762071657,4.766179009,4.751040207,4.720065185,4.741143276,4.817897769,4.768465416,4.810541284,4.726729031,4.733000895,4.760943351,4.986230396,4.646223729,4.786715545,4.975263511,4.811206267,5.020888364,4.867785731,4.995058238,5.060660254,5.01629419,4.817833298,4.717623941,4.719300983,4.577388418,4.819597656,4.697179488,4.612890013,4.768397613,4.558563173,4.837824739,4.792093773,4.670268524,4.222328845
"Acyl Carnities > (5Z,8Z)-tetradecadienoylcarnitine",Acyl Carnities,"(5Z,8Z)-tetradecadienoylcarnitine",1.009229284,1.080173982,0.951643922,4.366907633,4.320991226,4.325340381,4.335492434,4.323454273,4.375741173,4.345488647,4.3718242,4.349540969,4.285027762,4.288657865,4.374791621,4.260512171,4.329169208,4.309071645,4.292883163,4.384498959,4.29060175,4.347099269,4.380645711,4.355556903,4.301760766,4.341759711,4.234283906,4.255657436,4.281273899,4.275694129,4.165146978,4.354722968,4.194181241,4.283437409,4.284355401,4.290935704,3.917908664
"Acyl Carnities > (7Z,10Z)-hexadecadienoylcarnitine",Acyl Carnities,"(7Z,10Z)-hexadecadienoylcarnitine",0.994523597,0.943797569,0.829683339,6.482652533,6.421404758,6.029075845,6.119612673,5.984567846,6.466786032,6.490243761,6.026786805,6.028258105,5.996689973,6.465071584,6.644727535,6.03424574,6.026948906,6.07818017,5.994324954,6.136109554,6.404325005,6.568620689,6.117433227,6.094393353,5.863061853,6.48387862,6.376733294,5.996473844,6.056937985,6.07463435,5.802195382,6.441376202,6.196367438,6.035658056,6.05272651,6.051171182,5.091835045
"Acyl Carnities > (7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",Acyl Carnities,"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.95111633,1.095435152,0.879473691,4.354648122,4.324123147,4.348811731,4.384786629,4.378952527,4.381113671,4.29842646,4.3664779,4.363190672,4.30968725,4.321530114,4.286346905,4.240589715,4.319950944,4.324786883,4.347138719,4.322477758,4.365064373,4.287347526,4.338120115,4.342880456,4.415389101,4.352248169,4.283727654,4.309486263,4.319979631,4.303802814,4.256289044,4.355804668,4.228975473,4.331092719,4.29099171,4.264499568,3.889363373
Acyl Carnities > (9Z)-3-hydroxyoctadecenoylcarnitine,Acyl Carnities,(9Z)-3-hydroxyoctadecenoylcarnitine,0.955468853,0.956471149,0.82738099,5.024509667,4.970597553,4.717153401,4.763867186,4.694062683,4.996880697,5.014823797,4.7137059,4.704584452,4.644633763,5.002624604,5.103404562,4.670319931,4.698017543,4.70439389,4.659082381,4.714128864,4.942011362,5.039156431,4.693534758,4.697666937,4.704027282,5.014138355,4.920047974,4.660735961,4.673508438,4.685276244,4.608529061,4.974334838,4.769071914,4.666192167,4.664539527,4.679111451,4.086941143
"Acyl Carnities > (9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",Acyl Carnities,"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",1.027159721,1.302976089,0.977023482,4.626189036,4.639105053,4.64832471,4.607515742,4.636403062,4.689417587,4.671690569,4.681191863,4.607541903,4.59863714,4.647032687,4.869368476,4.538227295,4.649230295,4.847651891,4.694827672,4.895229034,4.754574935,4.86669146,4.896552039,4.90796122,4.656684183,4.617054499,4.573151394,4.499379701,4.655088115,4.564228503,4.468648903,4.660862097,4.468195181,4.704716305,4.643301465,4.523102639,4.141099093
"Acyl Carnities > (9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",Acyl Carnities,"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.955499548,0.964252271,0.930486698,4.498442367,4.520089837,4.485087723,4.517372773,4.536865404,4.493049947,4.500514234,4.512694028,4.522357129,4.470692414,4.437152631,4.404921284,4.402566428,4.447482112,4.456800447,4.489516962,4.431456758,4.437626628,4.399186586,4.399695895,4.379981759,4.48933487,4.412327161,4.444075133,4.431241855,4.349993214,4.359230115,4.340970929,4.521134452,4.34855099,4.456001468,4.359348601,4.348884863,3.936658511
"Acyl Carnities > 12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",Acyl Carnities,"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.956140368,1.137716103,0.864996752,4.445397153,4.416446812,4.415811094,4.453540968,4.428958232,4.418344087,4.404889142,4.445145728,4.450157344,4.381462049,4.453762531,4.44861763,4.310595641,4.398322398,4.408180276,4.402148571,4.484898071,4.457307432,4.39115082,4.482801891,4.46617727,4.481871581,4.474395514,4.387567809,4.380541573,4.419682898,4.44322921,4.358239159,4.451735515,4.285213368,4.415973776,4.422333421,4.410757702,3.938983825
"Acyl Carnities > 2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",Acyl Carnities,"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",0.787615966,0.644960134,0.560236924,5.367228291,5.31527583,5.256901555,5.307548396,5.376864879,5.251492783,5.195067308,5.332827606,5.168934184,5.186827919,5.294605123,4.907577875,5.132506715,5.288137381,4.97775783,5.324138216,4.919868344,4.988763156,4.878814244,4.954962197,4.859293156,5.226144011,5.236060014,5.375703869,5.263502026,5.17063977,5.133465484,5.434141903,5.109177846,5.227898508,4.95590973,5.044642318,5.064141093,4.509650864
Acyl Carnities > 3-hydroxyarachidonoylcarnitine,Acyl Carnities,3-hydroxyarachidonoylcarnitine,0.967730837,0.994216785,0.900561281,4.286148744,4.259694228,4.246612342,4.27273022,4.266365806,4.246049312,4.300391578,4.296750319,4.247476398,4.201999286,4.246316881,4.226648905,4.141980044,4.227261313,4.231223857,4.24677722,4.210361364,4.245230809,4.158293151,4.199272938,4.234675211,4.255975523,4.276468268,4.274803297,4.137685115,4.183412243,4.223233187,4.166841447,4.301454124,4.123692292,4.220953385,4.208792765,4.204902123,3.810706922
"Acyl Carnities > 3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",Acyl Carnities,"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",0.962103506,1.034583691,0.881095406,4.538278355,4.519813328,4.459095349,4.45014964,4.471801152,4.541724515,4.49160094,4.468370997,4.446231403,4.447335157,4.529730076,4.477103916,4.405114753,4.407239288,4.444137301,4.438995263,4.440715212,4.510342587,4.483725369,4.433839282,4.430265735,4.491034622,4.514712704,4.499012607,4.403801156,4.400459617,4.395066641,4.426081011,4.543022773,4.367494978,4.417628138,4.429488097,4.426957066,3.959218923
"Acyl Carnities > 3-hydroxylinoleoylcarnitine,",Acyl Carnities,"3-hydroxylinoleoylcarnitine,",0.98372897,0.924193082,0.806605501,6.493319074,6.43582725,6.004367109,6.088231121,5.979896469,6.474036579,6.504940063,5.994114652,5.995146415,5.952991379,6.47755876,6.627414074,5.98993426,6.015388988,6.036466374,5.97437139,6.077701899,6.413994081,6.559121318,6.052116462,6.018522404,5.857267716,6.492067758,6.37683605,5.975800865,6.028578735,6.034634599,5.81542643,6.451158056,6.199724069,5.975921724,5.993548404,6.004118011,5.051226665
"Acyl Carnities > 3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",Acyl Carnities,"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",1.106310336,1.063838,0.893686747,4.534141174,4.555533877,4.546160547,4.559602903,4.486450346,4.630516583,4.546886045,4.625518054,4.585460309,4.550008855,4.574623155,4.632592551,4.558167673,4.523027107,4.540885596,4.579515422,4.637797462,4.47994283,4.52907269,4.663935278,4.712410465,4.51724952,4.576587371,4.548422372,4.452144496,4.559916465,4.58580197,4.404043776,4.575735252,4.390927369,4.506021794,4.577638412,4.56379379,4.07448441
"Acyl Carnities > Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",Acyl Carnities,"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",0.948274901,1.050979557,0.872319866,4.402104866,4.39600189,4.366013717,4.375897642,4.380594365,4.42769058,4.386305616,4.375522087,4.332055334,4.315486721,4.436961806,4.424500432,4.281690484,4.32962161,4.301857439,4.295956172,4.34364176,4.389681644,4.392493678,4.360334763,4.360263902,4.373595696,4.417097888,4.385804643,4.306958751,4.322414506,4.3357487,4.28980073,4.424287289,4.280714039,4.331130006,4.329533772,4.315698805,3.851588562
Acyl Carnities > cis-5-Tetradecenoylcarnitine,Acyl Carnities,cis-5-Tetradecenoylcarnitine,1.091720263,1.210841301,1.046840351,4.717890623,4.689967737,4.752930317,4.730546527,4.725235697,4.81666335,4.721446909,4.782097825,4.790755554,4.731182188,4.674912587,4.910112687,4.666274591,4.728389206,4.890249197,4.73945465,5.000965263,4.721916942,4.816672494,4.938428986,4.900892145,4.730192624,4.722395029,4.630286914,4.577782183,4.743495055,4.769887872,4.542692286,4.772722249,4.52795688,4.884367906,4.771731812,4.704153808,4.226308591
"Acyl Carnities > Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",Acyl Carnities,"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",0.977830929,1.080742287,0.879274639,4.411995963,4.405359714,4.420843279,4.442288478,4.471843354,4.436009293,4.418552543,4.424382431,4.451634817,4.415110995,4.462225773,4.356231698,4.331973649,4.408067262,4.374307263,4.426808853,4.417248125,4.450942221,4.375585008,4.414579998,4.39421699,4.505231977,4.434096063,4.406468335,4.400498994,4.391994513,4.395493817,4.358672169,4.482601235,4.319844907,4.405280809,4.380796094,4.364033692,3.932235275
Acyl Carnities > Hexacosanoyl carnitine,Acyl Carnities,Hexacosanoyl carnitine,0.950552561,0.954312144,0.870323337,4.458268835,4.453197242,4.4373421,4.427190017,4.450849036,4.448965613,4.455981711,4.436892572,4.425195032,4.387018058,4.418711887,4.444666764,4.351672674,4.411886293,4.40820844,4.429421863,4.384494302,4.427354988,4.389813351,4.37985754,4.328374333,4.426029887,4.449384617,4.412545246,4.372327919,4.369778992,4.384538381,4.314537993,4.447077399,4.305037393,4.446202185,4.318189876,4.358178623,3.874499244
"Acyl Carnities > Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",Acyl Carnities,"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",0.996292532,0.945728257,0.858261866,4.701019062,4.647622383,4.570914996,4.59111675,4.533910306,4.698556739,4.717067594,4.581384362,4.518107646,4.541352834,4.668587018,4.792980836,4.531430664,4.541118025,4.529817535,4.505027575,4.555033988,4.623846998,4.684378545,4.553425472,4.537394443,4.516812419,4.687211226,4.6275023,4.487178011,4.490381917,4.483919805,4.376731336,4.682097789,4.474619214,4.539634331,4.428195104,4.475848386,3.941072973
Acyl Carnities > O-(11-carboxyundecanoyl)carnitine,Acyl Carnities,O-(11-carboxyundecanoyl)carnitine,1.004344307,0.973291719,0.892129502,4.684444113,4.677717003,4.70283796,4.742240176,4.715281512,4.720297293,4.686817485,4.701508784,4.747839244,4.715430229,4.697672686,4.641101164,4.627434717,4.680808027,4.685730307,4.718489598,4.658508245,4.688977138,4.576734715,4.669678704,4.658960112,4.720510597,4.708733748,4.677091542,4.700631415,4.690382907,4.683049774,4.549961855,4.75361909,4.554671838,4.702596669,4.67532497,4.6760744,4.149736291
Acyl Carnities > O-(13-carboxytridecanoyl)carnitine,Acyl Carnities,O-(13-carboxytridecanoyl)carnitine,0.987708351,1.094865557,0.799917526,4.453220493,4.415997437,4.460856996,4.45182176,4.467233607,4.460533156,4.447427553,4.459444692,4.466027003,4.428942378,4.411450362,4.398052248,4.363994246,4.403767566,4.404135921,4.416707095,4.462501944,4.415473868,4.36955799,4.455121838,4.45352171,4.473188804,4.451098419,4.402510052,4.543176484,4.550720141,4.442244558,4.409308807,4.484132099,4.335705001,4.422850764,4.421810197,4.442254601,3.975840663
Acyl Carnities > O-(17-carboxyheptadecanoyl)carnitine,Acyl Carnities,O-(17-carboxyheptadecanoyl)carnitine,0.975812844,1.16795815,0.918284122,4.342642964,4.343291619,4.366402441,4.381258106,4.312116429,4.375375723,4.298276573,4.333090047,4.378351775,4.345469825,4.333766411,4.324659803,4.263000406,4.318234124,4.328777862,4.321789368,4.396669348,4.387171587,4.302926788,4.385593791,4.407110038,4.410745552,4.345216092,4.291960415,4.287948145,4.349371985,4.331797685,4.252343741,4.374263968,4.197520421,4.339484068,4.372261205,4.324651582,3.856661264
Acyl Carnities > O-arachidonoylcarnitine,Acyl Carnities,O-arachidonoylcarnitine,0.981363252,1.141865089,0.927768266,4.329989448,4.284091319,4.303597785,4.326349409,4.318283796,4.30537892,4.292202035,4.326210504,4.334141621,4.302899112,4.335557017,4.33446424,4.261768529,4.232856434,4.325868158,4.304584905,4.361901928,4.345440027,4.324545865,4.383485782,4.38199761,4.350663923,4.360253298,4.260108644,4.271705054,4.297802981,4.301830993,4.270634153,4.355528557,4.210489774,4.34762819,4.331834908,4.30287792,3.868315243
Acyl Carnities > O-behenoylcarnitine,Acyl Carnities,O-behenoylcarnitine,0.991286795,0.892915496,0.798736909,6.412046007,6.351236342,5.842207172,5.930728278,5.804268656,6.390810623,6.425328897,5.829953009,5.834976592,5.77794251,6.400323673,6.531972934,5.841983276,5.865479257,5.872005866,5.820963251,5.892620201,6.318348052,6.469350468,5.871115422,5.82183528,5.686531965,6.404662293,6.296912914,5.807053537,5.87066049,5.853161563,5.659883236,6.359833254,6.128550682,5.81362307,5.818402063,5.810342118,4.816859246
"Acyl Carnities > O-oleoylcarnitine, Elaidic carnitine",Acyl Carnities,"O-oleoylcarnitine, Elaidic carnitine",0.998287893,1.036157502,0.850816187,4.996955841,4.956251564,4.749681476,4.794330362,4.714467938,5.013470272,5.009436737,4.726213282,4.754335064,4.704605029,4.989097374,5.06647795,4.67346036,4.68716553,4.725293251,4.672898103,4.778096846,4.961047801,5.050390843,4.740814467,4.748409956,4.672585687,4.994135421,4.903208779,4.657081901,4.690804936,4.70086982,4.592009257,4.985100685,4.748254748,4.667969349,4.691162006,4.691198792,4.071064203
"Acyl Carnities > O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",Acyl Carnities,"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",1.014889898,1.057038976,0.934444566,5.009327422,4.971140002,4.80456564,4.871126649,4.801033369,5.026619571,5.020958303,4.833445117,4.828414746,4.803444311,4.999186444,5.186103375,4.758556474,4.802655144,4.912246861,4.78621933,5.025025644,4.954796828,5.086152491,4.937315973,4.921863932,4.755357083,4.99627505,4.907149768,4.688829924,4.789937761,4.820454767,4.601947527,4.997805826,4.764754488,4.890051991,4.787378883,4.76625936,4.207198004
"Acyl Carnities > Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",Acyl Carnities,"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",0.98206842,1.130515957,0.888525257,4.475735708,4.461061945,4.478090129,4.532918164,4.475918073,4.500385274,4.452908352,4.518933321,4.497515721,4.453604543,4.425380005,4.505090832,4.362103462,4.414018219,4.411117148,4.443403533,4.509730914,4.451646487,4.449342026,4.492614329,4.513984563,4.473871928,4.479222516,4.411743277,4.36534984,4.48111115,4.495440848,4.321677982,4.46650999,4.290542585,4.423398289,4.48178165,4.476200762,3.928883163
Acyl Carnities > Stearidonyl carnitine,Acyl Carnities,Stearidonyl carnitine,0.982818664,0.983600374,0.912187849,4.820293334,4.785975278,4.761539083,4.835852243,4.807807321,4.834923411,4.782709661,4.793882428,4.821118518,4.781866802,4.838751177,4.707595755,4.675994547,4.755688021,4.763850132,4.785426966,4.728149847,4.776904226,4.693711327,4.721437174,4.722593326,4.836866486,5.156816944,4.80358728,4.778057318,4.759972453,4.780936293,4.817692037,4.834234259,4.680808207,4.805027595,5.197532267,4.788094546,4.188072569
"Acyl Carnities > Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",Acyl Carnities,"Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",1.010261307,1.060730216,0.864093808,4.51772468,4.496937147,4.439008542,4.451556217,4.428105006,4.540307727,4.495545478,4.472211294,4.425246583,4.460279803,4.488576411,4.515204173,4.353457308,4.403194701,4.395773949,4.412453857,4.475742094,4.470775858,4.462853048,4.442154822,4.474060911,4.414407429,4.501283367,4.426178366,4.351926916,4.40668972,4.439767432,4.32664839,4.481126354,4.304220767,4.35694325,4.444783125,4.407954894,3.895494399
Acyl Carnities > TetradecanoylcarnitineO-tetradecanoylcarnitine,Acyl Carnities,TetradecanoylcarnitineO-tetradecanoylcarnitine,0.967965227,1.095324042,0.883792709,4.443506468,4.447179775,4.464693713,4.483183798,4.412949871,4.453773528,4.444186651,4.477390462,4.451642804,4.391974788,4.408721862,4.456605316,4.371920859,4.381034565,4.397786797,4.381461689,4.474456109,4.415697048,4.424958068,4.423893746,4.4411586,4.45672095,4.445218023,4.355360736,4.388094124,4.406492862,4.468614061,4.349396467,4.401006422,4.276088042,4.405926656,4.441507269,4.455703186,3.963816177
Cholesteryl Esters > 12:0 Cholesteryl ester,Cholesteryl Esters,12:0 Cholesteryl ester,0.960104897,1.047754892,1.003863717,4.009204387,3.994589905,3.971629295,3.983417012,4.003504506,3.970697364,3.964183264,3.98223688,3.989597556,4.006508003,3.946139727,3.959830074,3.969316212,3.951498801,3.951063478,3.948857822,3.977938445,3.946959987,3.986105036,3.972748866,3.971523579,3.992618931,3.976902729,3.947899169,3.971723863,3.959475501,3.943019431,3.93105597,3.989448068,3.931495531,3.906243463,3.962630717,3.959473595,3.978834921
Cholesteryl Esters > 14:0 Cholesteryl ester,Cholesteryl Esters,14:0 Cholesteryl ester,1.08236795,0.991210031,1.005542757,3.852981124,3.877983797,3.924543949,3.954131539,3.931384664,3.9681354,3.924056942,3.976163775,3.940942632,3.948601738,3.884897303,3.91171148,3.847573925,3.87181106,3.876388784,3.934475255,3.938501744,3.78286807,3.901384239,3.935693672,3.9021444,3.833799687,3.897552349,3.82830152,3.855440436,4.005612904,3.968043794,3.836821463,3.918939964,3.791692085,3.790766382,3.976768054,4.015620453,3.888756704
Cholesteryl Esters > 14:1 Cholesteryl ester,Cholesteryl Esters,14:1 Cholesteryl ester,0.975442566,1.050874151,0.97312274,3.719960751,3.72734768,3.660677714,3.759300648,3.701732033,3.709125767,3.705187838,3.674864844,3.743127071,3.724965308,3.680621955,3.716766061,3.644639474,3.636836828,3.708675822,3.713280515,3.707110121,3.679947316,3.684378544,3.704732079,3.746735396,3.71144787,3.717146069,3.701894262,3.677232746,3.665440299,3.717745403,3.668799542,3.702411611,3.659627243,3.644529212,3.693617955,3.680846605,3.688722331
Cholesteryl Esters > 15:0 Campesteryl ester_simulated,Cholesteryl Esters,15:0 Campesteryl ester_simulated,1.239896803,0.893959947,0.964437063,4.527050916,4.471660732,4.525068952,4.65128483,4.526241324,4.604556972,4.614455982,4.653823599,4.660955582,4.68684053,4.586344469,4.542596677,4.57387446,4.535273387,4.467599261,4.666064387,4.586776988,4.354410066,4.530647628,4.634894064,4.614360372,4.294112944,4.609346383,4.485827319,4.545210131,4.743919435,4.751093979,4.374530626,4.544514797,4.415821763,4.381516535,4.75383578,4.776498981,4.493934915
Cholesteryl Esters > 15:0 Cholesteryl ester,Cholesteryl Esters,15:0 Cholesteryl ester,1.08749131,1.062158577,0.921569541,3.826459692,3.936160766,3.887888396,3.851242475,3.844063216,3.938758854,3.917545449,3.882136206,3.92055535,3.917254448,3.886560689,3.860189453,3.752464894,3.881374415,3.82807575,3.85915755,3.85355589,3.872166795,3.790622924,3.92388931,3.910498503,3.877362162,3.839755787,3.820558766,3.804060369,3.919777663,3.931380597,3.903179037,3.857239627,3.79250798,3.719930961,3.902360876,3.914181289,3.803360171
Cholesteryl Esters > 15:1 Campesteryl ester_simulated,Cholesteryl Esters,15:1 Campesteryl ester_simulated,1.276595149,0.938962167,0.971778422,4.554423528,4.537895149,4.542412619,4.684541461,4.569404375,4.628486845,4.66316798,4.712707296,4.700483949,4.757780681,4.600856664,4.61058376,4.653610177,4.589055339,4.534526687,4.652479221,4.668086684,4.36090041,4.56143512,4.672975568,4.741046472,4.359738022,4.665566763,4.47852295,4.594941678,4.80881805,4.847484712,4.427665273,4.60636527,4.459104703,4.370851985,4.831719725,4.870645715,4.534292474
Cholesteryl Esters > 15:1 Cholesteryl ester,Cholesteryl Esters,15:1 Cholesteryl ester,0.868283881,1.007475864,1.031494429,3.930735168,3.697788886,3.840183939,3.756671123,3.720402472,3.772559362,3.719631243,3.693449082,3.77588997,3.752847152,3.715791186,3.723841388,3.725418311,3.821276367,3.881462296,3.720921372,3.812246067,3.682269689,3.765658157,3.758621288,3.819618974,3.785583248,3.718164449,3.757552439,3.714482353,3.707166381,3.735359366,3.66017274,3.702764775,3.711103386,3.737861894,3.735063718,3.731008275,3.750304728
Cholesteryl Esters > 16:0 Campesteryl ester,Cholesteryl Esters,16:0 Campesteryl ester,0.987194346,0.723240419,1.130404952,4.371959222,4.266322996,4.2828912,4.375182091,4.404269823,4.315700906,4.301879979,4.378607579,4.386003957,4.339793207,4.421979854,4.109141023,4.253369057,4.381571017,4.357371456,4.385063006,4.06544305,4.400495881,4.040357863,4.111050052,4.049928629,4.309933671,4.201274769,4.309678734,4.400065305,4.088156683,4.133699855,4.167379405,4.36458892,4.36521088,4.325773813,4.063251554,4.066564474,4.375106293
Cholesteryl Esters > 16:0 Cholesteryl ester,Cholesteryl Esters,16:0 Cholesteryl ester,1.182785222,0.925254947,0.932541944,4.529450917,4.529616949,4.517746038,4.642606391,4.549296893,4.630128372,4.60411177,4.622317069,4.632479191,4.689534771,4.569545049,4.545513481,4.607287739,4.56018772,4.474656197,4.654645856,4.589653678,4.38431688,4.554699441,4.642880643,4.626320273,4.373475516,4.637707453,4.46758357,4.55083646,4.737041358,4.767982718,4.389841319,4.529714692,4.422611861,4.386732224,4.738318629,4.779470831,4.468306881
Cholesteryl Esters > 16:1 Cholesteryl ester,Cholesteryl Esters,16:1 Cholesteryl ester,1.271131066,0.948009002,0.97694599,4.531376495,4.530434105,4.57020077,4.674062729,4.53795103,4.629982603,4.637345639,4.707913249,4.68554132,4.747968064,4.580085244,4.612941477,4.620643823,4.577981458,4.53165544,4.656072924,4.688238087,4.33794862,4.532525357,4.67888372,4.715992683,4.368725268,4.649665063,4.486249383,4.597130488,4.816469622,4.802497223,4.426792925,4.574582675,4.438118795,4.369255604,4.826800341,4.869967199,4.536141147
Cholesteryl Esters > 16:2 Campesteryl ester,Cholesteryl Esters,16:2 Campesteryl ester,1.045728866,0.993393408,1.076206618,3.978448987,3.896235153,3.922168904,3.967231531,3.947675832,3.962840819,3.956861627,4.002522888,3.920017904,4.003599273,3.868396397,3.852172494,3.862477278,3.857881081,3.817768948,3.913733372,3.941055063,3.75202388,3.821662882,3.910939104,3.850260193,3.867173961,3.846682216,3.785375427,3.79591062,3.866081695,3.844023416,3.77289211,3.864005329,3.830320472,3.761391056,3.900557223,3.881228289,3.851206994
"Cholesteryl Esters > 16:2 Cholesteryl ester, zymosteryl palmitoleate",Cholesteryl Esters,"16:2 Cholesteryl ester, zymosteryl palmitoleate",1.029242984,0.988366124,0.977058397,3.877755966,3.851857415,3.880853622,3.963180363,3.864840862,3.888592836,3.885151971,3.915652033,3.911821099,3.943942462,3.891010889,3.878390833,3.894733567,3.845710614,3.922716151,3.906687321,3.936868501,3.807996169,3.82704217,3.926218964,3.973669028,3.82124622,3.910917778,3.815176501,3.904503516,3.958930687,4.014956324,3.777590683,3.853021331,3.843524318,3.810379081,3.996057905,3.971346401,3.847193751
Cholesteryl Esters > 16:3 Campesteryl ester,Cholesteryl Esters,16:3 Campesteryl ester,0.960543436,1.004692458,1.034904537,3.637027199,3.637039219,3.592509878,3.630873159,3.619020277,3.607137527,3.608861818,3.612082096,3.62075012,3.621126438,3.61733593,3.60200356,3.623978736,3.624465711,3.649105024,3.616952117,3.641620864,3.626992888,3.634656624,3.616017378,3.602183777,3.624760516,3.599496649,3.580738029,3.618949271,3.593970237,3.669857816,3.604651525,3.64149992,3.63107632,3.61253807,3.629211808,3.628748512,3.610270431
Cholesteryl Esters > 16:3 Cholesteryl ester,Cholesteryl Esters,16:3 Cholesteryl ester,1.019099955,1.035621947,1.034940233,3.697103778,3.706091089,3.781469609,3.755023752,3.704455992,3.733579242,3.715998363,3.779273207,3.743229062,3.755999826,3.727996487,3.714193948,3.720776007,3.697433393,3.75052231,3.715383226,3.793842081,3.679273444,3.745345001,3.749543112,3.743641475,3.702077128,3.743262007,3.75323061,3.682857812,3.786125106,3.753416081,3.647349745,3.710024262,3.649358258,3.716083544,3.797084671,3.779642689,3.790126088
Cholesteryl Esters > 16:3 Stigmasteryl ester,Cholesteryl Esters,16:3 Stigmasteryl ester,1.066251338,1.144673572,1.107755712,3.913586085,3.88411993,3.898246787,3.973333893,3.947862933,3.908819486,3.94212818,3.988985941,3.961514143,3.993553529,3.911184283,3.943308521,3.871068333,3.856311943,3.995858896,3.936793158,4.052195923,3.829792512,3.915668907,4.06874084,4.053216042,3.916109564,3.929877533,3.884168698,3.89476788,3.980823923,4.037181818,3.815143269,3.92400107,3.89265885,3.939285602,4.040151233,4.040837251,3.974061075
