Lipid name,MRM,Ab-medium_12h_N1_acy-carnitines,Ab-medium_12h_N2_acy-carnitines,Ab-medium_12h_N3_acy-carnitines,Ab-medium_12h_N4_acy-carnitines,Ab-medium_12h_N5_acy-carnitines,Ab-medium_12h_N6_acy-carnitines,Ab-medium_1h_N3_acy-carnitines,Ab-medium_1h_N4_acy-carnitines,Ab-medium_1h_N5_acy-carnitines,Ab-medium_1h_N6_acy-carnitines,Ab-medium_1h_N7_acy-carnitines,Ab-medium_24h_N2_acy-carnitines,Ab-medium_24h_N3_acy-carnitines,Ab-medium_24h_N4_acy-carnitines,Ab-medium_24h_N5_acy-carnitines,Ab-medium_24h_N6_acy-carnitines,Ab-medium_24h_N7_acy-carnitines,Blank_acy-carnitines,Veh-medium_12h_N1_acy-carnitines,Veh-medium_12h_N2_acy-carnitines,Veh-medium_12h_N3_acy-carnitines,Veh-medium_12h_N4_acy-carnitines,Veh-medium_12h_N5_acy-carnitines,Veh-medium_12h_N6_acy-carnitines,Veh-medium_1h_N3_acy-carnitines,Veh-medium_1h_N4_acy-carnitines,Veh-medium_1h_N5_acy-carnitines,Veh-medium_1h_N6_acy-carnitines,Veh-medium_1h_N7_acy-carnitines,Veh-medium_24h_N2_acy-carnitines,Veh-medium_24h_N3_acy-carnitines,Veh-medium_24h_N4_acy-carnitines,Veh-medium_24h_N5_acy-carnitines,Veh-medium_24h_N6_acy-carnitines,Veh-medium_24h_N7_acy-carnitines,control_medium_acy-carnitines
,388.3 -> 326.296,3975.880257,3812.120266,3555.900234,4153.240292,3766.100269,3493.620262,4395.460331,3612.220249,3739.280277,3591.820278,3810.740273,3941.920296,3500.400238,3509.060261,3595.440258,3897.740288,3118.460228,3290.920227,4030.060276,3757.88031,3734.420265,3802.780258,3683.400272,3556.44025,3660.280254,3820.580261,3630.880241,3737.260239,3379.280251,3603.400253,3787.580265,3588.160248,3520.940262,3459.960243,3745.02026,3905.140266
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",388.3 -> 85.1,97445.80679,75650.92529,90149.26638,83151.16615,72325.78502,168323.2124,178440.2336,156699.3907,215192.7356,147548.291,153754.5296,128581.3101,169004.5931,90346.16654,110826.1682,115915.3879,32333.36192,5861.500397,197063.0149,80830.98573,135677.1507,194149.994,95007.48689,210929.9338,232931.5362,206669.2342,180676.4524,203024.475,238157.8377,172210.653,237522.0149,183443.3723,148128.8906,135977.009,271732.6993,194611.9341
,396.3 -> 334.296,5622.540356,7047.280537,4608.060329,4308.080322,4248.92028,4227.780327,5604.160416,6109.480396,4197.880295,4684.900337,4892.660358,6159.460419,4663.14032,4147.760303,4448.440319,4302.420338,3304.720222,3003.980213,5824.260387,7014.760529,4296.360291,4274.600304,4399.720318,4574.86031,5790.600418,6257.100422,4445.280327,4484.020332,4229.060314,6486.800495,6027.700417,4407.560291,4322.400288,3963.680271,3630.400238,3726.180275
"(7Z,10Z)-hexadecadienoylcarnitine",396.3 -> 85.1,2537026.51,3703571.117,1310488.54,1368073.888,1242777.416,729561.4076,2929449.611,3092030.445,1063620.759,1067230.198,992407.3523,2762970.205,1571691.982,1085570.558,1129084.668,1125048.338,123547.808,5415.660374,2917907.928,4412935.047,1082046.041,1064017.832,1197237.109,987017.7307,3038453.072,2638789.564,1069241.595,1317081.572,965090.0676,3047043.256,2380856.905,991913.597,1140086.978,1187502.001,634154.9433,627743.2466
,398.3 -> 336.296,4391.520317,4082.120281,3685.920246,4042.18029,3986.660297,3658.140266,4372.600277,3835.420254,3634.040264,3774.480282,3514.400249,4092.360313,3399.680252,3535.720234,3726.760246,3762.080238,3131.420216,3074.280212,4289.080311,3954.500286,4027.460304,3421.560234,3660.340256,3961.600277,4137.36031,4373.640285,3522.820251,3614.280262,3227.880215,4339.4603,4314.520309,3739.800282,3666.220268,3506.660252,3455.840263,3412.200233
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",398.3 -> 85.1,90114.94619,121941.7689,86559.74602,105931.6273,83534.12583,56932.08424,106321.1268,104944.1666,68146.74497,67361.96484,63598.12479,99496.04696,58177.42403,77634.00504,61288.48454,58379.36413,16113.8013,5515.260395,99812.84714,153498.2309,57353.04411,63482.66408,81704.6664,61125.0645,102170.9478,93570.72672,63762.54461,74323.58489,63246.04446,99145.96639,80751.34557,48846.10336,61650.66436,66138.5648,39989.64301,53722.52359
,400.3 -> 338.296,3870.400276,3620.620266,4158.640301,3657.94025,3904.340298,3597.140251,3662.900261,3541.440262,3515.660255,3698.700272,3794.020256,3432.740242,3627.020248,3502.520248,4004.920284,3869.120262,3110.980209,3177.520222,3784.620262,4003.500267,3689.400265,3628.300251,3798.84026,3639.960262,3728.720272,3706.980244,3456.100235,3753.720257,3477.820236,3666.040253,3485.040215,3517.20026,3832.120281,3751.220268,3647.560272,3152.580246
"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",400.3 -> 85.1,28290.882,28141.16199,31089.54235,32339.32227,32657.62235,29776.38206,31650.84241,28373.2021,33031.88216,31442.40239,28418.72198,29275.88216,19522.82155,26509.30175,30323.66217,29936.48195,8489.520535,5227.860405,26630.54198,31995.64225,23019.90154,25942.88194,25770.16195,27758.98184,29904.44235,28910.92217,30067.00216,34112.8625,29917.00214,30145.50171,25807.34199,23192.6215,30276.88215,31292.54231,20973.84151,22227.8015
,402.3 -> 340.296,4318.400303,4404.640316,4142.82029,3676.780258,3581.660259,4497.520317,4118.000294,4120.500278,3867.440258,4110.280296,3957.640255,3750.74028,3694.980274,4170.340309,4301.560287,3775.780277,3334.260235,3069.420208,4733.040359,4450.360329,3813.480263,3957.520267,3728.160278,4129.620247,4205.060318,3813.880272,4313.960274,4447.480339,4035.920258,3903.900284,4373.080322,4056.680302,3935.840256,3904.540268,4131.840294,3682.740269
O-(13-carboxytridecanoyl)carnitine,402.3 -> 85.1,26029.982,23418.44152,28518.18213,29006.94183,28413.30218,29729.58207,28875.74218,28017.38212,28803.46209,29243.342,26849.88182,30488.22206,21662.32171,26475.90193,26412.54178,27685.64212,9458.900631,5543.960426,25789.9418,25006.46183,23120.34159,25337.72197,25359.22175,26104.00203,28393.60214,26061.38172,28897.28202,28302.30194,29324.70197,28255.20218,25264.46188,34928.22245,35540.22235,27685.00191,25663.08175,20350.7815
