Lipid name,MRM,Ab-medium_12h_N1_acy-carnitines,Ab-medium_12h_N2_acy-carnitines,Ab-medium_12h_N3_acy-carnitines,Ab-medium_12h_N4_acy-carnitines,Ab-medium_12h_N5_acy-carnitines,Ab-medium_12h_N6_acy-carnitines,Ab-medium_1h_N3_acy-carnitines,Ab-medium_1h_N4_acy-carnitines,Ab-medium_1h_N5_acy-carnitines,Ab-medium_1h_N6_acy-carnitines,Ab-medium_1h_N7_acy-carnitines,Ab-medium_24h_N2_acy-carnitines,Ab-medium_24h_N3_acy-carnitines,Ab-medium_24h_N4_acy-carnitines,Ab-medium_24h_N5_acy-carnitines,Ab-medium_24h_N6_acy-carnitines,Ab-medium_24h_N7_acy-carnitines,Blank_acy-carnitines,Veh-medium_12h_N1_acy-carnitines,Veh-medium_12h_N2_acy-carnitines,Veh-medium_12h_N3_acy-carnitines,Veh-medium_12h_N4_acy-carnitines,Veh-medium_12h_N5_acy-carnitines,Veh-medium_12h_N6_acy-carnitines,Veh-medium_1h_N3_acy-carnitines,Veh-medium_1h_N4_acy-carnitines,Veh-medium_1h_N5_acy-carnitines,Veh-medium_1h_N6_acy-carnitines,Veh-medium_1h_N7_acy-carnitines,Veh-medium_24h_N2_acy-carnitines,Veh-medium_24h_N3_acy-carnitines,Veh-medium_24h_N4_acy-carnitines,Veh-medium_24h_N5_acy-carnitines,Veh-medium_24h_N6_acy-carnitines,Veh-medium_24h_N7_acy-carnitines,control_medium_acy-carnitines
Lipid name,MRM,Ab-medium_12h_N1_PCandSM,Ab-medium_12h_N2_PCandSM,Ab-medium_12h_N3_PCandSM,Ab-medium_12h_N4_PCandSM,Ab-medium_12h_N5_PCandSM,Ab-medium_12h_N6_PCandSM,Ab-medium_1h_N3_PCandSM,Ab-medium_1h_N4_PCandSM,Ab-medium_1h_N5_PCandSM,Ab-medium_1h_N6_PCandSM,Ab-medium_1h_N7_PCandSM,Ab-medium_24h_N2_PCandSM,Ab-medium_24h_N3_PCandSM,Ab-medium_24h_N4_PCandSM,Ab-medium_24h_N5_PCandSM,Ab-medium_24h_N6_PCandSM,Ab-medium_24h_N7_PCandSM,Blank_PCandSM,Veh-medium_12h_N1_PCandSM,Veh-medium_12h_N2_PCandSM,Veh-medium_12h_N3_PCandSM,Veh-medium_12h_N4_PCandSM,Veh-medium_12h_N5_PCandSM,Veh-medium_12h_N6_PCandSM,Veh-medium_1h_N3_PCandSM,Veh-medium_1h_N4_PCandSM,Veh-medium_1h_N5_PCandSM,Veh-medium_1h_N6_PCandSM,Veh-medium_1h_N7_PCandSM,Veh-medium_24h_N2_PCandSM,Veh-medium_24h_N3_PCandSM,Veh-medium_24h_N4_PCandSM,Veh-medium_24h_N5_PCandSM,Veh-medium_24h_N6_PCandSM,Veh-medium_24h_N7_PCandSM,control_medium_PCandSM
PC (52:4),1006.8 -> 184.1,1596.180103,1508.900112,1957.840145,1566.640114,1737.780121,1749.060108,1650.360111,1722.400105,1928.040138,1817.540127,1749.02013,1564.380119,1812.940117,1499.100101,1626.280106,1975.680138,1704.840122,1315.340096,1908.100155,1628.900112,1548.340111,1654.940128,1705.96011,1763.280113,1927.820129,1585.760128,1676.440113,1615.680122,1622.540115,1790.660118,1496.880112,1521.340103,1538.920116,1559.440113,1642.000099,1622.20013
PC (52:0),1014.9 -> 184.1,1487.840107,1461.560097,1459.900093,1467.660118,1824.18013,1558.900101,1462.980099,1451.840107,1627.180119,1496.3801,1447.720104,1494.040108,1374.58009,1464.300095,1486.940098,1470.160099,1494.36013,1279.960087,1404.380104,1564.2201,1453.120117,1536.700104,1477.420113,1609.200119,1526.840103,1324.020088,1347.62009,1501.040127,1470.820103,1528.480103,1447.700108,1602.700108,1555.640102,1662.920124,1526.8801,1484.920113
SM (d18:1/12:0),647.5 -> 184.1,2776.620216,2653.180141,2607.680195,2240.040173,2612.080196,2647.760197,3094.78022,2683.340179,2843.380203,2790.060173,2578.260201,2390.580143,2402.700169,2678.080196,2324.960175,3280.560226,1934.480148,1383.260098,2977.040218,2731.600204,2524.360203,2550.320164,2824.86021,2784.440193,2803.280182,2402.520161,2712.260185,3910.700268,3223.540199,2260.020157,2800.920216,2227.700165,2895.900188,2635.200169,2268.980167,2307.560165
SM (d18:0/12:0),649.5 -> 184.1,2373.220165,2197.900166,2627.620197,2397.480183,3086.560223,2210.640163,2144.060162,2423.680157,2662.280212,3014.280212,2950.300217,2375.800167,2741.640224,2689.82019,2805.300198,3229.400211,2384.680172,1622.900112,2707.020172,2832.880192,2484.120182,2076.660141,2764.720215,2404.040192,2483.680176,1742.560123,2611.000191,2852.660187,2623.300182,2923.420223,2445.360157,2296.320156,2849.400219,2703.240192,2089.240162,1933.900124
SM (d18:2/14:0),673.5 -> 184.1,4040.180264,3758.800282,4406.800308,4828.760376,4042.640301,3428.700214,5982.920429,4884.700367,5636.240387,5187.760319,5389.940437,3700.880257,3579.700226,3924.740314,4296.280277,4009.800266,2979.180237,1455.44009,4558.760284,5750.360405,3617.760269,3993.780281,5149.140331,4868.240337,5618.080341,4948.980362,4614.200317,5748.34042,5080.540379,3473.920227,3404.720249,3644.88026,4277.640327,4006.480251,3737.720215,4127.74033
SM (d18:1/14:0),675.5 -> 184.1,36867.38259,30111.38216,45925.10265,45659.04337,45911.36363,31198.12233,49079.08316,40540.00282,50423.04308,51305.5234,46291.18299,33858.30266,29193.32216,36506.84283,45328.30358,47006.56281,27986.98183,4204.060318,44781.32278,46892.16317,35294.96259,42584.32295,42906.08294,40229.26242,45034.48339,36891.80247,34132.44238,49348.36388,38279.18293,37162.94305,35660.42236,33985.02225,41512.04306,48857.44273,34580.34196,31801.38234
SM (d18:0/14:0),677.6 -> 184.1,7631.560486,7567.800453,9988.960735,8708.760628,10428.96083,7273.560452,9995.180725,8907.200645,10551.70078,10512.94069,9796.600719,8415.660652,7226.080509,8052.44059,10112.08069,10910.90076,7686.080612,1899.140129,8407.680473,9656.600746,8085.080662,8776.600712,9443.00058,7962.820633,7433.480545,6733.460407,7464.640537,10289.60087,8018.340519,9341.080585,7799.360508,8276.820621,8801.96059,10768.94066,7196.680489,6173.760445
SM (d16:1/18:1),701.6 -> 184.1,105161.8074,91029.50838,142059.8503,137507.9891,147433.951,88432.88753,145414.3109,121845.8088,149768.4708,152422.7514,147738.1309,107370.2874,82168.90599,120098.7883,133594.8899,161625.2928,85321.48657,7750.780533,130032.4085,138510.6107,107737.5672,126395.3503,137263.4698,122695.9098,119286.1091,110209.8876,108860.3066,150827.4094,108852.3871,116022.2477,117906.7686,105486.6276,136588.9303,158913.3327,98340.68793,95295.04685
PC (30:2),702.5 -> 184.1,45900.70345,35658.00253,56021.28377,53552.60439,59503.12399,38655.46319,59960.90424,50288.92319,61409.84385,60626.62465,58124.28435,42705.84229,37072.32285,48137.42296,50854.18344,63420.48383,34751.04265,3630.80027,52908.14457,57669.80493,46549.10307,51720.00331,55172.84414,51510.38351,51326.30364,44662.60326,42680.46272,57776.36407,44988.16301,50367.68395,45275.38305,43220.56298,50648.90343,64052.04385,43062.32335,40637.46244
SM (d18:1/16:0),703.6 -> 184.1,885363.8018,736799.6448,1237231.021,1161807.15,1284365.609,769754.6145,1211069.146,1016333.117,1193319.344,1268865.622,1176649.161,992752.3169,819136.2739,981291.1036,1258659.974,1432115.875,744371.3354,73473.806,1105739.787,1205641.772,927116.4316,1124470.621,1101840.386,1057919.918,1051197.558,930245.2959,831260.001,1218661.039,956235.5664,1089573.456,1014152.296,956190.5253,1121551.457,1436364.726,955917.2485,765003.5791
PC (30:1),704.5 -> 184.1,298146.5612,252755.4032,416123.5283,395100.0908,428807.3076,257785.9376,408345.5317,348201.6691,406889.3458,430016.4885,406923.0454,325421.3012,262752.5569,334841.782,428088.4469,496275.895,253714.997,24192.88176,380145.323,415807.2925,300715.7396,370192.4647,368061.9244,351174.1885,366831.2829,305993.6019,288763.6602,409300.8908,301858.6805,363756.8691,334166.804,320871.2637,385746.5103,496178.7723,322434.3834,261150.7786
SM (d18:0/16:0),705.6 -> 184.1,116825.0288,99022.18819,154832.9119,151036.2515,171343.9121,97044.80714,158379.5907,127092.1493,153037.7515,157741.4322,157267.374,126784.1082,101919.0074,127366.8294,164191.6112,188425.1327,94434.94709,11424.84096,141034.4699,151107.0091,122906.7696,145060.4313,140623.9096,138726.5299,131352.9295,112479.4886,104375.508,156201.27,124036.5872,144215.1705,128128.2489,124764.929,147763.751,181142.3719,124030.849,97270.18674
PC (30:0),706.5 -> 184.1,47518.36297,43979.10317,67879.70526,68727.36426,71774.96536,41815.74264,64351.54472,52287.18385,59681.78423,65747.92558,60252.14349,53545.90434,43589.20378,56823.62377,70473.66508,83698.92534,44300.88258,6065.100365,56467.1639,67730.06436,48733.90367,58577.68412,61254.36483,55570.50401,54234.18397,48633.50357,46360.46324,67988.00539,48567.04392,57853.6041,54413.5639,50719.8634,62993.26373,83381.7858,49819.00377,39321.00298
PCo(32:3),714.5 -> 184.1,2771.160202,2435.40015,3314.920235,3259.940235,3697.440269,2298.64016,2701.320198,2394.360172,3291.040215,3185.160225,2440.720196,2517.000183,2358.620163,3127.860237,2995.220238,3110.660202,2072.040146,1662.920113,2910.060207,3733.980251,2686.26022,3154.660233,3211.480259,2737.580208,2867.520203,2371.400173,2387.980183,3081.600204,2575.860184,2788.180206,2729.800175,2459.240158,3327.420246,3174.720238,2610.560184,2173.860138
PCo(32:2),716.6 -> 184.1,8409.360573,8167.020618,12107.02065,11646.12091,10983.10073,8070.320507,10715.82067,8390.080711,10253.70078,10328.16076,11098.68087,9319.180626,6559.800446,8391.120628,11597.62091,13333.48093,7753.000557,1585.760105,9738.840763,10363.06069,7805.300518,8295.160637,11356.3008,9560.040646,9728.380669,8372.480663,8121.180592,10622.44082,8376.260635,9332.46067,9069.820564,9677.400661,11056.84079,12620.92083,7615.140469,8327.800537
PCo(32:1),718.6 -> 184.1,31585.80222,31319.74235,45853.98345,45140.0437,45168.30346,27110.82195,42955.80308,37387.50266,40816.18261,42614.4629,41688.94279,35130.68235,29332.88176,34694.56274,47274.66342,54912.44414,28382.62169,4366.500328,43235.68255,46897.48285,34328.72222,38530.18259,42039.24365,36731.88287,35634.02269,34414.06234,31234.94229,44463.40297,33161.44183,40634.62253,37299.26265,35655.74271,41780.58329,52724.50395,34119.6425,29303.02219
PCo(32:0),720.6 -> 184.1,25270.46183,23675.34172,35238.66203,37116.60267,38703.90282,23162.20183,31996.96246,29244.84223,33486.56194,36011.52264,34772.94247,30027.48188,22976.98164,30760.90235,38479.9032,46934.12346,22000.8016,4633.240334,31470.68242,35706.56219,27785.10181,32246.26244,36436.04259,31070.5621,30713.62222,26977.88184,26455.18223,37251.26242,28183.34184,31514.02236,30064.74235,26762.0418,33077.32211,44760.60297,27971.76168,22259.06165
PC (32:5),724.5 -> 184.1,7150.920528,4664.160309,8476.740585,7747.560455,4925.120327,5471.220375,5220.400349,5260.840366,6096.08046,5550.000416,4261.18034,7252.760551,8259.320549,8383.080593,5303.840397,5376.060371,5919.1604,1454.760105,7128.660484,7520.18045,6901.060467,7432.860535,5372.680374,4722.640343,6030.260433,5291.120426,4635.360336,4470.220341,4677.000332,6822.760487,7568.200451,6628.160435,4428.760326,5662.540302,5336.640408,3468.080254
PC (32:4),726.5 -> 184.1,2050.460133,2247.040146,2265.680164,2241.640163,2265.920139,2335.060158,2404.48019,1949.960148,2066.980129,2092.080143,2259.600166,2085.560135,2277.680157,2362.840172,2067.520164,2131.160149,2275.38018,1506.580109,2598.520195,2025.480129,1765.440136,2194.920166,2071.740162,2020.860161,2055.820148,1929.400139,2285.500149,2268.100155,1982.600136,2252.360184,2242.440155,2315.420151,1990.440159,1853.700134,1822.860134,1796.260124
SM (d18:2/18:1),727.6 -> 184.1,3097.500221,2678.740181,3731.640285,3231.080242,3291.480244,3030.740196,2954.720219,2747.620213,3871.620258,3444.880264,3033.940197,2913.040199,2855.700218,3586.760277,3034.760193,3601.800301,2635.680187,1574.340111,3410.820206,3150.820206,3044.300205,3127.840221,2694.940216,2875.18018,3027.820198,3079.700188,2590.780197,2917.760181,3189.040249,2506.140156,2850.100204,2672.880211,3083.660183,3486.600266,3117.100224,2231.780159
PC (32:3),728.5 -> 184.1,3405.080238,2501.220177,3965.960281,3547.960262,3160.360203,3080.24025,3075.060265,3279.480244,3122.300224,3618.280296,3362.200226,3255.160206,2068.280151,3487.320232,3117.620197,3832.620308,2658.200169,1515.440102,3136.44022,3635.660248,3288.540253,2797.260201,3405.48024,3231.060211,3184.720226,2786.880199,2710.580235,3427.260269,3132.160233,3162.240227,2976.740231,2771.340179,3700.620251,3984.820286,2902.040199,2897.880203
SM (d18:1/18:1)9Z)),729.6 -> 184.1,51324.283,48044.42358,74288.58516,70136.50493,79507.06531,47028.78316,73270.24531,61592.66383,70352.02425,76869.98503,71757.04514,59396.94416,45150.04359,60254.48425,76654.68718,95071.58649,47698.76305,5324.720394,65584.16424,75117.6254,57156.74448,66134.98373,72517.04527,66408.865,59361.96442,54187.46331,53395.58412,72517.30482,59813.52438,65518.24461,60801.48395,58351.48392,69938.165,88215.28702,55483.16447,50602.8633
PC (32:2),730.5 -> 184.1,26418.62231,23307.86179,36715.70267,34905.18289,38017.10279,23720.52178,33502.38221,31012.16226,37642.84294,33455.32245,34578.64217,27416.00217,21703.50152,30058.74186,38369.74268,40482.72325,21702.16161,3583.380257,32370.40226,34352.74265,25915.56187,32886.08241,32425.62234,32913.00202,29708.3419,26960.86218,27450.12206,34748.14238,28451.66195,33876.28233,29594.18227,30551.5223,34446.58236,44481.34306,28675.90187,22773.70174
SM (d18:1/18:0),731.6 -> 184.1,147953.1904,125349.6873,201337.1358,194575.635,216928.2151,135262.2298,201167.7137,166375.3918,196266.6716,216830.1165,205739.9969,163258.6705,135859.2901,153852.5129,212355.2349,259670.217,127930.6292,15249.26096,186796.2516,194695.6152,155398.8901,188457.435,182807.1106,182599.5115,176889.7341,153973.9702,147044.2909,206996.5744,155014.1504,184498.3927,173333.7314,158231.7523,190718.9143,244138.6942,163598.071,129871.1098
PC (32:1),732.6 -> 184.1,118620.2681,104712.3466,166556.7734,180436.3341,181186.8729,102185.4088,156613.8891,136263.4305,156817.4106,174321.5114,165509.4508,129087.8095,103579.6858,140403.2096,178360.1924,213111.917,109871.968,11752.90082,149618.7713,165891.3522,128993.6691,151116.5499,157555.2915,139195.8701,132802.0896,123656.7083,117981.8279,166875.6939,124431.83,142887.1102,132638.2305,138356.7695,159711.1899,215514.7145,122784.2696,109994.3269
SM (d18:0/18:0),733.6 -> 184.1,46537.16338,41957.12257,65854.90484,65207.68488,67406.28453,38857.10248,59276.22421,48131.34313,56582.72478,60818.28443,62235.30423,48484.40295,37970.36238,51961.64363,62296.22368,75807.80547,37415.4223,5672.600349,54153.92392,62956.2645,46878.98383,53301.16404,60673.48476,51956.02371,51022.9436,44454.52316,41280.72278,59076.50442,50438.90438,53661.2639,49708.94322,49703.3439,56207.14484,81952.28607,45733.88303,42734.86337
PC (32:0),734.6 -> 184.1,132845.4083,123384.5276,197837.8332,204958.3748,211348.1754,118055.9492,174170.9507,158097.6109,185892.2726,195094.1739,185321.5924,145859.3287,122076.7289,158635.5329,215248.9358,240237.957,126391.8081,13310.04095,161124.4317,194151.3934,142129.9306,168892.2306,181700.6931,163930.1326,150398.2492,138847.4298,133532.8699,191171.8946,143076.2108,162541.071,146865.1306,158286.7922,185914.6543,239911.3971,145655.4107,126200.4084
PCp(32:4),738.5 -> 184.1,70464.52458,59995.24417,106348.108,94716.84767,127589.1482,68417.26456,84346.30511,76627.66632,89439.86624,101105.2269,99621.54697,73683.16515,84024.1654,110304.4884,105754.6484,122472.1288,75393.92497,5420.420383,72737.66508,90683.94608,86158.40515,89813.30605,102081.827,83815.02618,86169.54515,70225.26453,68543.78508,103937.3662,73525.94524,86189.94595,95480.2478,87269.06609,85492.1656,125216.6894,101863.4675,88460.94653
STD_d18:1-18:1(d9) SM,738.64 -> 184.1,95066.92577,82842.54525,141467.2896,130733.0885,166972.3123,94117.98796,115973.8889,104766.8874,124019.2682,138914.8484,118981.068,100908.2664,117508.8471,147626.9687,148054.4698,173108.0316,108923.2462,6044.500439,101197.0084,123176.2692,113264.3076,123736.3097,136512.1492,113486.9479,113097.928,98982.24718,94128.56685,136840.7885,102079.1667,110271.4677,125368.0681,116214.5482,120145.9889,166330.6925,142688.0305,121637.4489
PCo(34:4),740.6 -> 184.1,8366.480625,7235.720547,10153.84068,11584.92084,12836.40081,9107.160591,9796.180527,8154.340603,9635.380608,10353.7007,11057.10077,9274.780651,9552.260708,11548.92086,12369.18083,13569.74093,9381.100731,1920.660141,9230.560608,10859.44077,9004.280693,10221.70063,10347.28076,9527.920643,10150.78065,8513.380592,8592.240486,11432.76083,9729.840698,10801.04073,9877.180599,10255.02058,9284.420586,13242.40106,12226.44076,9912.740734
PCo(34:3),742.6 -> 184.1,5112.480373,4535.220318,6797.260529,7146.860443,7209.040512,4377.520302,5222.040333,5146.340389,6416.800461,5736.500412,6616.060421,5325.640388,4210.500298,5242.600342,6083.64045,7563.620529,4418.620304,1448.020107,6054.480396,6393.040436,6215.50045,5474.480408,6196.100395,4708.020271,4531.540321,4535.720333,5427.860329,6493.080482,5845.680462,5082.780376,4564.760342,5083.420368,6385.860481,7019.940514,4580.880329,4500.340332
PCo(34:2),744.6 -> 184.1,35809.1627,33619.80222,45440.98401,47677.66343,47407.68371,25448.88181,39851.58225,35687.06256,41077.46319,43610.70316,41129.16269,32757.402,25923.9219,37274.24254,46121.56277,53316.36444,27616.14181,2714.28019,34711.32246,43094.2433,32059.20194,36570.78254,45572.64317,38663.22292,34283.68226,29833.08207,31654.76234,41251.96242,29417.82204,36070.60223,37247.4828,35217.64255,41704.3434,47501.54327,30156.38235,30002.10184
PCo(34:1),746.6 -> 184.1,70598.66515,67857.84516,102356.0274,106801.2885,111699.1287,59892.18495,94655.60768,77891.94534,90427.2861,101344.3472,98875.48694,77759.0652,61033.26404,81947.78541,109465.948,123605.3295,64958.26477,5370.32037,79497.64525,98163.60649,75711.62457,80604.52602,96317.047,83716.10582,74204.24477,64760.6446,70587.6848,91670.70662,70829.26588,87216.7262,79388.48569,76428.72532,96268.28682,123070.3884,72303.90431,65595.54414
PCo(34:0),748.6 -> 184.1,19073.58131,18834.18115,27036.02205,28197.3018,30839.64219,18737.04155,28322.80231,23182.78131,26982.08206,27963.28207,26939.94166,19771.66121,17466.6212,24625.86166,31224.86189,32201.82239,18510.62096,3175.960247,24097.6416,27986.14216,20067.30151,23512.26175,24812.16177,22596.08148,21840.64154,19486.66125,20306.48128,26812.08182,20336.70153,23539.44172,21918.18165,20841.56159,24951.26187,35267.52254,19701.18134,18626.82114
PC (34:6),750.5 -> 184.1,4480.000298,4728.560356,6076.200424,5737.780369,7391.8605,4213.480309,4638.800323,4560.900349,4973.700348,6721.040459,5932.240425,4753.620335,4227.240288,4884.220337,5905.220413,6921.000477,4581.160358,1583.380104,4495.92025,6591.500458,4493.900337,5025.180359,5621.420403,4897.520355,4042.600285,4213.440296,4438.960255,5550.980358,4254.660309,5817.040421,4992.660374,4460.220314,6142.320465,5935.580364,4928.480347,3635.820259
PC (34:5),752.5 -> 184.1,7614.080517,5824.120361,9608.880634,8375.920628,10878.48085,8000.780499,8712.000633,7636.120548,9348.940701,8915.560524,8820.620594,8476.660583,9106.400684,8165.680641,10127.3008,10946.86074,8123.34053,1649.100124,8004.740623,8828.340588,7808.220482,7949.920544,10340.82073,8056.680611,8019.840477,8170.900581,7031.520454,9090.18071,7864.460636,7351.540516,7516.520435,7965.060616,8425.940533,11351.90085,9555.720695,8116.820503
STD_15:0-18:1(d7) PC,754.11 -> 184.1,24248.94174,20870.84145,32219.64197,31531.7822,37697.9824,26238.34177,28002.44221,26356.02197,29798.96228,32237.98257,31242.02266,24812.24194,27748.08216,34112.32249,31903.02211,36563.38258,25180.26184,2131.040157,26810.52195,27206.50196,27974.38185,27702.94207,33196.62265,27261.70206,26883.62206,24097.36137,24843.86176,32263.94257,27135.02187,24501.7019,30420.80223,30192.38206,27895.02192,38224.58295,34345.66255,29663.54197
PC (34:4),754.5 -> 184.1,25892.32139,21738.40156,34142.22227,30100.70206,34000.90248,27443.20185,26563.24225,28039.30217,30387.74235,31831.48229,30605.28199,24007.50157,28185.18183,33966.9822,34880.72224,37652.00273,26232.80203,2147.860153,26473.74187,28844.16232,25495.24172,30388.74239,31211.38219,25258.02174,28739.5619,23562.92175,24937.90173,32502.02224,24838.12191,24593.20178,28928.82227,29487.64231,27944.0019,37165.44241,33527.90197,27769.78208
SM (d18:2/20:1),755.6 -> 184.1,9185.320663,7064.200577,10073.02065,10583.90082,11257.80091,9265.04068,10043.40076,8352.000561,11077.10078,10904.06075,10161.58075,9004.420624,9407.56068,10917.06076,11326.1008,11786.74087,8734.42065,1487.620106,9055.140591,9777.700748,9517.020634,9204.880615,11245.2608,10356.74087,8887.060616,7957.5406,7975.500595,11069.24067,9140.16066,8510.620564,10581.50072,8930.300503,9714.300644,11941.28075,9797.340649,8606.860573
PC (34:3),756.6 -> 184.1,8752.000622,7963.780605,12176.28082,11419.90088,11824.22093,7002.440514,10135.38066,8992.940575,10695.16082,10679.64071,10651.86075,7928.160515,8330.540562,8998.640526,11585.90084,12134.34099,7451.920563,1570.180103,9303.54068,11387.72076,8823.660686,9164.540714,11722.52083,9355.040741,9254.640682,8309.880543,8483.440613,10986.36077,8843.480621,9701.420731,9517.940605,8885.800659,10790.40076,13104.12101,8944.380692,7486.860588
SM (d16:1/22:1),757.6 -> 184.1,20393.58143,15737.84103,26047.02171,26050.26173,28012.14215,17003.54114,24632.14165,21401.18133,27863.04202,25337.62192,25486.46176,21251.90124,16592.86116,22008.82161,27944.2818,29314.12206,17629.68123,2773.940247,21841.00145,23720.08191,17797.96128,22164.88155,24396.26136,23442.3618,21160.44132,20476.28164,18484.32122,23484.7618,20055.60181,23024.32146,20829.88152,20155.28119,23746.26191,33103.0225,19428.18115,17172.28111
PC (34:2),758.6 -> 184.1,92568.86635,86559.28563,136555.2103,129331.1289,144936.8294,77805.9455,109132.5274,97054.16595,114725.9685,124077.2096,121209.7692,90519.32716,74050.98502,109140.3885,135832.5888,155783.7308,81457.80534,5052.520378,106746.7478,122896.9886,97256.84767,109582.4883,119257.8882,100078.0467,91437.10723,84419.1658,89884.32661,120237.769,89931.28588,108503.4065,96966.0265,96958.52756,120569.5876,154666.312,80643.34598,85470.30507
SM (d18:1/20:0),759.6 -> 184.1,94333.88808,84992.68634,129250.529,129703.2498,144639.3099,78283.26547,118654.6681,99437.98653,118050.2685,124949.5895,126056.4889,96528.12753,77923.48531,105985.6878,135543.5482,161637.5101,80314.94559,7768.860558,112234.608,122034.9091,93766.96744,107198.7066,121992.7884,108425.6677,99671.82739,90247.96514,94558.16711,126654.0279,95611.40622,114262.9293,103746.1068,98896.72726,124565.0487,159131.9923,95765.78677,84942.10548
PC (34:1),760.6 -> 184.1,699051.7107,671576.8112,1056428.309,1060737.998,1139862.04,600816.539,897416.0652,783311.3087,926904.1007,1006576.376,980486.0682,739689.3724,581641.9799,840157.1398,1069916.928,1281044.684,628748.4872,37059.8427,817411.535,955810.6957,736898.0128,830168.0149,978986.7795,824112.3176,711088.4735,669817.6483,698774.1138,953059.5137,696172.2681,835760.8658,787687.6793,787909.2164,949028.8014,1254982.968,701543.1855,642505.8148
SM (d18:0/20:0),761.6 -> 184.1,274448.3793,265882.7808,421486.4842,411497.888,452526.9868,230779.1575,347524.1859,305401.6796,364512.2396,396627.7696,386868.1078,297680.5999,235863.3952,328843.3268,424737.5709,514535.276,244040.5781,15156.30092,318255.3818,385971.2887,294358.1018,333835.2229,386361.0054,316564.8197,280497.0184,263297.0173,274962.5997,372221.5433,276430.2176,328908.3422,300220.6414,314462.3826,377335.6898,483009.3938,276698.2392,257930.8961
PC (34:0),762.6 -> 184.1,99767.26755,95754.08621,148094.0699,152156.2085,155178.2712,86249.58517,124623.6078,112628.0887,131417.9891,144844.1113,138543.8096,109382.406,86063.30652,115503.2494,155122.4502,185751.9514,89375.92584,7850.040604,120309.6293,142632.9689,106419.0672,119726.3075,136704.1296,114319.3489,107266.8271,98381.56683,103916.6868,139694.5506,99800.78693,120297.1492,108422.9686,111168.4879,138025.6088,181372.9114,102380.6674,89483.44531
PCp(36:5),764.6 -> 184.1,8517.800564,8124.480549,11598.94078,9908.200623,11768.98088,7584.06049,9173.160641,9772.940788,10213.32077,10808.14071,10093.34071,8947.800678,6517.8004,8956.820587,12194.22093,12444.00095,6954.000477,1651.000111,8108.900539,10476.38078,8355.860626,10936.68088,10141.34061,10005.48076,8164.580555,8249.840591,7695.18055,10228.1207,8514.780601,8598.300568,8445.620567,8020.940609,10636.44079,13022.14083,8811.120636,7668.960564
PCo(36:5),766.6 -> 184.1,12348.80075,10778.88068,16834.26114,16463.8812,17315.04123,11694.7808,13633.561,13355.40094,13567.68102,15353.76109,14531.08112,12567.20094,10141.68072,12647.80098,16924.16106,18900.18147,11357.08098,1637.620117,13612.10101,16585.36116,12115.08097,14322.22104,16559.98116,12784.1808,11423.96091,12388.82088,12309.88084,13966.00098,11951.52073,13151.32078,13131.74083,13098.50084,15732.40126,17074.42098,10501.90069,10726.66081
PCo(36:4),768.6 -> 184.1,13767.82099,11336.98084,16321.26109,16515.36086,16516.56118,15712.58154,15750.12115,13428.58106,18002.72137,16029.78099,14886.04092,13820.10103,12255.66098,15322.02118,16869.86145,20398.86156,11725.32086,1621.580116,14958.76114,16632.76122,12858.50107,14663.32116,15008.32103,14657.64106,11852.16091,13989.82093,11877.12085,15711.00118,12932.90102,14221.9411,14870.00111,13221.36097,17697.32127,17583.26132,15206.28122,10989.06075
PCo(36:3),770.6 -> 184.1,11510.00079,10869.34063,15693.40108,15572.741,15441.80119,9621.060711,12383.52085,10488.76073,12343.16084,13548.56097,12560.30079,11260.00078,8565.240677,13293.20085,15175.02111,17257.06112,8679.820606,1653.080116,12049.82083,13509.14093,11339.28077,11317.20074,13869.52111,11135.38091,9706.380692,10157.74078,10273.36061,13821.22089,9864.100681,12523.24102,12062.12099,11408.3609,12733.20086,16451.20128,10515.96066,9315.880554
PCo(36:2),772.6 -> 184.1,23570.86174,22426.42168,33824.34206,33276.4223,35807.28236,19791.62131,26731.56196,26772.68164,27820.82201,31213.38211,29422.36213,23762.30162,18300.06104,26509.582,34924.92207,38120.28268,19877.82151,2889.940186,26261.86189,29107.60225,24570.28178,26194.14163,30392.50184,25247.94175,23084.96157,21138.96159,22056.28174,28562.38207,22034.00179,26353.68169,25630.14171,22683.70144,28350.9221,36141.86226,21118.78164,20897.94167
PC (36:8),774.5 -> 184.1,55208.10417,50830.66308,77234.26524,76379.38583,82101.28603,45797.76371,72003.52561,59583.00484,71045.72426,77051.605,64254.96493,59065.52438,47391.94296,59399.54379,84606.54557,95748.52707,48310.48336,4818.480331,65240.44426,70453.94553,57384.88386,63784.24445,72646.1461,63205.42466,56492.70384,52004.54361,56708.36366,69978.0059,57406.20386,65332.7252,58740.02388,59188.98425,73097.50429,95975.08749,55376.34433,53194.24412
PCo(36:1),774.6 -> 184.1,61258.18436,57329.20336,86288.38562,85234.40667,95728.72652,50273.12427,76940.04532,64205.90392,76151.34494,86591.84601,74955.56509,64178.92467,51827.88402,70976.5051,88235.44594,107203.0683,51275.40367,6320.740437,68922.12528,83846.96541,61300.40446,69735.50513,82706.66604,69390.6848,63137.00465,59711.46427,60940.784,77311.525,61025.70408,72130.96565,62531.32424,64301.38411,80434.82639,112950.2069,57423.54368,54585.34383
