,lipid,Transition,type,Blank,veh_N1,Abe_N1,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
1,(11Z)-eicoseneoylcarnitine,454.4 -> 85.1,acy-carnitines,6120.620483,,,,,156499.1305,136663.8696,129667.2687,149449.3112,67168.44437,61858.28483,76527.0654,65361.0644,61743.96418,56918.08357
2,"(11Z,14Z)-eicosadienoylcarnitine",452.4 -> 85.1,acy-carnitines,4959.000362,,,,,30999.12226,31509.20203,27935.20201,29609.682,32505.82223,32800.0825,33253.56238,29524.80218,33651.08245,29686.92219
3,"(13Z,16Z)-docosadienoylcarnitine",480.4 -> 85.1,acy-carnitines,5582.280357,,,,,20359.26159,20026.80149,18404.04129,18594.84148,19468.20113,19242.58127,21252.06156,18701.36129,20274.02139,17814.38131
4,"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",384.3 -> 85.1,acy-carnitines,6839.920471,,,,,57819.14396,65750.30463,58368.56398,58676.66421,56368.98404,64645.94431,52488.62366,53300.22365,55098.94413,54075.54375
5,"(5Z,8Z)-tetradecadienoylcarnitine",368.3 -> 85.1,acy-carnitines,5240.480354,,,,,23275.96167,23754.24179,20940.70151,22155.86175,21151.46149,23540.96165,21651.72159,22363.56156,21059.80148,19276.48133
6,"(7Z,10Z)-hexadecadienoylcarnitine",396.3 -> 85.1,acy-carnitines,5415.660374,,,,,3038453.072,2929449.611,2638789.564,3092030.445,1069241.595,1063620.759,1317081.572,1067230.198,965090.0676,992407.3523
7,"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",476.4 -> 85.1,acy-carnitines,4688.940319,,,,,22628.10169,24049.92194,21092.2615,19880.46141,22326.04168,23252.94153,24254.18185,23077.60163,23930.54155,20402.68148
8,(9Z)-3-hydroxyoctadecenoylcarnitine,442.3 -> 85.1,acy-carnitines,5315.520355,,,,,105805.8467,99284.32721,93453.92642,103472.2272,52137.8839,51725.6432,58058.68382,50650.58335,49438.20373,44119.82315
9,"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",412.3 -> 85.1,acy-carnitines,5647.160374,,,,,42285.26295,48912.24388,43561.72337,46955.94323,44496.38301,47994.54329,40505.66274,40508.10278,43291.54268,39685.98282
10,"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",438.3 -> 85.1,acy-carnitines,5973.260452,,,,,31509.56207,31120.74231,33119.96257,31660.2423,30555.38235,32560.72214,32913.40192,33293.3218,34424.32265,29559.18215
11,"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",444.4 -> 85.1,acy-carnitines,4853.920338,,,,,27886.7018,26202.58189,26088.36198,25403.24179,26050.20191,27870.56211,28414.56211,28194.04212,26850.86195,24069.22178
12,"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",388.3 -> 85.1,acy-carnitines,5861.500397,,,,,232931.5362,178440.2336,206669.2342,156699.3907,180676.4524,215192.7356,203024.475,147548.291,238157.8377,153754.5296
13,3-hydroxyarachidonoylcarnitine,464.3 -> 85.1,acy-carnitines,4740.300323,,,,,19326.30123,17621.76122,18184.20121,19970.62138,17644.6213,19803.8815,18738.30139,17679.76133,18465.70129,15922.06109
14,"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",472.4 -> 85.1,acy-carnitines,4953.080349,,,,,34536.50251,34811.64249,33098.88228,31017.0821,28780.30214,29401.60221,28193.54199,27940.32177,29634.7421,28011.42205
15,"3-hydroxylinoleoylcarnitine,",440.3 -> 85.1,acy-carnitines,4990.840343,,,,,3114003.342,2978767.311,2727892.487,3198453.66,1010106.368,986539.8936,1225268.085,988886.4254,954764.9525,897410.9802
16,"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",414.3 -> 85.1,acy-carnitines,6445.960468,,,,,34209.06258,42708.72268,35936.34276,35227.84243,35169.0427,42219.98299,36274.62259,38499.96276,30651.40216,35482.0624
17,"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",456.4 -> 85.1,acy-carnitines,5012.820366,,,,,25240.90173,26772.60187,24888.68151,24339.1617,23228.10162,23742.26165,23762.80161,21481.0415,24021.18149,20676.96161
18,cis-5-Tetradecenoylcarnitine,370.3 -> 85.1,acy-carnitines,6828.100494,,,,,52226.46396,65563.68427,48974.24364,52655.88405,56614.84422,60547.72428,53770.80355,61766.86429,53117.26396,53849.56358
19,"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",474.4 -> 85.1,acy-carnitines,4463.700325,,,,,25822.36188,27290.36176,25430.78194,26215.16183,26353.802,26569.44184,27687.80185,28290.12181,29637.62197,26008.24186
20,Hexacosanoyl carnitine,540.5 -> 85.1,acy-carnitines,4200.760277,,,,,28725.58188,28116.78193,28392.08209,28574.70205,27374.24183,27345.9221,26741.76187,26619.20203,28238.98197,24379.12183
21,"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",424.3 -> 85.1,acy-carnitines,5969.420425,,,,,50236.46392,49952.44373,44424.48305,52127.58363,37231.88253,38140.32262,39004.68279,32969.14209,34190.88216,34781.86253
22,O-(11-carboxyundecanoyl)carnitine,374.2 -> 85.1,acy-carnitines,5887.360428,,,,,48355.30346,52516.68362,47612.06342,48620.2833,50447.30376,50293.14382,55238.28365,55955.04427,51913.64371,51931.42368
23,O-(13-carboxytridecanoyl)carnitine,402.3 -> 85.1,acy-carnitines,5543.960426,,,,,28393.60214,28875.74218,26061.38172,28017.38212,28897.28202,28803.46209,28302.30194,29243.342,29324.70197,26849.88182
24,O-(17-carboxyheptadecanoyl)carnitine,458.3 -> 85.1,acy-carnitines,6591.820423,,,,,22011.16169,23734.26152,22044.06176,19873.60132,23248.90168,21532.28142,24057.92163,23897.46175,20517.12142,22154.9016
25,O-arachidonoylcarnitine,448.3 -> 85.1,acy-carnitines,6952.720478,,,,,21379.10144,20201.28146,19234.96138,19597.56144,20118.60136,21193.88162,21200.66137,21584.48151,20810.5614,20086.2615
26,O-behenoylcarnitine,484.4 -> 85.1,acy-carnitines,4787.620319,,,,,2582533.758,2459294.978,2245103.369,2662740.824,695355.9455,676009.8273,852566.5282,683874.7861,637189.566,599711.6839
27,"O-oleoylcarnitine, Elaidic carnitine",426.4 -> 85.1,acy-carnitines,6133.740459,,,,,99301.50735,103150.247,90417.30611,102196.6681,56192.90394,53236.96421,62277.38406,56798.26431,51816.48372,50652.98334
28,"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",398.3 -> 85.1,acy-carnitines,5515.260395,,,,,102170.9478,106321.1268,93570.72672,104944.1666,63762.54461,68146.74497,74323.58489,67361.96484,63246.04446,63598.12479
29,"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",400.3 -> 85.1,acy-carnitines,5227.860405,,,,,29904.44235,31650.84241,28910.92217,28373.2021,30067.00216,33031.88216,34112.8625,31442.40239,29917.00214,28418.72198
30,Stearidonyl carnitine,420.3 -> 85.1,acy-carnitines,7509.140533,,,,,66113.98489,68379.1048,61090.72478,60633.08431,57748.28386,62213.18396,68525.50475,66239.72459,64240.26458,60515.52457
31,"Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",428.4 -> 85.1,acy-carnitines,5934.40041,,,,,32940.08228,34698.26239,31400.54218,31300.08218,27479.48204,29662.742,28285.00219,26622.36192,26798.16184,28858.90196
32,TetradecanoylcarnitineO-tetradecanoylcarnitine,372.3 -> 85.1,acy-carnitines,5195.360352,,,,,27765.56197,28429.78193,28001.40193,27809.08189,29153.70216,30018.60196,30421.72232,28290.64208,25879.14186,24658.96183
33,12:0 Cholesteryl ester,586.5219 -> 369.1,CE,7535.860531,,,,,10214.2007,9347.54068,9876.200661,9208.380665,9367.620644,9599.240654,9625.360664,9763.320724,10081.02068,10150.98072
34,14:0 Cholesteryl ester,614.5532 -> 369.1,CE,3788.540276,,,,,7128.220482,9292.560566,7550.640564,8395.700592,8405.120602,9465.940601,8997.700619,8728.560608,8538.560585,8883.860664
35,14:1 Cholesteryl ester,612.5376 -> 369.1,CE,3599.920265,,,,,5247.600334,5118.30035,5337.62035,5072.100357,4578.020294,4730.040337,5745.140415,5535.120384,5031.900368,5308.420383
36,15:0 Campesteryl ester_simulated,642.6002 -> 369.1,CE,5291.400372,,,,,33655.10237,40230.64284,29625.16186,41158.16293,33501.86255,45063.36302,44800.70308,45809.50322,33592.42253,48622.86328
37,15:0 Cholesteryl ester,628.5689 -> 369.1,CE,4329.180313,,,,,6705.940449,8684.780651,8632.980618,8270.760582,7724.820496,7623.18055,7099.740501,8328.280613,6983.340466,8265.220566
38,15:1 Campesteryl ester_simulated,640.6002 -> 369.1,CE,4791.720337,,,,,35844.58268,42509.583,34506.04222,46043.46301,34866.84244,51606.84339,48366.14358,50174.60348,37102.60262,57250.68416
39,15:1 Cholesteryl ester,626.5532 -> 369.1,CE,4445.060314,,,,,8525.800533,5923.240444,4986.420345,5243.620388,6921.240479,4936.840336,5710.460384,5968.840454,5252.940384,5660.400383
40,16:0 Campesteryl ester,656.6002 -> 369.1,CE,3935.880276,,,,,23548.28166,20687.16157,18463.88115,20039.18151,19181.88133,23911.54177,23723.68184,24322.2617,25367.04173,21867.20152
