,lipid,Transition,type,Blank,veh_N1,Abe_N1,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
41,16:0 Cholesteryl ester,642.5845 -> 369.1,CE,5354.300404,,,,,33841.60226,42670.56291,33854.54247,40189.42288,32941.70232,41909.94292,43914.34314,42902.16319,35423.9424,48925.44348
42,16:1 Cholesteryl ester,640.5689 -> 369.1,CE,4794.02034,,,,,33991.98251,42656.24308,33918.30219,43385.60307,37170.70261,51040.30356,47213.12309,48477.62337,34510.4824,55971.64404
43,16:2 Campesteryl ester,652.5689 -> 369.1,CE,3480.100262,,,,,9515.880661,9179.96064,7874.720589,9054.44067,8359.280605,10058.26071,9273.240665,8317.980618,8864.940632,10083.2207
44,"16:2 Cholesteryl ester, zymosteryl palmitoleate",638.5532 -> 369.1,CE,3482.360252,,,,,7546.680531,7737.360569,7109.800503,7676.30056,7600.700539,8234.780609,9187.140602,8162.460617,7325.560543,8789.060654
45,16:3 Campesteryl ester,650.5532 -> 369.1,CE,3594.020233,,,,,4335.380295,4047.040279,4335.500286,4063.140293,3913.000267,4093.38031,4274.380299,4175.900291,4159.300293,4179.520294
46,16:3 Cholesteryl ester,636.5376 -> 369.1,CE,3422.700241,,,,,4978.560368,5414.760372,5082.660351,5199.940369,6046.020416,6015.520447,5688.840427,5536.420418,5063.560364,5701.640438
47,16:3 Stigmasteryl ester,662.5532 -> 369.1,CE,3318.820236,,,,,8195.700607,8106.240524,7658.08054,8752.420605,7911.280571,9749.580761,9404.460632,9151.960632,8868.760624,9852.660744
48,17:0 Campesteryl ester_simulated,670.6002 -> 369.1,CE,4094.140312,,,,,16316.98117,19151.26126,14259.32088,16346.10112,15019.72116,18235.64124,17797.14132,17680.80128,13948.96112,16765.62115
49,17:0 Cholesteryl ester,656.5845 -> 369.1,CE,4054.4203,,,,,21929.5416,21171.34145,18529.16135,20422.88147,19670.48145,26028.88173,22712.80154,24335.82169,23287.44168,22434.9816
50,17:1 Campesteryl ester_simulated,668.5845 -> 369.1,CE,4946.64035,,,,,89602.90671,118918.9482,81699.54639,118072.3483,87176.42593,134209.0091,125089.7281,131683.2889,89027.26657,148214.1511
51,17:1 Cholesteryl ester; 16:1 Campesteryl ester,654.5845 -> 369.1,CE,8055.36055,,,,,28604.82212,33697.54229,28142.08201,31599.92232,29002.88218,34126.26241,36484.30256,33810.28234,27828.86202,37448.84254
52,18:0 Campesteryl ester,684.6315 -> 369.1,CE,4013.760277,,,,,6402.680443,5888.700409,5680.400387,5472.380367,6187.100407,5936.320408,6405.020454,6267.340424,6040.060413,6068.800442
53,"18:0 Cholesteryl ester, 16:0 Sitosteryl ester",670.6158 -> 369.1,CE,4017.220295,,,,,16780.06119,17916.30122,13994.00104,16880.48129,15075.02103,18943.42126,17206.40124,17489.88125,15181.26107,17885.74123
54,18:1 Campesteryl ester,682.6158 -> 369.1,CE,3707.020252,,,,,6134.740456,6829.14053,6474.200447,6847.500465,6510.920479,8416.960579,6861.720497,7601.640533,6866.460476,7391.020542
55,"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",668.6002 -> 369.1,CE,5071.400368,,,,,91329.06624,121248.6086,84046.12605,117677.0288,86152.84657,131942.9893,127843.6492,130410.1695,91725.80655,146665.3708
56,"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",666.5845 -> 369.1,CE,4674.240337,,,,,97893.60712,130977.2288,91158.38699,131964.0491,97521.7477,149450.8701,139990.7292,147416.1705,93550.7867,167473.7128
57,18:3 Campesteryl ester,678.5845 -> 369.1,CE,3410.380241,,,,,5827.060417,5273.400352,5799.440407,4991.760368,6019.800411,6176.200439,6228.080425,5828.980415,6039.300449,5778.380413
58,"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",664.5689 -> 369.1,CE,3657.100243,,,,,24019.82174,31294.82243,22626.06159,28722.50203,23793.90169,33079.50234,31239.68214,33301.42242,22747.62165,37163.96265
59,19:0 Campesteryl ester_simulated,698.6315 -> 369.1,CE,3746.020267,,,,,10753.12077,9427.600697,9802.940708,11084.78077,11405.50084,10996.42074,10805.28076,10590.04074,11769.10086,12721.56098
60,"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",684.6471 -> 369.1,CE,3868.360275,,,,,5360.520378,6049.780407,5549.940384,5496.760365,5557.720394,5899.900448,6210.360447,6176.660431,5471.080391,5417.820366
61,20:0 Campesteryl ester,712.6628 -> 369.1,CE,3578.880238,,,,,6190.700455,5542.580379,5523.000416,5500.080399,5639.280426,5414.580379,6051.800411,5899.460423,6209.14045,6293.040462
62,"20:0 Cholesteryl ester, 18:0 Sitosteryl ester",698.6471 -> 369.1,CE,4003.500278,,,,,9550.600677,9981.200737,9938.360725,12307.96076,10875.4408,11076.7608,11980.1008,11232.00082,11190.0208,12406.52094
63,20:1 Campesteryl ester,710.6471 -> 369.1,CE,3592.400272,,,,,5002.680374,5557.580402,5098.200329,4648.740349,4792.320351,5215.840366,4857.180344,4596.580311,4969.180359,5006.38036
64,"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",696.6315 -> 369.1,CE,3552.840252,,,,,7676.560539,7490.400555,6308.060421,6809.140499,7976.12056,8251.760555,8349.840618,8331.240574,7657.940517,7507.700497
65,"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",694.6158 -> 369.1,CE,3784.420261,,,,,7320.70055,7333.480495,6485.660435,6487.620453,6637.920456,6605.700478,7834.760559,7166.520538,6079.720436,7498.06052
66,20:3 Campesteryl ester,706.6158 -> 369.1,CE,4410.200329,,,,,11200.3008,8600.000526,6374.000439,6973.920528,6665.180443,10347.36074,7228.380512,7631.280552,6887.060493,8867.080605
67,"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",692.6002 -> 369.1,CE,3588.280247,,,,,21977.56164,29895.16188,19897.94149,28121.90194,23931.40163,32594.36227,28962.422,30200.86219,18938.28133,32805.42216
68,"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",690.5845 -> 369.1,CE,4706.500328,,,,,129193.3491,182148.7332,132734.6498,175506.4927,135436.9692,204206.6753,190467.5135,196288.6142,127499.9082,226510.916
69,20:5 Cholesteryl ester,688.5689 -> 369.1,CE,3792.240273,,,,,45528.84332,59970.12421,48855.90332,55622.86406,45740.38338,64742.58456,60122.16407,64858.86448,43213.4031,69085.86517
70,22:0 Campesteryl ester,740.6941 -> 369.1,CE,3492.360237,,,,,5319.940407,5346.26038,5117.020363,4529.680313,5142.360367,4834.200329,4668.30035,5090.720367,5490.700378,4923.760349
71,"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",726.6784 -> 369.1,CE,4074.32029,,,,,7898.200546,7188.880573,7073.720497,8437.340534,8559.36063,8175.320606,6965.100479,9111.460629,8402.300541,8553.960545
72,22:0 Sitosteryl ester,754.7097 -> 369.1,CE,4019.580276,,,,,8220.520542,7724.42054,9112.380615,7354.680508,7857.120583,8674.860619,7681.100578,7428.400547,8895.100597,7246.780495
73,22:1 Campesteryl ester,738.6784 -> 369.1,CE,3471.680256,,,,,12574.96079,9035.780666,9717.220711,8348.400589,9006.840611,9919.360744,7968.920574,8045.920597,10054.30069,8121.900547
74,"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",724.6628 -> 369.1,CE,3619.44025,,,,,7418.200527,7306.40057,5997.080414,6528.680473,6168.500427,7428.700535,6778.500481,6917.400475,6112.420452,6819.980457
75,"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",750.6784 -> 369.1,CE,3420.900246,,,,,4133.320297,4108.080318,4139.520287,4341.580296,4217.520283,4622.680336,4340.4603,4455.740311,4091.760281,4222.640297
76,22:2 Campesteryl ester,736.6628 -> 369.1,CE,3619.600262,,,,,6626.800468,5880.080425,5183.26038,5530.440395,5306.400402,5653.220398,5284.920368,4656.400337,6266.240433,5265.020405
77,"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",748.6628 -> 369.1,CE,3596.720264,,,,,4874.940357,5794.780411,5220.700352,5480.72039,5284.840382,4782.040348,5298.780376,6491.280453,5805.440422,6134.220455
78,22:3 Campesteryl ester,734.6471 -> 369.1,CE,3727.900276,,,,,4440.120308,4519.760338,4134.940289,4477.00029,4189.600269,4880.880337,4210.340302,5315.940372,4500.800323,4263.320301
79,22:3 Stigmasteryl ester,746.6471 -> 369.1,CE,3498.600246,,,,,5586.640373,5821.100403,5620.540386,5583.940392,5489.620415,5571.440411,5687.980412,5608.280384,6034.340446,6386.120461
80,"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",718.6158 -> 369.1,CE,3477.66024,,,,,5665.900383,5548.180378,4906.420349,5617.160423,4667.520321,5862.140423,5347.800358,5744.100391,4995.220371,6184.440445
81,22:5 Cholesteryl ester,716.6002 -> 369.1,CE,3931.620289,,,,,16556.66116,16589.60106,15238.68112,17423.9013,14918.36105,20133.96136,18027.94136,18408.84134,15406.48102,19362.8214
82,22:6 Cholesteryl ester,714.5845 -> 369.1,CE,3815.980251,,,,,56890.52417,72451.30545,54771.7639,70066.64514,55967.48417,83585.10628,73554.18495,78296.60502,52809.74368,82596.92528
83,"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",752.6941 -> 369.1,CE,3555.320255,,,,,6240.220428,6293.640446,6089.220478,5629.020435,5956.520451,6226.160408,5270.140381,6078.700436,6313.860462,5877.500408
84,"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",722.5744 -> 369.1,CE,3544.58025,,,,,7786.140579,7110.440506,6887.980446,7028.460514,6849.120487,8053.840576,8352.420605,8298.280579,8054.060558,9798.780701
85,Cholesteryl nitrolinoleate,711.5696 -> 369.1,CE,3799.720276,,,,,5167.440342,5186.960381,5206.860374,5346.100391,5939.180439,5652.640419,5951.320415,5589.460388,6144.880428,5423.120377
86,"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",720.5435 -> 369.1,CE,3471.620243,,,,,5476.380371,4993.400333,5190.340378,5126.120346,5655.340393,5866.960434,5538.540417,5580.000423,5765.160404,6511.660511
87,"lanosteryl oleate, 20:2 Campesteryl ester",708.6315 -> 369.1,CE,3795.68026,,,,,4772.000351,4139.600281,4758.640339,4448.4203,4942.260376,5201.100365,4961.140358,4742.740341,5125.500355,4892.880333
88,"lanosteryl palmitoleate, 18:2 Campesteryl ester",680.6002 -> 369.1,CE,3630.760246,,,,,5525.980389,6402.700459,5121.660343,5721.640381,6020.620396,6643.540474,5878.980408,6079.460468,6783.740467,6511.940487
89,STD_18:1(d7) Chol Ester,675.64 -> 369.1,CE,3722.600266,,,,,19440.78133,20723.00148,17943.0412,19594.10142,17077.98132,21007.98161,21359.94163,21558.08157,17976.68137,21906.88155
90,1-O-behenoyl-Cer(d18:1/16:0),860.8 -> 264.3,cer,2583.500183,,,,,2562.780163,2719.220188,2692.240208,2589.680199,2611.260197,2511.020176,2840.940193,2661.600193,2795.300217,2697.120197
91,1-O-carboceroyl-Cer(d18:1/16:0),902.9 -> 264.3,cer,2493.640167,,,,,3109.44022,3156.020218,2746.200199,2985.9002,3029.140209,2744.38018,2828.100201,3094.160213,3255.680233,3154.020214
92,1-O-carboceroyl-Cer(d18:1/18:0),973 -> 264.3,cer,2514.500187,,,,,2540.100178,2506.800171,2588.680191,2482.460178,2531.800179,2598.640198,2483.480171,2563.300194,2554.420174,2714.360188
93,1-O-cerotoyl-Cer(d18:1/16:0),916.9 -> 264.3,cer,2634.580193,,,,,2851.360218,2823.720196,2654.960197,2611.620178,2603.880192,2528.080173,2662.060184,2733.700191,2830.30019,2682.000183
94,1-O-cerotoyl-Cer(d18:1/18:0),944.9 -> 264.3,cer,2570.68018,,,,,2670.480186,3065.080219,2857.400208,2897.200203,3059.000214,2872.960197,2739.460182,2737.060184,2607.640182,3019.900204
95,1-O-eicosanoyl-Cer(d18:1/16:0),832.8 -> 264.3,cer,2470.540176,,,,,2500.880161,2758.580193,2637.320194,2471.760185,2503.400169,2529.600182,2601.400192,2691.780197,2467.120178,2470.200172
96,1-O-lignoceroyl-Cer(d18:1/16:0),888.9 -> 264.3,cer,2552.000175,,,,,2583.440189,2587.620171,2640.520191,2584.860199,2530.960175,2490.720192,2508.940182,2632.080189,2553.340176,2541.800194
97,1-O-myristoyl-Cer(d18:1/16:0),748.7 -> 264.3,cer,2500.720165,,,,,3378.540234,3273.460247,3136.120209,3565.140255,2757.960194,2813.600197,2695.160202,2868.780197,2801.50021,3297.440247
98,1-O-palmitoyl-Cer(d18:1/16:0),776.7 -> 264.3,cer,2467.180183,,,,,3023.400219,2777.940201,2719.440186,3090.620209,3029.400208,2687.120201,2526.380173,2624.34016,2963.84021,2577.28017
99,1-O-stearoyl-Cer(d18:1/16:0),804.8 -> 264.3,cer,2473.100182,,,,,2778.560188,2671.380211,2583.300198,2636.700199,2543.680176,2802.660191,2517.740181,2702.320198,2529.400192,2706.400185
100,1-O-tricosanoyl-Cer(d18:1/16:0),874.9 -> 264.3,cer,2444.280163,,,,,2527.840179,2458.120178,2505.060177,2549.520172,2593.660175,2463.140175,2468.880177,2449.44017,2523.440182,2740.760189
101,1-O-tricosanoyl-Cer(d18:1/18:0),1001 -> 264.3,cer,2476.620182,,,,,2441.240166,2380.500172,2510.78017,2433.780174,2523.240196,2366.060173,2482.600182,2537.160183,2637.200191,2484.320175
102,Cer(d14:1(4E)/20:0(2OH)),554.5 -> 208.3,cer,2580.560181,,,,,3127.700214,2821.440193,2853.98019,2786.380211,3169.960232,2929.520203,2925.360199,2999.900215,3074.000217,3249.520248
103,Cer(d14:1(4E)/20:1(11Z)(2OH)),552.5 -> 208.3,cer,2552.740173,,,,,3260.420238,3159.980225,2859.200199,2904.200214,2944.64019,3001.580219,2799.700188,3221.140228,2825.700191,2802.840206
104,Cer(d14:1(4E)/22:0(2OH)),582.5 -> 208.3,cer,2692.220207,,,,,2800.180214,2861.500195,3147.000214,2726.200195,3042.440208,2612.000191,2784.900192,2782.460201,2885.060223,3123.96022
105,Cer(d14:1(4E)/22:1(13Z)(2OH)),580.5 -> 208.3,cer,2574.800179,,,,,2800.140194,2930.200214,3368.960228,3011.340218,3229.120239,3193.360241,3163.320229,3058.220215,3030.300205,2860.680199
106,Cer(d14:1(4E)/24:0(2OH)),610.6 -> 208.3,cer,2665.020195,,,,,3145.200226,3534.800228,3239.340229,3166.820236,3084.400208,3334.580246,3264.440228,3194.580231,3025.640205,3056.880222
107,Cer(d14:1(4E)/26:0(2OH)),638.6 -> 208.3,cer,2578.120174,,,,,2633.480175,2645.880188,2812.960217,2905.960186,2826.380199,2974.260208,2751.240189,2988.320229,2802.780197,2642.840202
108,"Cer(d14:2(4E,6E)/16:0)",480.4 -> 206.3,cer,2752.140182,,,,,3353.280247,3080.300236,3121.940243,2789.88018,3230.960236,3590.540257,3028.100212,3387.82024,3006.980202,3280.580242
109,"Cer(d14:2(4E,6E)/18:0(2OH))",524.5 -> 206.3,cer,2769.200172,,,,,2816.520195,2960.980209,2753.80019,3081.000229,3029.220222,2997.680218,2910.960228,2917.600193,3182.860233,2937.620213
110,"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",522.5 -> 206.3,cer,2670.640182,,,,,2909.200199,2831.640205,3016.080223,2796.520199,2906.260208,2978.100201,2863.220203,3033.460217,2633.220184,2989.12019
111,"Cer(d14:2(4E,6E)/18:1(9Z))",506.5 -> 206.3,cer,2629.060184,,,,,2955.520229,2782.880196,2850.360203,2910.540211,2522.860176,2989.860214,2670.080193,2775.980206,3408.820244,2698.780174
112,"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",550.5 -> 206.3,cer,2655.260185,,,,,2786.560204,2933.240223,2770.900181,2665.340179,2613.160191,2848.740208,3001.760223,2961.7402,2777.980198,2911.220219
113,"Cer(d14:2(4E,6E)/20:1(11Z))",534.5 -> 206.3,cer,2602.420181,,,,,2918.780205,2757.700191,2612.640171,2856.820194,2864.060211,2586.640186,2824.640202,2714.700195,2895.880199,2638.580189
114,"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",578.5 -> 206.3,cer,2703.940205,,,,,2881.700207,3028.900211,3007.480228,2823.220203,2932.160187,2921.540192,2859.800205,2956.760223,2720.260193,3234.320229
115,"Cer(d14:2(4E,6E)/24:0(2OH))",608.6 -> 206.3,cer,2748.360188,,,,,3280.880222,2994.780209,3021.040188,3234.920235,3072.540211,3365.24025,3215.400238,3388.020226,3395.880222,3375.440247
116,"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",606.5 -> 234.3,cer,2532.640182,,,,,2776.960194,3092.200222,2731.640194,2629.600185,3141.760227,2826.62019,2897.060192,2818.660191,2941.4002,2830.960217
117,"Cer(d16:2(4E,6E)/24:0(2OH))",636.6 -> 234.3,cer,2482.080185,,,,,2901.260189,3387.080231,3012.400211,2857.360214,3146.480232,2858.240181,3042.740242,3126.780216,2971.700207,3120.160225
118,Cer(d18:0/14:0),512.5 -> 266.4,cer,2600.980171,,,,,2836.46019,2808.340199,3017.100224,3037.800198,2759.820183,2756.880188,2593.620174,2721.900188,2769.860195,2794.080204
119,Cer(d18:0/16:0(2OH)),556.5 -> 266.4,cer,2536.660183,,,,,3454.320229,3201.600212,3090.200214,3050.300209,3227.22023,3215.880249,2943.440208,3059.880207,2961.740215,3029.380222
120,Cer(d18:0/16:0),540.5 -> 266.4,cer,2845.620197,,,,,4212.120304,4286.020271,4077.700272,4323.420311,4230.040264,4452.680325,4238.920292,4294.320293,4055.400257,3815.18029
121,Cer(d18:0/18:0(2OH)),584.6 -> 266.4,cer,2726.100185,,,,,3001.960217,2865.960194,2895.72023,3003.180202,2701.240204,3052.380249,2861.320198,3030.580208,3275.92025,3287.940258
122,Cer(d18:0/18:0),568.6 -> 266.4,cer,2728.08017,,,,,3767.600246,3642.660244,3274.800232,3543.380257,3455.600254,3544.600273,3302.820248,3348.460247,3122.520226,3415.880257
