,"(13Z,16Z)-docosadienoylcarnitine",Stearidonyl carnitine,20:3 Campesteryl ester,C17:1,C18:2,C18:3,C19:0,C20:0,C20:1,C22:0,C22:6,C26:0,C26:1,C30:0,PC (32:1),PC (32:2),PC (42:10),PCo(32:3),PCo(38:5),PCo(42:2),PE (18:1),PE (20:1),PE (34:1),PE (34:2),PG (20:0),PG (24:0),PS (14:1),PS (36:8),PSo (18:0),TAG(50:1)_FA 18:1,TAG(52:0)_FA 18:0,TAG(54:0)_FA 18:0,20:3 Campesteryl ester,C20:0,C26:0,C26:1,C30:0,PE (20:4),PG (20:0),PG (24:0),TAG(50:2)_FA 16:0,TAG(50:3)_FA 16:0,TAG(52:2)_FA 18:1,TAG(52:3)_FA 16:0,TAG(52:3)_FA 18:1,TAG(54:0)_FA 18:0,TAG(54:3)_FA 18:1,TAG(52:3)_FA 18:2
veh_N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7489.560505,320922.2228,239739.2982,548746.2603,58280.70416,12089.44078,2389.060188,2326.960182,2824.880219,1489.600105,2389.720188,1219.180092,1876.220139,2118.420143,1880.780148,1327.560089
Abe_N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16115.00121,305723.1021,106130.6677,221403.2568,36535.84255,8754.340508,1778.140137,2011.800148,2367.480175,1665.800129,1894.440132,1284.980087,1672.480118,3086.080231,2049.420162,1254.34008
veh_N3,4848.740353,9542.280689,16466.88122,27875.92201,32826.04223,27606.32216,277256.5598,351736.5443,59995.36404,204409.3549,67867.06519,293946.7812,657946.2071,88430.34613,138447.3712,10526.58071,3349.360268,1909.600124,28571.3621,3732.480286,2006.000145,1777.840111,10968.30075,3191.300213,3747.580261,3724.160267,91659.44731,15819.94112,232073.0762,1210.940083,1898.980125,1421.760109,11985.02088,311682.0618,466855.6115,1301816.148,139689.4302,4059.440285,1828.780136,2288.760151,2532.14019,1618.340103,2125.500134,1180.840073,1339.820091,1492.380116,2140.420143,1152.280083
Abe_N3,9334.480606,20693.74147,14583.88111,58107.60393,66075.40443,29745.98219,872151.2436,2314808.304,98620.14668,1219353.261,181392.9728,180018.7131,340536.5832,44688.5031,163727.2328,16228.86108,3140.560249,7539.940517,20266.96152,3118.180164,3836.660236,2250.560177,12316.06082,4193.860283,7563.2006,8453.360542,58794.48465,10381.14073,147259.6121,3068.140228,1966.760136,1588.980103,23215.14158,459297.8322,242802.6174,507202.7953,84124.4461,6582.200493,4230.060299,4954.700397,2926.520226,1469.98011,1627.06012,1410.280094,1332.680096,1518.800102,2138.400146,1470.400112
veh_N4,5154.500374,10429.98064,17024.36121,24937.70169,32044.62234,30709.62236,298160.3802,337895.8436,58085.22434,220699.0746,71284.12487,278525.0389,611713.3233,81842.16571,146658.2312,10347.9008,4556.160324,2100.580151,39053.34257,4757.900333,2416.000183,1938.380138,9098.660652,3001.580208,2292.440163,3060.000214,90865.44563,15925.48116,232566.077,1312.980095,2782.480179,3675.580273,16886.0012,267466.899,230893.6354,570516.9775,78823.18541,5160.460342,1839.800148,2671.5602,2337.760174,1526.480103,2405.260174,1521.860126,1598.400135,1491.380104,2635.260178,1494.000107
Abe_N4,5472.180408,8560.000519,22628.86166,28414.70208,35783.52243,30253.00208,361101.3838,544102.2988,70673.94521,250110.3781,85532.60572,310614.3614,714567.7275,93125.52636,167046.5507,12116.44086,3242.780216,1891.780125,36874.78237,4231.120335,2303.800175,1902.240135,9135.140541,2511.000198,2174.560162,2284.700172,93369.50625,15999.50114,247638.9577,1104.18008,4608.120319,4809.140324,7237.980518,726048.3711,166921.7908,375646.0843,49030.7237,4667.460304,7322.800514,9167.060684,3273.560253,1722.84013,3108.700195,1239.640083,1655.020134,1613.42012,3113.580204,1561.520092
veh_N5,4781.360348,9620.62075,13792.34107,23852.34163,27207.76198,27814.54189,253038.799,267731.7402,51283.60326,157766.0109,63199.16415,302739.0616,731997.8298,81873.94587,161035.0317,12484.14088,8151.340492,2044.540134,38096.88257,7425.560463,2328.120197,1492.540115,9427.860729,2818.660206,3058.420216,3247.500195,85497.64622,14458.66117,217363.1954,1255.440098,3516.440231,4294.18034,15297.50109,352018.2256,255182.1983,578324.8005,71632.36552,8332.040535,2196.980156,2043.640141,2623.020176,1734.180107,1973.940151,1295.500084,1417.680099,4056.200283,2356.980129,1457.80011
Abe_N5,5394.540386,8850.340607,21240.62148,31593.24215,35375.38268,37563.86271,305481.0418,331277.2043,84525.26576,191697.9931,69765.86531,263012.3972,581656.1212,72696.74504,283649.6401,28235.40198,7826.360508,1777.540112,32473.44213,5458.800446,6105.700424,2870.460178,19328.82143,7745.720581,2177.480175,1783.160122,103274.7071,15791.62107,255752.3996,1348.040096,6104.340492,5812.420429,5905.320431,375842.4067,224302.3947,505341.6758,76208.74566,24989.86151,2239.220165,3094.260239,2921.960197,1697.240112,1817.500149,1418.560104,2045.580154,4277.140324,2170.640144,1495.32011
veh_N6,4320.820316,8116.780582,11103.42085,27628.04192,33176.40236,41997.64278,300639.4788,311511.5816,58280.4644,160935.1115,64192.14452,246138.1167,485869.6926,63661.36436,145015.2293,11830.08086,9433.300678,2343.980167,33072.90237,6997.520515,1875.280125,1719.120136,12126.34091,2980.360191,2688.680176,3495.120224,88124.20671,16048.04118,237123.9175,1175.320084,3364.340199,2669.100193,9566.48069,316052.142,161210.2714,335896.2845,63700.66414,11019.92066,4097.540283,6304.460468,3025.180214,1797.580139,2850.940212,2022.140144,1930.70015,1996.940151,3279.820232,1597.980114
Abe_N6,4260.940292,8165.340576,23363.16144,27353.60191,23098.76166,22669.00168,199047.1548,260754.2391,57504.98385,125440.7689,51538.98342,145707.7901,323047.4436,37443.70259,177143.3116,13207.24084,4502.04034,1794.620117,24243.52176,4501.980328,3419.820202,2303.540173,13428.96112,3858.90033,1665.780106,1858.700115,37389.98246,8010.040607,98338.38704,1219.680073,3866.500286,5918.820377,15486.18117,293290.3205,287291.9397,700145.4677,79558.84576,7551.560562,2331.060169,3210.500267,4704.860413,2088.820133,4689.000347,2276.820156,2980.160233,1943.18013,6757.420433,1788.440113
