"","(13Z,16Z)-docosadienoylcarnitine","Stearidonyl carnitine","20:3 Campesteryl ester","C17:1","C18:2","C18:3","C19:0","C20:0","C20:1","C22:0","C22:6","C26:0","C26:1","C30:0","PC (32:1)","PC (32:2)","PC (42:10)","PCo(32:3)","PCo(38:5)","PCo(42:2)","PE (18:1)","PE (20:1)","PE (34:1)","PE (34:2)","PG (20:0)","PG (24:0)","PS (14:1)","PS (36:8)","PSo (18:0)","TAG(50:1)_FA 18:1","TAG(52:0)_FA 18:0","TAG(54:0)_FA 18:0"
"veh_N3",4848.7403526312,9542.2806892414,16466.8812179561,27875.9220085086,32826.0422325145,27606.3221588135,277256.559814427,351736.54431148,59995.364044193,204409.354858391,67867.0651931731,293946.781242382,657946.207137957,88430.3461265682,138447.371185363,10526.5807075493,3349.360267641,1909.6001243577,28571.3620986951,3732.480285645,2006.0001449577,1777.8401107798,10968.3007469121,3191.30021286,3747.5802612302,3724.1602668764,91659.4473114787,15819.9411239608,232073.076171905,1210.9400825498,1898.9801254266,1421.7601089469
"Abe_N3",9334.480606082,20693.741474153,14583.8811111451,58107.603927616,66075.404426559,29745.9821891756,872151.24359134,2314808.30444309,98620.1466827275,1219353.26098635,181392.972763056,180018.713058506,340536.583183284,44688.5030975359,163727.232757534,16228.8610839872,3140.5602493296,7539.9405174273,20266.961524943,3118.1801643354,3836.6602363585,2250.5601768492,12316.0608215386,4193.8602828986,7563.2005996696,8453.3605422949,58794.4846458508,10381.1407279928,147259.612091037,3068.1402282714,1966.7601356499,1588.9801025393
"veh_N4",5154.5003738387,10429.9806404117,17024.3612098686,24937.7016868593,32044.6223411554,30709.6223564147,298160.380187985,337895.843627906,58085.2243385305,220699.074646038,71284.124870312,278525.038909939,611713.323295576,81842.1657104382,146658.231231803,10347.9007987988,4556.1603240957,2100.5801506033,39053.3425712676,4757.9003334033,2416.0001831056,1938.3801383974,9098.6606521583,3001.580207824,2292.4401626591,3060.0002136235,90865.4456291408,15925.4811553975,232566.076999936,1312.9800949095,2782.4801788353,3675.5802726747
"Abe_N4",5472.1804084782,8560.0005187995,22628.8616600051,28414.7020835868,35783.5224342373,30253.0020828222,361101.383819614,544102.29882806,70673.9452133269,250110.378082247,85532.6057205,310614.361358626,714567.727508587,93125.5263595638,167046.550689666,12116.4408645707,3242.7802162163,1891.7801246649,36874.782371531,4231.120334625,2303.8001747133,1902.2401351938,9135.1405410819,2511.0001983652,2174.5601615898,2284.7001724242,93369.5062522803,15999.5011405912,247638.957656958,1104.1800804139,4608.1203193654,4809.1403236385
"veh_N5",4781.3603477489,9620.620750431,13792.341068268,23852.3416252145,27207.7619781539,27814.5418891908,253038.798965477,267731.740203892,51283.6032638509,157766.010879535,63199.164154046,302739.061553979,731997.829826565,81873.945869399,161035.031707893,12484.1408843957,8151.3404922502,2044.5401344304,38096.88256836,7425.5604629528,2328.1201972955,1492.5401153561,9427.8607292137,2818.6602058409,3058.4202156061,3247.5001945483,85497.6462173599,14458.6611671434,217363.195404083,1255.4400978082,3516.4402313236,4294.1803398119
"Abe_N5",5394.5403862009,8850.340606688,21240.6214828505,31593.2421455322,35375.3826827975,37563.8627090491,305481.041839562,331277.20425413,84525.265762325,191697.993057256,69765.865310665,263012.397159574,581656.121192911,72696.7450370732,283649.64013665,28235.401981353,7826.3605079651,1777.5401115411,32473.4421348525,5458.8004455575,6105.7004241938,2870.460178375,19328.8214302,7745.7205810532,2177.4801750191,1783.160121917,103274.707134312,15791.6210708626,255752.399578036,1348.0400962823,6104.3404922476,5812.4204292299
"veh_N6",4320.8203163143,8116.7805824302,11103.4208488487,27628.0419235252,33176.4023628241,41997.6427764844,300639.47879023,311511.581573505,58280.4644012462,160935.111541758,64192.144515964,246138.116699235,485869.692550812,63661.3643607871,145015.229339578,11830.0808639532,9433.3006782551,2343.9801673884,33072.9023742667,6997.5205154406,1875.2801246644,1719.1201362604,12126.3409080507,2980.3601913438,2688.6801757792,3495.1202239986,88124.2067107955,16048.0411758372,237123.917480426,1175.3200836187,3364.340198516,2669.100193025
"Abe_N6",4260.9402923576,8165.3405761696,23363.1614418014,27353.6019058219,23098.7616577159,22669.0016822822,199047.154785157,260754.239135773,57504.9838485697,125440.768875095,51538.9834213278,145707.790142088,323047.443573033,37443.7025871314,177143.311630092,13207.2408370829,4502.040340424,1794.6201171878,24243.5217628602,4501.9803276055,3419.8202018745,2303.5401725779,13428.9611167802,3858.9003295895,1665.7801055908,1858.7001152037,37389.9824562131,8010.040607455,98338.3870353583,1219.6800727845,3866.5002861033,5918.8203773496
"veh_N7",5545.4803848259,8955.080627443,10672.2607498171,31794.0624618503,39972.5827255192,69536.4449081596,338350.967346183,304729.021087644,73722.2651748281,184800.172897361,72631.48505399,397985.545005818,937298.506645139,113204.248226209,93720.666259777,8004.5006370551,3436.5602378842,1760.3601150523,30832.5223769983,3699.0202903721,2238.340152741,1702.6201248167,5111.6203117368,1960.0401535035,1898.6401443475,2111.58014679,117724.009170498,15501.941059109,312214.463516345,1046.5800666804,3499.2802238456,2566.5801620499
"Abe_N7",7796.720542909,13693.3608932511,20899.9014472947,44573.1032180774,55007.5439453019,28281.3421249331,649190.069000308,1584512.62121555,86442.4465179007,841164.858489934,131495.809799196,175770.332740805,320111.000976584,40653.4829483007,86253.486145002,6213.3804244999,3134.16021347,1828.2801437366,17283.8012351981,3501.0401992793,2650.5801773067,1991.9801635743,6684.4605522151,2604.2801971436,5799.3204536437,6961.240505215,47367.7440376344,10084.7207717921,124281.66851426,1098.9800796504,2846.0402069093,2722.820167541
