,lipid,Transition,type,Blank,veh_N1,Abe_N1,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
1,(11Z)-eicoseneoylcarnitine,454.4 -> 85.1,acy-carnitines,6120.620483,,,151774.611,130993.7491,117129.2485,78513.4856,58239.72447,60112.82417,63558.42465,57940.16415,60370.86451,57561.00381,44165.62313,15588.34108
2,"(11Z,14Z)-eicosadienoylcarnitine",452.4 -> 85.1,acy-carnitines,4959.000362,,,27684.34188,33561.18225,28869.44213,22370.38152,28155.46199,28279.50206,23639.08159,24217.40166,23608.64181,20862.50143,22740.74168,8923.460678
3,"(13Z,16Z)-docosadienoylcarnitine",480.4 -> 85.1,acy-carnitines,5582.280357,,,18350.8013,21897.70166,16535.4411,15556.86111,16288.00109,17939.94138,15305.74112,15534.50113,14923.66105,15074.34108,14864.08107,6011.140381
4,"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",384.3 -> 85.1,acy-carnitines,6839.920471,,,52194.40382,58667.50417,52396.34378,36187.8826,37791.00296,68837.44438,66008.16451,61957.48391,49794.2836,46802.44312,41010.02302,16685.1012
5,"(5Z,8Z)-tetradecadienoylcarnitine",368.3 -> 85.1,acy-carnitines,5240.480354,,,21966.44163,22632.00174,17150.78119,15638.00115,18015.96112,19206.02143,19110.58137,19246.66118,18866.62115,19540.50142,14626.72102,8277.68058
6,"(7Z,10Z)-hexadecadienoylcarnitine",396.3 -> 85.1,acy-carnitines,5415.660374,,,3047043.256,2762970.205,2380856.905,1571691.982,991913.597,1085570.558,1140086.978,1129084.668,1187502.001,1125048.338,634154.9433,123547.808
7,"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",476.4 -> 85.1,acy-carnitines,4688.940319,,,22503.4015,22688.44168,19218.86135,16942.42114,20393.24155,21433.48145,20891.98144,19543.02149,20128.10149,18386.52126,18042.18134,7751.100582
8,(9Z)-3-hydroxyoctadecenoylcarnitine,442.3 -> 85.1,acy-carnitines,5315.520355,,,103309.0469,94261.60669,83185.56556,58758.66414,45786.34335,46365.20318,47152.90331,46189.10283,48448.04353,47765.18351,40600.28301,12216.34089
9,"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",412.3 -> 85.1,acy-carnitines,5647.160374,,,41405.16304,45799.6434,37424.10253,29389.70188,31577.64228,50665.96339,45194.76316,43984.68282,36663.04257,33350.52223,29420.42232,13838.82103
10,"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",438.3 -> 85.1,acy-carnitines,5973.260452,,,25842.06181,33199.72239,27801.94197,22312.64164,26992.42197,28576.00204,22386.86158,22874.34154,22868.10169,22329.80154,21926.58155,8642.880554
11,"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",444.4 -> 85.1,acy-carnitines,4853.920338,,,29812.30212,28296.68206,24410.00164,19284.72136,24018.26175,26059.96188,26283.48191,26444.38195,27747.84183,25748.84196,22815.98167,8689.280663
12,"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",388.3 -> 85.1,acy-carnitines,5861.500397,,,172210.653,128581.3101,237522.0149,169004.5931,183443.3723,90346.16654,148128.8906,110826.1682,135977.009,115915.3879,271732.6993,32333.36192
13,3-hydroxyarachidonoylcarnitine,464.3 -> 85.1,acy-carnitines,4740.300323,,,18900.28129,20019.54135,18827.96131,13295.12094,13730.46087,16632.34119,15255.00108,16173.08112,16719.8812,16028.84107,14683.90097,6467.060474
14,"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",472.4 -> 85.1,acy-carnitines,4953.080349,,,32712.42233,34915.86235,31550.96212,23307.46165,25339.68176,26159.42163,25145.46184,26883.64162,24835.14164,26727.42173,26673.56174,9103.72065
15,"3-hydroxylinoleoylcarnitine,",440.3 -> 85.1,acy-carnitines,4990.840343,,,3105043.997,2825908.24,2381420.292,1583886.542,945803.3878,946066.6304,1068018.4,985254.4478,1083015.317,1009527.168,653772.1713,112519.2077
