,lipid,Transition,type,Blank,veh_N1,Abe_N1,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
16,"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",414.3 -> 85.1,acy-carnitines,6445.960468,,,37721.36251,37647.42283,35352.68246,24599.56169,28323.34195,32064.30227,36300.82246,37812.76293,38530.26266,36626.36255,25353.8418,11870.92087
17,"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",456.4 -> 85.1,acy-carnitines,5012.820366,,,26127.50193,26563.62183,24311.10186,19085.96129,20274.90139,21435.3217,21009.44141,21356.68155,21664.50146,20687.06148,19489.50146,7105.400494
18,cis-5-Tetradecenoylcarnitine,370.3 -> 85.1,acy-carnitines,6828.100494,,,52770.9641,59254.62428,42686.14287,33725.38221,37825.28273,76624.54459,55398.12363,59119.64418,58869.1645,50600.38347,34889.30239,16838.70121
19,"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",474.4 -> 85.1,acy-carnitines,4463.700325,,,27170.40193,30380.94193,25495.78185,20885.50146,25147.74185,25426.16194,24660.08178,24032.34191,24859.58172,23122.44164,22838.74152,8555.300625
20,Hexacosanoyl carnitine,540.5 -> 85.1,acy-carnitines,4200.760277,,,28143.92188,27994.80191,25855.04188,20185.40154,23568.28162,27938.44205,23430.36165,20806.06142,24240.32178,22812.80155,20631.84152,7490.300541
21,"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",424.3 -> 85.1,acy-carnitines,5969.420425,,,48664.38349,48094.76304,42413.32304,29827.66206,30702.80193,34644.50265,30930.14223,26803.72192,30473.32232,29912.20204,23808.4617,8731.180622
22,O-(11-carboxyundecanoyl)carnitine,374.2 -> 85.1,acy-carnitines,5887.360428,,,51136.82356,56704.70433,47543.54293,35865.08279,50191.64336,50419.28344,49021.08363,47350.54367,48200.3036,47432.32355,35478.22262,14116.80096
23,O-(13-carboxytridecanoyl)carnitine,402.3 -> 85.1,acy-carnitines,5543.960426,,,28255.20218,30488.22206,25264.46188,21662.32171,34928.22245,26475.90193,35540.22235,26412.54178,27685.00191,27685.64212,25663.08175,9458.900631
24,O-(17-carboxyheptadecanoyl)carnitine,458.3 -> 85.1,acy-carnitines,6591.820423,,,22141.96154,23673.58161,19586.66138,15758.70119,19406.5415,21851.64157,22354.86156,23564.66145,21468.30145,21117.94148,17879.02128,7188.880489
25,O-arachidonoylcarnitine,448.3 -> 85.1,acy-carnitines,6952.720478,,,22922.04171,22674.02163,18201.56134,16236.40119,18694.1212,22265.28147,19851.94125,21470.14156,20036.92133,20085.28138,18648.08128,7384.400501
26,O-behenoylcarnitine,484.4 -> 85.1,acy-carnitines,4787.620319,,,2538997.618,2289988.248,1981129.722,1344468.657,641288.6253,651063.0831,742438.509,658266.9678,713118.27,646163.0476,456965.3136,65593.26452
27,"O-oleoylcarnitine, Elaidic carnitine",426.4 -> 85.1,acy-carnitines,6133.740459,,,98658.70737,96627.48708,80021.88522,56008.604,45402.72309,46555.32354,49068.74335,49109.10345,50219.20344,49113.26332,39084.92268,11777.80075
28,"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",398.3 -> 85.1,acy-carnitines,5515.260395,,,99145.96639,99496.04696,80751.34557,58177.42403,48846.10336,77634.00504,61650.66436,61288.48454,66138.5648,58379.36413,39989.64301,16113.8013
29,"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",400.3 -> 85.1,acy-carnitines,5227.860405,,,30145.50171,29275.88216,25807.34199,19522.82155,23192.6215,26509.30175,30276.88215,30323.66217,31292.54231,29936.48195,20973.84151,8489.520535
30,Stearidonyl carnitine,420.3 -> 85.1,acy-carnitines,7509.140533,,,143488.4498,68270.68477,63619.06467,47952.16359,59987.02411,63830.4043,57540.34392,157591.3105,60386.00426,61389.56358,65719.16504,15419.58086
31,"Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",428.4 -> 85.1,acy-carnitines,5934.40041,,,31716.36203,30277.94206,26679.54177,20147.48155,22486.76162,22748.0016,25508.78186,27847.302,27527.5419,25583.20167,21215.26153,7861.300529
32,TetradecanoylcarnitineO-tetradecanoylcarnitine,372.3 -> 85.1,acy-carnitines,5195.360352,,,27875.20201,25177.14159,22665.2616,18883.74128,24439.6017,25464.00178,25497.22182,27638.04176,29418.06217,28556.38223,22356.12178,9200.600578
33,12:0 Cholesteryl ester,586.5219 -> 369.1,CE,7535.860531,,,9482.060658,9759.96069,8869.500633,8540.740585,9369.660664,8058.300575,9109.100647,9175.52066,8770.4006,9109.060669,8532.100643,9524.340679
34,14:0 Cholesteryl ester,614.5532 -> 369.1,CE,3788.540276,,,7898.64053,8297.360588,6734.440502,6190.020466,7168.700489,6176.840431,10130.08067,9479.120716,9290.600685,10366.22075,6867.860466,7740.280582
35,14:1 Cholesteryl ester,612.5376 -> 369.1,CE,3599.920265,,,5213.700367,5039.780369,5033.780357,4566.960365,4755.900345,4410.920315,4628.500328,4938.760376,5220.900333,4795.640339,4664.440334,4883.400364
36,15:0 Campesteryl ester_simulated,642.6002 -> 369.1,CE,5291.400372,,,40676.76277,35036.0225,30607.46202,26050.84186,35092.16244,24072.24167,55452.28351,56733.00397,56375.96378,59772.16426,23688.12171,31184.22208
37,15:0 Cholesteryl ester,628.5689 -> 369.1,CE,4329.180313,,,6914.42049,7198.460526,6615.440472,6201.660389,6368.84045,5247.240398,8313.380596,7986.580544,8538.480614,8206.940578,8001.640533,6358.580463
38,15:1 Campesteryl ester_simulated,640.6002 -> 369.1,CE,4791.720337,,,46298.48322,40398.50281,30096.98207,28780.92204,39349.72284,23488.3216,64389.94441,67876.54451,70385.7451,74241.32518,26771.04184,34220.98251
39,15:1 Cholesteryl ester,626.5532 -> 369.1,CE,4445.060314,,,5225.940357,5043.880341,5722.060417,5141.660374,5181.820362,5468.420395,5095.260368,5433.300407,5437.000416,5382.800385,4572.700321,5627.360378
40,16:0 Campesteryl ester,656.6002 -> 369.1,CE,3935.880276,,,15895.52106,23152.02163,20402.28144,23185.20181,25122.64174,21172.5815,12250.58092,11567.82085,13605.04099,11656.40084,14702.10111,23719.54165
41,16:0 Cholesteryl ester,642.5845 -> 369.1,CE,5354.300404,,,43421.76309,33862.16269,29348.34193,26461.34171,35549.74258,24363.08183,54580.98366,54741.7439,58611.48402,60182.58406,24538.12184,29397.26187
42,16:1 Cholesteryl ester,640.5689 -> 369.1,CE,4794.02034,,,44633.92332,37547.64257,30637.22199,27423.24193,39548.54295,23402.14166,65534.44449,67112.02474,63459.58433,74125.42549,26717.322,34366.96233
43,16:2 Campesteryl ester,652.5689 -> 369.1,CE,3480.100262,,,7025.580524,7311.480545,6100.640415,6765.820511,6250.440422,5772.860413,7346.520496,7953.480541,6982.700527,7607.260506,5927.780445,7099.160477
44,"16:2 Cholesteryl ester, zymosteryl palmitoleate",638.5532 -> 369.1,CE,3482.360252,,,8145.500557,7128.880444,6533.960438,6974.680504,8026.080593,6462.180443,9097.680637,9909.640636,10350.38071,9361.520672,5992.260468,7033.860504
45,16:3 Campesteryl ester,650.5532 -> 369.1,CE,3594.020233,,,3976.460278,4380.260303,3808.360294,4276.380299,4158.620319,4097.680279,3926.180275,4258.060303,4675.820343,4253.520317,4023.940269,4076.34029
46,16:3 Cholesteryl ester,636.5376 -> 369.1,CE,3422.700241,,,5536.84042,5128.900364,5665.400417,4460.240311,4817.900341,5200.960369,6111.180431,6267.360428,5667.820412,6020.640408,4439.660339,6167.740425
47,16:3 Stigmasteryl ester,662.5532 -> 369.1,CE,3318.820236,,,8508.980591,8394.620544,7658.94054,7810.140553,7848.160576,8695.320656,9568.060722,10968.60085,10893.86071,10985.94071,6533.460484,9420.220638
48,17:0 Campesteryl ester_simulated,670.6002 -> 369.1,CE,4094.140312,,,13472.92096,15239.94101,14040.941,12035.78084,16735.80114,13864.6009,17431.88129,18785.38125,20331.94145,20643.98137,12618.08098,15691.34114
49,17:0 Cholesteryl ester,656.5845 -> 369.1,CE,4054.4203,,,15402.94111,23168.4816,19214.7014,22660.14169,23598.7817,20177.9616,11587.54078,12214.24083,14504.801,12009.10089,13913.50094,23322.62168
50,17:1 Campesteryl ester_simulated,668.5845 -> 369.1,CE,4946.64035,,,122228.368,88478.96606,81788.30565,71380.90541,103760.1471,51417.84376,188883.9342,193802.0944,196155.9343,228488.6568,61044.76413,79786.82527
51,17:1 Cholesteryl ester; 16:1 Campesteryl ester,654.5845 -> 369.1,CE,8055.36055,,,32449.90221,29339.44205,25908.46192,23974.88169,29820.42223,20984.72147,41453.7229,43704.68304,45586.56327,48129.42338,21530.96155,26246.48187
52,18:0 Campesteryl ester,684.6315 -> 369.1,CE,4013.760277,,,5586.940418,6283.920464,5116.380356,5196.600372,5587.660381,5448.420357,5470.500381,6754.36047,6137.600441,7093.900547,5112.040367,6385.080441
53,"18:0 Cholesteryl ester, 16:0 Sitosteryl ester",670.6158 -> 369.1,CE,4017.220295,,,16311.72119,14526.30104,13597.40099,12957.42086,15364.46113,14051.56102,19341.90141,19515.02137,19478.88139,18814.06135,11747.46085,14914.60112
54,18:1 Campesteryl ester,682.6158 -> 369.1,CE,3707.020252,,,6373.220428,6832.820477,5480.480362,5620.340382,6666.380482,6704.000481,6878.100494,7425.580524,8380.28054,9033.360687,5360.120365,6220.1604
55,"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",668.6002 -> 369.1,CE,5071.400368,,,120096.6883,89867.68604,81146.14609,68830.32503,103378.7674,54242.10376,187038.7123,193078.9326,197397.6122,227680.1572,61742.02386,79384.82597
56,"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",666.5845 -> 369.1,CE,4674.240337,,,134272.0492,103945.6279,91198.56641,77078.74538,122183.7284,64680.90433,210191.955,215577.6552,220808.896,253678.1993,70952.86497,86891.02579
57,18:3 Campesteryl ester,678.5845 -> 369.1,CE,3410.380241,,,4950.400345,6127.540443,4771.26033,5869.240395,5794.200386,4883.460361,5449.800388,5925.100399,5493.840374,6473.440464,4300.760288,5796.860386
58,"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",664.5689 -> 369.1,CE,3657.100243,,,30857.60224,25138.60163,21644.24147,18284.82121,29155.98196,16599.00114,40278.50275,45897.10365,44620.50325,48941.9035,18017.7613,24366.40169
59,19:0 Campesteryl ester_simulated,698.6315 -> 369.1,CE,3746.020267,,,9328.940712,11221.94076,8157.880558,9127.840588,9590.980682,8652.460613,13551.28089,14947.00103,13953.82104,13530.801,10039.74072,11311.74081
60,"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",684.6471 -> 369.1,CE,3868.360275,,,6144.560452,6470.360455,5244.000362,5508.660389,5314.18037,5963.800411,6650.24044,6154.620491,6746.200481,6867.820461,5041.460358,5796.320415
61,20:0 Campesteryl ester,712.6628 -> 369.1,CE,3578.880238,,,5320.64035,5284.980385,5196.740353,5498.140373,5074.260326,4911.100353,4795.200356,5593.520401,5770.420399,5303.240376,4940.64032,5639.560371
62,"20:0 Cholesteryl ester, 18:0 Sitosteryl ester",698.6471 -> 369.1,CE,4003.500278,,,9742.260643,9955.400707,8433.100616,8028.640572,9993.940655,10541.44072,13027.04095,15242.68099,13006.16087,13837.24092,8972.440662,11247.22083
63,20:1 Campesteryl ester,710.6471 -> 369.1,CE,3592.400272,,,4469.080299,4799.360325,4776.420326,4547.42033,4739.580322,4559.720333,4553.1003,5194.800373,4818.200344,4708.300312,4746.880314,5686.980427
64,"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",696.6315 -> 369.1,CE,3552.840252,,,7120.060497,7371.060532,6152.060425,6824.480518,6712.000462,6606.88047,7873.340576,8174.260548,7869.280567,9397.420685,5396.600376,7113.260483
65,"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",694.6158 -> 369.1,CE,3784.420261,,,7164.860519,6123.040401,6530.100441,5841.900394,5829.900372,5371.600391,8061.040588,7619.340546,8262.120632,6867.660484,5251.120388,6242.880447
66,20:3 Campesteryl ester,706.6158 -> 369.1,CE,4410.200329,,,8091.660522,8948.100628,6141.700409,7094.200493,6258.040447,8104.620583,6741.040447,9921.360683,7847.080544,8402.080578,5831.220428,12725.64097
67,"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",692.6002 -> 369.1,CE,3588.280247,,,28595.84192,23836.60176,19390.18116,17737.94125,24924.58183,14241.58108,42135.30301,42759.9832,43450.22327,49302.24359,15682.52104,19721.50148
68,"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",690.5845 -> 369.1,CE,4706.500328,,,182873.7721,140941.9495,117316.2882,104884.1477,160970.6508,90704.30664,275925.9596,276425.2002,288027.8611,314468.5423,96025.68633,126138.5287
69,20:5 Cholesteryl ester,688.5689 -> 369.1,CE,3792.240273,,,57043.98406,49544.44334,41650.20288,38633.02275,57081.06448,34431.10237,75609.26534,86287.10609,81913.26562,87332.38565,36274.34254,45336.12309
70,22:0 Campesteryl ester,740.6941 -> 369.1,CE,3492.360237,,,5067.480339,4491.660286,4390.640316,4564.060322,4584.540329,4545.720329,4720.040333,5080.620358,5078.440376,4445.220284,4629.760326,4708.080322
71,"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",726.6784 -> 369.1,CE,4074.32029,,,6863.020489,7993.740528,5896.70042,7195.840527,6900.700485,7309.520508,8237.080563,9974.36071,8389.64053,8696.440582,6453.080433,8391.760567
72,22:0 Sitosteryl ester,754.7097 -> 369.1,CE,4019.580276,,,7707.140545,7090.340519,6452.940437,7637.520554,7370.980515,6401.74044,6767.900494,5895.240417,6432.420456,6484.720455,6936.480507,7647.980576
73,22:1 Campesteryl ester,738.6784 -> 369.1,CE,3471.680256,,,9521.56068,7650.700588,7391.440548,7446.340523,9140.600578,7385.480507,7213.640499,8105.760532,8324.440617,6493.760475,7385.080498,7679.040554
74,"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",724.6628 -> 369.1,CE,3619.44025,,,6537.840466,6708.320515,6417.900486,6270.120411,5104.420349,5793.880394,5967.240425,8717.040646,7543.120544,7307.600544,5676.480362,8292.120613
75,"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",750.6784 -> 369.1,CE,3420.900246,,,4315.740299,4927.440334,3516.140259,4271.26033,4686.420326,3827.580269,4245.860298,4669.180294,4622.540329,4480.300331,3768.120262,4830.060329
76,22:2 Campesteryl ester,736.6628 -> 369.1,CE,3619.600262,,,4701.260307,5131.260372,5008.080357,4759.820332,4573.940323,4767.940357,4866.060341,4795.320339,4551.10033,5458.920387,4565.680351,4895.820332
77,"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",748.6628 -> 369.1,CE,3596.720264,,,4823.500332,5228.140366,4627.780323,4736.680321,4607.36031,5172.880367,5210.000351,6423.500492,7438.90052,5707.420399,4312.200291,6443.620464
78,22:3 Campesteryl ester,734.6471 -> 369.1,CE,3727.900276,,,4272.840305,4403.640312,3699.020264,4330.220287,4421.82032,4164.060291,4156.160301,4845.640354,4570.540337,4422.46032,4121.520298,4025.040283
79,22:3 Stigmasteryl ester,746.6471 -> 369.1,CE,3498.600246,,,4905.580326,5376.120392,4438.060329,4754.680328,5106.000374,4849.22036,5540.440426,7129.840462,7309.600464,7221.880508,5017.780376,6310.820431
80,"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",718.6158 -> 369.1,CE,3477.66024,,,4906.180321,5067.780369,4513.320332,4756.280354,5445.900387,4601.140335,5355.720352,6294.120441,6296.700462,5562.160366,4637.140339,4999.38036
81,22:5 Cholesteryl ester,716.6002 -> 369.1,CE,3931.620289,,,19037.68138,14938.8009,12354.18086,13235.94088,16528.36109,12388.64079,19738.70128,22651.38155,22881.72154,24392.48169,11057.84076,14702.64101
82,22:6 Cholesteryl ester,714.5845 -> 369.1,CE,3815.980251,,,69757.10452,58912.12424,46097.20365,43045.26294,67814.86456,38416.52282,98306.20672,101762.8269,101711.8468,112099.4879,38314.60262,53826.84346
83,"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",752.6941 -> 369.1,CE,3555.320255,,,4771.060345,5722.340374,4880.400326,5208.00034,4935.680355,5251.880348,5288.300396,4866.560345,5409.500389,5011.260345,5539.260426,5634.720367
84,"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",722.5744 -> 369.1,CE,3544.58025,,,6206.260429,6933.760487,5828.260414,5793.760395,5324.900391,6356.540474,8693.260632,9076.140629,9988.940792,9808.520657,6176.960426,8221.120529
85,Cholesteryl nitrolinoleate,711.5696 -> 369.1,CE,3799.720276,,,5545.220352,5812.080418,4478.280315,6214.220421,5358.18037,5001.000347,5057.08036,5986.360424,5468.500393,5409.860397,4955.70034,5579.380386
86,"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",720.5435 -> 369.1,CE,3471.620243,,,4703.240292,4942.760372,4776.360363,4198.700302,5238.360382,4357.600315,5299.320385,6591.280464,5903.620441,6431.860451,4732.280327,5438.820377
87,"lanosteryl oleate, 20:2 Campesteryl ester",708.6315 -> 369.1,CE,3795.68026,,,4429.640297,4456.280293,4320.100323,4759.720325,4344.820328,4076.240288,4749.840332,4868.460361,4630.620342,4876.080345,4679.520336,5418.100403
88,"lanosteryl palmitoleate, 18:2 Campesteryl ester",680.6002 -> 369.1,CE,3630.760246,,,5721.820404,5860.220421,5030.30035,5429.220383,6144.520409,4808.12035,5736.000412,6718.080475,6472.600498,6932.440514,4827.580318,5090.020378
89,STD_18:1(d7) Chol Ester,675.64 -> 369.1,CE,3722.600266,,,20162.78134,18721.32135,17662.42125,18653.96134,20664.58153,23124.82173,24071.76173,27892.122,32808.3222,30259.92217,17192.50117,22331.88161
90,1-O-behenoyl-Cer(d18:1/16:0),860.8 -> 264.3,cer,2583.500183,,,2687.540195,2515.960163,2548.880196,2718.600189,2459.280167,2681.300182,2728.500183,2629.760189,2776.82019,2671.780182,2482.280163,2776.640213
91,1-O-carboceroyl-Cer(d18:1/16:0),902.9 -> 264.3,cer,2493.640167,,,2976.640205,3007.960228,2944.680206,2931.840199,2768.260197,2749.240185,2742.460201,2650.360188,2736.700191,2565.960178,3171.780216,3337.000229
92,1-O-carboceroyl-Cer(d18:1/18:0),973 -> 264.3,cer,2514.500187,,,2555.220173,2554.920177,2499.260189,2495.32019,2600.880184,2416.640175,2472.520184,2616.320175,2494.560177,2573.660175,2443.700169,2564.000183
93,1-O-cerotoyl-Cer(d18:1/16:0),916.9 -> 264.3,cer,2634.580193,,,2562.740173,2708.880173,2437.160175,2699.420193,2802.400181,2557.760185,2554.540169,2638.580181,2682.280209,2825.400185,2652.740196,2639.120182
94,1-O-cerotoyl-Cer(d18:1/18:0),944.9 -> 264.3,cer,2570.68018,,,3158.680218,2781.560211,2621.540184,2758.620201,2998.840202,2700.720188,2944.020214,3288.320232,2918.280205,3139.020229,2652.580189,2855.18021
95,1-O-eicosanoyl-Cer(d18:1/16:0),832.8 -> 264.3,cer,2470.540176,,,2711.800186,2623.300186,2484.280182,2539.820202,2510.200176,2508.42017,2553.520199,2666.060184,2513.480194,2596.400181,2583.160179,2524.540169
96,1-O-lignoceroyl-Cer(d18:1/16:0),888.9 -> 264.3,cer,2552.000175,,,2506.04018,2581.54018,2656.380199,2460.080177,2592.020172,2704.620216,2642.540195,2510.380161,2568.480194,2618.260181,2509.500175,2559.400185
97,1-O-myristoyl-Cer(d18:1/16:0),748.7 -> 264.3,cer,2500.720165,,,3516.620251,3050.620224,3108.360203,3080.520203,3103.800209,2746.800179,2672.120205,2685.840187,2923.280186,2628.380184,2530.620178,2950.100204
98,1-O-palmitoyl-Cer(d18:1/16:0),776.7 -> 264.3,cer,2467.180183,,,2738.440193,2602.540184,2757.140202,2622.540211,2636.580189,2935.060211,2920.780209,2725.2402,2484.460163,2730.460175,3043.160233,3040.380211
99,1-O-stearoyl-Cer(d18:1/16:0),804.8 -> 264.3,cer,2473.100182,,,2809.920204,2765.880199,2465.560181,2563.600185,2635.880188,2608.780182,2748.780216,2838.580204,2586.380184,2610.02018,2580.580173,2528.180164
100,1-O-tricosanoyl-Cer(d18:1/16:0),874.9 -> 264.3,cer,2444.280163,,,2458.840176,2556.28017,2521.260159,2550.160183,2574.120178,2435.900177,2553.520153,2520.400173,2514.880173,2731.220196,2468.76017,2710.280197
101,1-O-tricosanoyl-Cer(d18:1/18:0),1001 -> 264.3,cer,2476.620182,,,2395.340183,2438.340176,2416.48016,2415.100166,2433.700172,2633.760193,2507.620167,2370.400166,2508.860188,2501.040188,2371.860172,2402.180168
102,Cer(d14:1(4E)/20:0(2OH)),554.5 -> 208.3,cer,2580.560181,,,2788.940178,2977.600201,3044.660213,2758.600189,2817.400204,2741.400185,3202.400242,2679.220207,2953.200203,2908.420208,2875.000221,3123.540215
103,Cer(d14:1(4E)/20:1(11Z)(2OH)),552.5 -> 208.3,cer,2552.740173,,,2902.060196,3064.30022,2821.440193,2923.82021,2946.380207,2860.740185,2993.12022,2730.220188,2891.460201,2930.860203,2942.140186,2824.780197
104,Cer(d14:1(4E)/22:0(2OH)),582.5 -> 208.3,cer,2692.220207,,,2953.720222,2882.200214,2634.220169,2863.740185,2732.580193,2795.620182,2787.120201,2706.680195,2815.880199,3134.760208,3024.280216,2919.560215
105,Cer(d14:1(4E)/22:1(13Z)(2OH)),580.5 -> 208.3,cer,2574.800179,,,2967.420208,2723.800186,2872.520206,3433.980232,2706.660194,2897.780209,2905.840202,2955.260212,2758.200195,2809.440212,2810.880196,3077.760204
106,Cer(d14:1(4E)/24:0(2OH)),610.6 -> 208.3,cer,2665.020195,,,3060.480202,3160.240234,2873.320202,2959.860191,2994.940193,2812.400204,3186.540222,2952.400208,3107.780216,2869.96019,3065.440205,3110.460243
107,Cer(d14:1(4E)/26:0(2OH)),638.6 -> 208.3,cer,2578.120174,,,2774.440197,2734.740173,2711.340168,2660.720192,2878.740204,2796.200207,2709.260178,3135.320244,2544.600174,2904.36021,2922.160221,2765.980198
108,"Cer(d14:2(4E,6E)/16:0)",480.4 -> 206.3,cer,2752.140182,,,3072.400208,3425.200256,3087.72023,2962.200214,2966.220207,2899.100193,3401.660252,3196.88023,2922.78022,3147.380234,3294.400257,2939.380215
109,"Cer(d14:2(4E,6E)/18:0(2OH))",524.5 -> 206.3,cer,2769.200172,,,2913.400211,2844.180199,2839.760204,2761.180187,2942.560207,2675.100182,2759.160221,2946.800217,2750.100185,2735.160183,2583.040195,2983.040211
110,"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",522.5 -> 206.3,cer,2670.640182,,,2751.120193,2712.060196,3096.660225,2934.500202,3070.00021,2932.540215,3069.600231,2960.280216,2965.36021,2907.580215,2554.700172,2839.620201
111,"Cer(d14:2(4E,6E)/18:1(9Z))",506.5 -> 206.3,cer,2629.060184,,,2755.160187,2742.480186,2694.700188,2916.120213,2888.020195,2808.160198,2833.020203,2909.060192,2872.760185,2745.620193,2681.420197,2939.480209
112,"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",550.5 -> 206.3,cer,2655.260185,,,2951.660202,2767.520191,2930.200211,2833.300182,2856.440205,2968.82019,3011.640224,2911.380203,3059.50021,2997.300224,2974.820217,3001.260204
