Lipid name,MRM,Ab-cl_12h_N1_acy-carnitines,Ab-cl_12h_N2_acy-carnitines,Ab-cl_12h_N3_acy-carnitines,Ab-cl_12h_N4_acy-carnitines,Ab-cl_12h_N5_acy-carnitines,Ab-cl_12h_N6_acy-carnitines,Ab-cl_1h_N1_acy-carnitines,Ab-cl_1h_N2_acy-carnitines,Ab-cl_1h_N3_acy-carnitines,Ab-cl_1h_N4_acy-carnitines,Ab-cl_1h_N5_acy-carnitines,Ab-cl_1h_N6_acy-carnitines,Ab-cl_1h_N7_acy-carnitines,Ab-cl_24h_N1_acy-carnitines,Ab-cl_24h_N2_acy-carnitines,Ab-cl_24h_N3_acy-carnitines,Ab-cl_24h_N4_acy-carnitines,Ab-cl_24h_N5_acy-carnitines,Ab-cl_24h_N6_acy-carnitines,Ab-cl_24h_N7_acy-carnitines,Blank_acy-carnitines,Veh-cl_12h_N1_acy-carnitines,Veh-cl_12h_N2_acy-carnitines,Veh-cl_12h_N3_acy-carnitines,Veh-cl_12h_N4_acy-carnitines,Veh-cl_12h_N5_acy-carnitines,Veh-cl_12h_N6_acy-carnitines,Veh-cl_1h_N1_acy-carnitines,Veh-cl_1h_N2_acy-carnitines,Veh-cl_1h_N3_acy-carnitines,Veh-cl_1h_N4_acy-carnitines,Veh-cl_1h_N5_acy-carnitines,Veh-cl_1h_N6_acy-carnitines,Veh-cl_1h_N7_acy-carnitines,Veh-cl_24h_N1_acy-carnitines,Veh-cl_24h_N2_acy-carnitines,Veh-cl_24h_N3_acy-carnitines,Veh-cl_24h_N4_acy-carnitines,Veh-cl_24h_N5_acy-carnitines,Veh-cl_24h_N6_acy-carnitines,Veh-cl_24h_N7_acy-carnitines
,368.3 -> 306.296,3177.740227,3104.600227,3151.840218,3099.720234,3097.06023,3053.480217,3218.860233,3103.320221,3210.320225,3216.200211,3367.640232,3041.080212,3345.120251,3200.940231,3281.280235,3143.580223,3319.540226,3287.740234,3152.500221,3229.580235,3282.180237,3271.180233,3265.480232,3129.94022,3201.740223,3104.34021,3025.240215,3088.140224,3194.540241,3112.160217,3172.160213,3334.120239,3219.780224,3258.620209,3143.76022,3136.820217,3206.880196,3345.080231,3389.220242,3165.160233,3192.220219
"(5Z,8Z)-tetradecadienoylcarnitine",368.3 -> 85.1,4803.800327,21969.56151,5378.84037,5231.240353,5920.38039,6235.080444,5834.06039,6220.600452,6560.580467,6012.840416,5793.340412,6082.580444,6455.340443,5655.940407,5500.200394,6070.40044,5404.740356,5102.220348,5194.860382,7301.82053,4771.460339,5074.460377,5762.78043,4961.860336,5862.180424,5809.900429,5723.400414,5669.400394,5040.960381,5124.000412,6289.800446,5684.100372,5098.860386,4821.420345,4862.320339,5590.440376,5043.580326,5005.120296,5271.920353,5119.100346,5451.100414
,370.3 -> 308.296,3162.520233,3325.160236,3186.120209,3123.740238,3143.46022,3251.680237,3227.840244,3320.500237,3025.700222,3149.580238,3165.500237,3258.680222,3167.280228,3192.38023,3117.700218,3175.160229,3195.28022,3315.720238,3194.960232,3176.520233,3243.960236,3266.480232,3268.580242,3409.040257,3283.420223,3160.960217,3248.220219,3224.620239,3276.700218,3132.120224,3351.900227,3254.44022,3145.360233,3127.280224,3132.30022,3264.580231,3190.140224,3189.64024,3287.800232,3198.960209,3101.000229
cis-5-Tetradecenoylcarnitine,370.3 -> 85.1,8723.280617,12208.94085,8829.080669,7476.840519,9032.240639,8868.060612,8021.26062,7791.860535,9142.080635,8584.420578,7001.74049,7401.680462,8772.28067,8940.880646,8538.500618,9525.740677,7018.000492,8438.180599,8354.3806,7706.540527,5348.360394,6758.420467,10709.4008,6965.540478,9030.140656,8062.400532,7525.12059,7160.040516,6742.400478,7887.120564,7595.56052,8892.36063,7272.000465,8286.500603,8341.10062,9287.460625,6854.520432,8578.500618,8598.240578,8169.920597,7936.900585
,372.3 -> 310.296,3224.080227,3470.520237,3244.860229,3327.380253,3286.640236,3046.340214,3374.780243,3402.240227,3156.540215,3184.140236,3121.400223,3315.540222,3318.100227,3343.220242,3266.460247,3227.100231,3248.580231,3331.520241,3103.560207,3242.040237,3375.500248,3271.620235,3286.060253,3251.580231,3238.920219,3275.220242,3256.280247,3236.880219,3382.700233,3367.060219,3365.740223,3346.840229,3335.760231,3282.880253,3299.220238,3215.700207,3173.660233,3093.980228,3271.120232,3243.280266,3120.860218
TetradecanoylcarnitineO-tetradecanoylcarnitine,372.3 -> 85.1,8909.700603,9554.060688,7667.820499,7806.580513,11534.2808,12755.14093,9642.160633,11345.56076,7495.840546,8013.760597,7171.940506,6531.400467,10848.62073,12161.92081,7000.380524,10158.70076,7968.880581,11306.40086,11248.12082,9465.120701,5777.060432,7577.500515,9018.98064,7222.58054,7429.12051,11565.48086,11589.02076,9184.060635,8039.840538,7684.460529,8580.060627,7797.640533,8113.760628,9532.080692,9829.620705,7528.92054,7411.240543,8160.220592,11573.58089,10910.82076,13398.68098
,374.2 -> 312.196,3264.080235,3160.320213,3294.58025,3155.000221,3390.780254,3113.100212,3139.720219,3272.140228,3257.460236,3239.200245,3458.280266,3389.76025,3204.040226,3105.120216,3185.420246,3270.700237,3283.400234,3238.520218,3192.040241,3242.180225,3218.160221,3099.26022,3274.900249,3278.200226,3362.920238,3211.76022,3149.960213,3109.540215,3263.020229,3085.200214,3312.880226,3327.84024,3157.420223,3185.360229,3293.800224,3292.940228,3325.200233,3283.400227,3443.640247,3295.580238,3181.460217
O-(11-carboxyundecanoyl)carnitine,374.2 -> 85.1,8735.020596,9085.060669,8453.140598,8791.900684,9101.320724,9205.140648,9201.320698,8749.800552,7764.100536,8141.840561,8821.460594,7289.080517,8946.720577,8011.320599,7276.380527,7967.160568,6787.180511,8568.880611,8958.520634,6683.520493,6148.660435,7867.640594,9391.060619,7625.260498,7947.60059,9197.700611,8784.280632,7482.660538,9990.440762,8068.140518,9159.580688,8447.260616,8418.380608,9703.72068,8454.820606,8699.620571,6514.820438,7330.760509,8818.420628,8055.260586,8912.240604
,384.3 -> 322.296,3140.060204,3402.160248,3303.76022,3377.920227,3237.580227,3109.840218,3235.560219,3345.880245,3164.780224,3327.400234,3258.040234,3321.940228,3263.420227,3286.700214,3150.020206,3337.720253,3042.620213,3344.640232,3187.44022,3079.320229,3416.140251,3161.820217,3268.360222,3147.380222,3409.080246,3231.640213,3105.96022,3085.660221,3190.180222,3161.30024,3268.440224,3252.200233,3312.660229,3111.860214,3148.520237,3370.260231,3200.280239,3254.080231,3257.860233,3265.56023,3314.180229
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",384.3 -> 85.1,8130.420589,7515.100533,8844.960598,7718.360512,8454.020592,7782.200493,7797.300579,6984.440472,9873.600731,8412.60059,8225.900581,7154.960484,8547.260651,7673.380547,7449.920517,8274.620621,7363.440536,7914.760582,7927.960571,8182.620651,6297.340488,7237.180519,9425.880722,6562.520447,7895.840557,8143.440628,7146.460537,7069.340466,7337.240555,7956.260532,7598.580528,8823.180595,7217.020535,7772.440556,8408.320648,7864.900528,8315.460575,8000.840569,7820.920521,7132.920479,8259.820564
,388.3 -> 326.296,3437.260235,3530.860252,3443.040241,3114.020222,3283.140213,3160.620228,3241.96022,3390.820248,3315.940231,3273.420238,3245.000221,3366.420238,3396.940243,3383.580223,3194.360226,3788.020279,3630.720249,3259.060234,3346.460251,3232.900246,3179.560246,3131.880226,3313.580235,3461.720253,3441.220264,3147.200214,3212.620228,3141.440205,3196.240231,3297.080231,3207.840244,3513.380245,3288.060226,3320.820244,3193.66024,3443.440239,3258.900238,3250.740231,3182.680237,3353.740227,3265.960217
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",388.3 -> 85.1,10026.30074,10608.40082,10829.34075,10586.90072,12223.60082,10236.94075,10059.16074,8220.900562,7817.260506,9732.840679,9815.800728,7903.260555,9109.980629,9545.520683,9303.360737,9158.300659,8370.640602,9625.540699,9106.460602,9653.680714,5736.4804,8643.140591,10569.48073,8914.04068,9660.360683,10123.98073,10681.02077,9398.420666,8178.340607,8434.780613,8669.780605,9236.120644,10179.26077,8223.180527,9056.460629,9758.820717,7400.600475,9564.620647,10242.12074,9519.860676,9937.84071
,396.3 -> 334.296,3453.460228,3409.000248,3206.72023,3175.72023,3287.500237,3111.940228,3337.96022,3237.300209,3250.60022,3647.000256,3329.480236,3460.860249,3294.44022,3443.160252,3365.900246,3254.480232,3344.700233,3248.560234,3236.900215,3055.840233,3132.300247,3133.840225,3390.940216,3171.440228,3178.920235,3202.80022,3220.660229,3313.680241,3131.340206,3396.180256,3345.880249,3465.060238,3214.380238,3177.780235,3158.360229,3146.840233,3294.860241,3438.180244,3285.420212,3290.760239,3465.940254
"(7Z,10Z)-hexadecadienoylcarnitine",396.3 -> 85.1,67477.5447,73324.72508,77613.10596,65781.96453,87876.06582,73795.52533,76670.86537,29289.28207,76770.84595,131512.9697,163300.1112,111998.6277,39174.46298,35230.38252,52632.50347,88940.98573,78718.62534,80771.46529,105950.9668,59257.46487,5126.940365,60569.6244,76457.90534,44255.12278,93307.52638,59861.84447,68994.18431,66600.18432,18802.72136,97658.20753,114473.868,143213.6296,110945.5276,74056.86477,47812.64329,75450.90568,87082.04609,105016.5076,94324.74664,80740.06551,87183.22551
,398.3 -> 336.296,3313.820232,3183.140209,3211.280235,3115.880203,3205.900219,3201.580215,3156.380249,3227.480232,3170.260231,3333.800232,3427.640259,3324.060226,3384.700237,3124.680222,3300.640228,3288.06023,3116.78022,3168.260208,3177.72023,3359.980232,3202.22023,3179.900219,3252.280216,3216.060223,3337.960247,3316.06023,3111.360226,3255.440247,3256.700245,3252.180237,3388.460247,3329.640236,3108.76022,3239.380249,3207.480209,3201.320225,3264.140209,3277.300228,3271.740234,3223.420219,3127.120205
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",398.3 -> 85.1,10362.6408,11537.44072,9928.440689,9110.540623,10981.30083,10520.9407,10131.98071,9649.440704,9698.70071,11251.76075,13650.32104,10174.38071,9489.600643,8511.380558,7798.300541,11045.58071,8418.800579,10356.76075,11498.54084,9841.620678,4479.040306,9139.160629,11610.74092,8762.920643,10773.20074,10389.42072,10221.74068,9790.720676,10019.88071,10280.36066,10707.44071,11854.62085,11004.72075,13019.46088,10113.4807,11114.24075,10088.42071,11074.96085,11362.30073,10935.4008,10318.98072
,400.3 -> 338.296,3241.640244,3229.540241,3278.320244,3336.60022,3378.900242,3029.740223,3183.760223,3412.50024,3292.280224,3303.240227,3349.860229,3183.64024,3210.240246,3125.600239,3128.160233,3142.740227,3164.660229,3228.48024,3199.520222,3093.520229,3215.340225,3096.440228,3199.320221,3133.720219,3331.300224,3270.240234,3187.380238,3213.940235,3199.520256,3338.080246,3253.96022,3410.30024,3120.500233,3342.820232,3095.280228,3238.360229,3143.900223,3185.140213,3191.940216,3248.320221,3146.740208
"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",400.3 -> 85.1,8401.580616,9726.600735,8978.040691,8822.360611,9001.940659,10679.92078,18431.42136,44805.86288,8141.74057,8265.940552,8002.400593,7032.580486,8087.900524,26448.70179,7416.120487,8291.080612,7817.080517,9332.220684,8583.540653,8806.820614,4401.240284,6816.280483,9838.280712,8510.320591,9065.840656,9394.780678,8253.440609,16528.20119,22201.70148,7388.360523,7802.740536,7124.680527,7413.84045,7360.0205,18758.84148,9480.880669,7579.540524,7119.940498,10589.18072,8927.280655,11628.16083
,402.3 -> 340.296,3234.600227,3170.500214,3437.580238,3231.800224,3150.980232,3148.620205,3303.080227,3176.060234,3417.70023,3385.940239,3354.200222,3259.320229,3242.560215,3268.880226,3226.380226,3268.020214,3258.260223,3363.300247,3109.020199,3390.340229,3193.26025,3168.940243,3255.600227,3295.280247,3362.34024,3266.60022,3097.060234,3112.640221,3192.280231,3197.780216,3207.440224,3337.340233,3155.54023,3413.280251,3250.56023,3135.000217,3133.740215,3102.100208,3255.200237,3348.300236,3194.30024
O-(13-carboxytridecanoyl)carnitine,402.3 -> 85.1,9108.820652,11041.74083,10494.84071,9340.480656,9651.400711,10295.72078,9894.980736,9008.140659,9913.140659,7508.940559,8658.560612,8358.140545,9326.860668,9251.820637,10134.28073,10542.86078,9390.400692,9939.920696,8990.440647,9920.480675,10524.6008,8948.500622,9123.760677,9026.580658,9506.42067,9176.640675,9353.56065,9048.660698,7927.560608,7935.040535,8711.400608,8791.100658,8341.120567,8861.380653,8409.540585,10576.40067,9277.180672,9368.640736,9075.980553,9442.540676,9407.540676
,412.3 -> 350.296,3317.880253,3263.240223,3291.560234,3439.320248,3299.660229,3165.520229,3222.000217,3400.860226,3107.080204,3508.74025,3252.04023,3179.420242,3452.800236,3209.780216,3276.640213,3207.56023,3228.680241,3283.620243,3229.100224,3209.680237,3236.860241,3161.440231,3262.480236,3081.360222,3258.660233,3240.380234,3197.740234,3324.620243,3128.920231,3007.9002,3299.360218,3460.620243,3437.980232,3276.400227,3161.860229,3232.200233,3200.940224,3333.860237,3310.020233,3225.340229,3130.860207
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",412.3 -> 85.1,5851.380375,7354.960476,7046.560463,5856.240406,5974.140427,6548.940464,5889.260395,5958.700428,6352.540462,5904.320412,5928.680424,5825.200424,5589.160423,6127.260437,5930.820446,7157.480522,6268.740417,6808.700481,6456.580463,5652.000458,4969.640343,6214.3405,8052.120583,5098.400375,6037.820415,5657.780392,5956.080437,5424.860382,5806.400406,5511.100384,5769.040405,6505.460491,5384.460384,5922.580421,6128.860416,7354.760548,6500.800446,6861.540478,6155.640461,6544.060482,6398.480431
,414.3 -> 352.296,3206.100239,3380.320244,3255.060223,3115.960228,3201.920231,3418.280243,3305.10022,3211.480228,3217.540234,3281.300224,3331.320232,3212.960228,3344.760239,3320.940231,3293.260227,3292.180225,3461.420246,3244.160252,3563.680244,3268.020245,3322.300232,3147.180229,3357.64024,3240.300232,3576.240261,3273.860245,3258.360233,3256.160233,3228.980251,3178.640217,3200.800228,3315.060226,3306.580235,3342.780231,3178.580238,3392.440247,3325.02021,3373.040222,3259.640259,3549.700245,3270.600224
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",414.3 -> 85.1,22569.20145,23205.22161,21308.44144,17744.4612,23384.16167,23614.14167,23127.30171,20185.80136,17664.94111,23189.46168,20953.60146,13719.76101,19233.72127,23114.16169,16037.46112,26450.92174,17831.16129,25035.64182,21770.88161,19500.92143,5047.18034,19704.40142,22551.24152,16928.82119,25150.32172,22495.7416,23615.70161,22529.2817,24076.72158,23919.20177,24499.96167,21423.80149,21316.00149,25270.0218,21868.30151,19989.12168,18674.0613,23426.0417,23366.78168,24824.18175,23435.08166
,420.3 -> 358.296,3183.20023,3256.360222,3395.520237,3175.140221,3263.820244,3014.000217,3332.90023,3190.740234,3288.380234,3197.940235,3355.520264,3116.800232,3274.340237,3329.540245,3318.000248,3234.5602,3117.820213,3404.900223,3283.600239,3101.520226,3367.540237,3210.580223,3253.980228,3284.640251,3210.860226,3094.300209,3228.860199,3080.740227,3335.640224,3238.480228,3220.62022,3295.580238,3405.160263,3143.680225,3213.600231,3265.560234,3480.360249,3598.800259,3232.780235,3459.88026,3145.780216
Stearidonyl carnitine,420.3 -> 85.1,9943.400688,8479.380642,8870.320583,8900.880692,10032.26071,9529.460655,13712.32096,9506.160625,20693.74147,8560.000519,8850.340607,8165.340576,13693.36089,9647.980621,10496.36073,9549.480686,18532.84123,9812.180672,9234.460648,9228.080677,5737.120384,7392.180477,8968.900612,10078.28068,11168.42072,9960.700684,9906.340691,8797.000591,8903.340687,9542.280689,10429.98064,9620.62075,8116.780582,8955.080627,8361.500572,10175.92075,7604.080524,9958.860771,10532.32076,11345.42076,10267.78069
,424.3 -> 362.296,3316.560257,3209.320232,3306.660248,3266.60022,3210.460243,3065.940228,3349.420231,3487.780266,3370.120243,3212.620224,3263.380219,3268.460232,3256.520222,3282.52021,3255.120235,3369.160236,3180.560242,3285.180237,3161.72023,3121.700222,3154.400227,3231.580231,3229.440228,3237.740238,3362.620251,3267.140236,3385.700237,3073.120209,3200.100243,3267.340218,3295.100231,3388.720245,3097.540226,3214.180237,3191.740208,3187.240238,3132.160233,3143.760227,3307.580238,3415.580227,3061.800224
