Lipid name,MRM,Ab-cl_12h_N1_acy-carnitines,Ab-cl_12h_N2_acy-carnitines,Ab-cl_12h_N3_acy-carnitines,Ab-cl_12h_N4_acy-carnitines,Ab-cl_12h_N5_acy-carnitines,Ab-cl_12h_N6_acy-carnitines,Ab-cl_1h_N1_acy-carnitines,Ab-cl_1h_N2_acy-carnitines,Ab-cl_1h_N3_acy-carnitines,Ab-cl_1h_N4_acy-carnitines,Ab-cl_1h_N5_acy-carnitines,Ab-cl_1h_N6_acy-carnitines,Ab-cl_1h_N7_acy-carnitines,Ab-cl_24h_N1_acy-carnitines,Ab-cl_24h_N2_acy-carnitines,Ab-cl_24h_N3_acy-carnitines,Ab-cl_24h_N4_acy-carnitines,Ab-cl_24h_N5_acy-carnitines,Ab-cl_24h_N6_acy-carnitines,Ab-cl_24h_N7_acy-carnitines,Blank_acy-carnitines,Veh-cl_12h_N1_acy-carnitines,Veh-cl_12h_N2_acy-carnitines,Veh-cl_12h_N3_acy-carnitines,Veh-cl_12h_N4_acy-carnitines,Veh-cl_12h_N5_acy-carnitines,Veh-cl_12h_N6_acy-carnitines,Veh-cl_1h_N1_acy-carnitines,Veh-cl_1h_N2_acy-carnitines,Veh-cl_1h_N3_acy-carnitines,Veh-cl_1h_N4_acy-carnitines,Veh-cl_1h_N5_acy-carnitines,Veh-cl_1h_N6_acy-carnitines,Veh-cl_1h_N7_acy-carnitines,Veh-cl_24h_N1_acy-carnitines,Veh-cl_24h_N2_acy-carnitines,Veh-cl_24h_N3_acy-carnitines,Veh-cl_24h_N4_acy-carnitines,Veh-cl_24h_N5_acy-carnitines,Veh-cl_24h_N6_acy-carnitines,Veh-cl_24h_N7_acy-carnitines
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",424.3 -> 85.1,13258.00096,14748.12098,13743.24089,9761.280727,9297.58057,9804.960739,17524.50125,12232.26094,15116.18097,15483.16116,12632.46094,8918.880608,9048.920639,10878.12068,8488.460567,16294.46119,11573.60075,11403.72086,11336.92087,8843.400566,5522.580391,10137.24072,11961.32082,10730.08079,11127.1008,9620.960659,9995.500668,15394.40106,10842.10079,13374.2009,14517.60108,12032.20084,11613.08082,11834.94081,14500.74095,11051.56084,11001.24081,9911.920708,10632.7007,10445.7808,9460.840641
,426.4 -> 364.396,3382.340248,3263.120239,3315.040253,3228.920227,3292.400234,3116.760212,3284.320221,3223.980244,3212.840225,3384.980236,3369.900234,3315.30024,3311.400238,3212.520226,3217.160236,3192.60022,3273.560234,3299.240234,3348.680241,3251.880222,3155.240204,3275.560234,3388.200222,3300.22023,3316.800236,3274.260208,3357.080235,3151.300217,3217.560242,3070.560215,3206.420216,3319.840225,3086.26022,3199.780224,3201.100216,3268.980217,3273.520248,3293.340237,3268.660248,3337.840237,3175.520226
"O-oleoylcarnitine, Elaidic carnitine",426.4 -> 85.1,10310.10072,11634.26086,10562.92075,8170.140602,9223.720646,10261.66072,12380.72092,12871.74089,12772.90098,12823.74091,10565.48075,8927.520584,9017.980614,12923.66096,7714.580486,9371.120594,9638.080669,10094.44067,10681.20074,8276.720631,5250.700375,9187.580639,10903.7207,10234.94065,10879.50079,9219.240654,10305.52075,9338.620667,9477.520687,11506.08078,10206.12079,10518.96075,9110.320652,8823.340637,12613.14097,10623.62074,9241.720604,10861.2209,9906.200657,10909.16073,8878.020657
,428.4 -> 366.396,3270.480217,3327.420231,3300.940239,3145.440231,3207.960232,3032.900211,3270.300236,3229.840218,3209.800232,3254.560238,3258.580242,3128.880226,3382.260227,3282.5802,3450.140247,3275.560211,3334.660221,3296.980228,3312.840214,3340.620228,3326.400219,3255.30024,3216.680229,3200.000229,3299.540241,3164.700207,3339.020226,3173.040226,3308.940228,3314.520229,3219.060223,3437.420254,3373.020233,3322.400234,3283.820217,3285.020233,3218.160233,3334.460217,3326.940235,3245.16024,3365.480228
"Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",428.4 -> 85.1,8185.900562,8365.100567,8224.060616,6940.080509,7679.820518,7891.980579,9821.340668,15423.76109,6993.760471,7814.380562,7748.420536,5639.580406,7068.520466,11030.64079,7169.420479,8498.240486,7281.92057,8810.120636,7678.46051,6692.100483,4880.360329,6184.360477,8617.760593,6600.280476,7929.820526,8015.820614,7863.62056,8197.960518,11637.02084,6477.78046,7023.98048,6787.000465,6852.380524,6711.580467,10531.82076,8247.940575,7729.860531,7119.640461,7139.340496,7863.840576,7088.100525
,438.3 -> 376.296,3212.82024,3283.72023,3245.900242,3284.360229,3361.540234,3159.520226,3334.580231,3486.320259,3133.160225,3378.640236,3401.200241,3171.180222,3238.620235,3345.580227,3341.020226,3310.620216,3230.540222,3308.460224,3262.800213,3109.040222,3202.980228,3272.200226,3344.720238,3198.760223,3307.920227,3468.040237,3345.940243,3072.540234,3286.900238,3212.38023,3306.140236,3163.760227,3149.280235,3254.760235,3205.800224,3371.880238,3352.040245,3381.260239,3230.840233,3260.660217,3136.220222
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",438.3 -> 85.1,13582.681,14261.76102,14662.12095,9301.780609,9022.920666,10837.18069,11877.84091,8679.280628,10855.18079,10633.9008,12885.16101,7593.320503,9036.200623,11626.18083,8777.300644,14120.24097,9588.680664,11917.58079,13970.66099,10576.34073,4660.700333,9890.760639,11659.48086,7899.080582,10265.96071,9587.700684,11526.24078,8925.280685,10533.28075,10167.68065,10607.26076,10216.00072,10271.86073,13723.84095,11545.60078,10723.56075,12415.38087,10106.9007,10149.76072,13186.60097,10057.12071
,440.3 -> 378.296,3536.520248,3656.300255,3460.34024,3562.040256,3577.46027,3478.000248,3236.600216,3367.260239,3236.540222,3651.060257,3815.260284,3295.360226,3235.560223,3278.220234,3280.860249,3636.660263,3402.860237,3517.440243,3296.100235,3159.840237,3152.380211,3389.660255,3291.940228,3321.980228,3545.180237,3320.460232,3346.180241,3395.980236,3321.280243,3474.560234,3543.520256,3755.360256,3573.540241,3441.020248,3355.720234,3503.64024,3345.220226,3573.300282,3393.500225,3329.820248,3511.720272
"3-hydroxylinoleoylcarnitine,",440.3 -> 85.1,68693.92458,72705.36464,77355.80526,66514.86441,89987.82677,72423.78539,70632.44506,24304.76168,72161.44536,124680.3879,158283.871,102862.3075,37352.64253,37188.74245,49658.66373,86394.64586,67327.46416,82859.52669,109171.368,56576.00487,4305.70031,57361.50438,74902.4252,41298.88253,88276.9467,60090.12462,66110.52464,59064.1436,19466.7014,97194.60754,114994.628,139235.9907,108482.6679,72695.92551,45653.08364,72954.36549,85947.20615,101359.3875,97559.30623,78321.48574,80195.92576
,442.3 -> 380.296,3336.180244,3221.68021,3265.860245,3484.160229,3353.940243,3374.660248,3349.820251,3324.160233,3209.100231,3273.520241,3498.76025,3362.240208,3323.620255,3203.420216,3343.260227,3405.080227,3276.160233,3382.280254,3445.880222,3362.840252,3357.320232,3229.500229,3258.680237,3274.640244,3306.020241,3111.020218,3246.260227,3288.760231,3252.660217,3363.080246,3440.720234,3496.440258,3101.800213,3170.90023,3294.98024,3298.640224,3584.10025,3349.48024,3247.300236,3297.580254,3339.600231
(9Z)-3-hydroxyoctadecenoylcarnitine,442.3 -> 85.1,7247.940578,7207.360474,7830.560513,7665.740551,8287.840572,7027.180496,7890.900558,6295.080456,9502.160667,9051.420574,10394.38081,7479.680531,6480.200405,6414.400459,6810.86047,7904.600559,6850.720451,7664.840462,8348.32056,6579.380447,4096.120277,6397.320435,7845.060577,7146.160473,7509.06052,7329.360497,7821.380573,6492.460419,5578.580387,7999.740585,8690.000641,8588.340553,8240.760578,7225.760521,6242.060459,7182.280476,7255.700523,8457.020607,7828.060547,7292.400467,7321.620525
,444.4 -> 382.396,3414.240246,3283.680248,3344.660248,3102.060215,3224.420219,3211.660236,3156.000217,3290.220219,3305.340233,3364.58025,3241.220219,3254.860241,3397.960228,3262.520218,3274.600227,3654.140274,3344.48024,3355.980217,3348.980225,3314.620228,3157.500198,3366.660217,3277.460232,3225.440228,3291.220238,3263.100227,3250.260235,3068.480217,3223.380234,3305.80024,3564.500267,3321.000221,3117.840214,3294.080231,3332.360233,3152.280228,3103.580219,3282.800224,3144.640244,3312.680229,3120.40023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",444.4 -> 85.1,6450.160431,7306.520554,7330.500561,6270.460503,5773.180431,6936.44051,6745.720505,6617.780476,6578.280518,6839.240456,6596.520473,5948.160416,6324.280415,6687.020412,6264.220413,7010.000484,6332.780449,7249.740475,6636.220448,6386.460423,4839.640316,5964.520416,7314.880512,5674.800411,7042.560539,6752.000443,6527.480476,6144.000462,5585.680374,5898.200405,6480.480427,6828.18045,6368.240448,6130.78046,6261.740452,6812.320515,6613.620449,7185.56052,7468.360554,6833.640522,7349.980488
,448.3 -> 386.296,3303.780235,3424.980251,3187.500233,3301.84024,3165.960239,3156.680222,3186.620232,3191.340214,3324.180225,3251.720238,3290.900223,3365.700233,3198.120213,3235.840225,3370.880234,3234.840252,3306.54023,3307.30024,3018.420219,3149.880215,3143.10022,3183.680225,3282.960247,3332.960243,3230.720238,3216.360237,3242.580223,3242.840218,3176.900223,3056.560211,3309.04026,3367.260223,3191.260212,3373.620247,3299.300224,3249.900227,3248.880241,3212.900227,3299.840229,3351.720238,3263.82024
O-arachidonoylcarnitine,448.3 -> 85.1,10402.02067,10079.04075,10575.02073,9770.92067,10435.68072,9232.040668,14979.68105,8761.700611,18834.14131,10447.16072,9982.860664,7669.88052,12040.76083,9196.560677,7225.340527,10423.28076,12815.28089,8695.360622,8620.34058,8474.380646,5023.800335,8113.420578,10083.94076,9033.320644,10356.72079,10582.80076,9694.900715,9155.080688,10386.88071,9164.680664,12087.74083,9853.220722,9370.160686,10978.06083,9781.960724,9578.580624,8045.580585,9474.920715,10396.86066,9783.520676,9417.820663
,452.4 -> 390.396,3257.320232,3371.500233,3194.26022,3226.32024,3270.260231,3073.740204,3200.820225,3205.100227,3135.280239,3205.220242,3250.040234,3235.140228,3388.760262,3253.260227,3264.620251,3150.44022,3245.860229,3266.740215,3112.240219,3288.620232,3319.940239,3246.200226,3245.300228,3393.700233,3233.380222,3264.300224,3251.340237,3352.920254,3261.440243,3126.160229,3274.16024,3315.540237,3168.560215,3355.700253,3110.60022,3261.020237,3493.020248,3259.06023,3280.040237,3373.220222,3110.540226
"(11Z,14Z)-eicosadienoylcarnitine",452.4 -> 85.1,10653.62086,12016.90088,11490.92076,7854.040577,8898.680626,10060.92073,9791.360687,8328.640614,11024.10073,10144.50073,9563.580639,7213.720509,9455.600716,10113.30079,7340.100578,11302.82085,9030.160629,9931.300739,9849.260727,9262.08062,4873.260342,8513.760571,9078.580635,7760.360558,9743.600704,8978.800652,9329.64069,8809.700558,8827.06065,8478.660618,10408.18075,9005.660686,9157.800594,10380.44074,9668.640621,9608.140659,9178.800636,9544.760696,11334.70087,10813.44078,7785.28054
,454.4 -> 392.396,3211.260231,3108.140213,3224.860233,3159.760239,3439.900242,3127.640224,3255.580227,3240.740238,3400.000233,3233.360214,3368.420223,3278.460232,3250.660221,3182.040241,3309.940243,3301.420238,3264.84021,3369.000244,3127.660213,3313.100224,3190.46022,3244.520237,3253.400215,3404.380257,3400.860245,3258.300247,3268.900234,3381.84024,3365.540241,3227.800224,3450.000244,3347.520245,3176.780224,3236.040226,3125.920235,3166.140217,3294.020241,3391.140251,3280.66024,3231.440216,3055.820229
